 seed  iterations  status     objective           primal        wall (ms)  solver (ms)  
  1      1454       true    9.89723751e+05    2.70973523e+01    861.3         0.0
  2       803       true    9.90185746e+05    1.00141675e+01    505.8         0.0
  3       764       true    9.90185808e+05    1.00142180e+01    485.0         0.0
  4       973       true    9.90185782e+05    1.00141564e+01    607.0         0.0
  5      3371       true    9.90162390e+05    1.00090883e+01    1946.0         0.0
  6      1150       true    9.90185859e+05    1.00142767e+01    699.8         0.0
  7       987       true    9.90185798e+05    1.00141806e+01    615.1         0.0
  8       808       true    9.90185700e+05    1.00141762e+01    506.8         0.0
  9      1675       true    9.90160999e+05    1.00119070e+01    998.9         0.0
 10      2081       true    9.90163464e+05    1.00079373e+01    1224.0         0.0
 11      1663       true    9.90159942e+05    1.00112823e+01    997.9         0.0
 12       166      false    NaN    NaN    177.9         0.0
 13      1023       true    9.90185839e+05    1.00142187e+01    634.9         0.0
 14      1556       true    9.90153817e+05    1.00261224e+01    933.0         0.0
 15      3780       true    9.90164575e+05    1.00065325e+01    2226.4         0.0
 16      4026      false    -5.23144011e+09    5.84011089e+21    2473.4         0.0
 17      1969       true    9.90164056e+05    1.00056816e+01    1196.0         0.0
 18       941       true    9.90185801e+05    1.00142498e+01    581.2         0.0
 19      3299       true    9.90161682e+05    1.00084674e+01    2295.9         0.0
 20      3392      false    NaN    NaN    2244.1         0.0
 21       860       true    9.90185455e+05    1.00141823e+01    584.6         0.0
 22        65      false    -5.42960841e+06    2.08826386e+02    129.9         0.0
 23      2910       true    9.90159341e+05    1.00133212e+01    1766.3         0.0
 24       913       true    9.90185751e+05    1.00141865e+01    582.8         0.0
 25       829       true    9.90185831e+05    1.00141262e+01    523.3         0.0
 26      3348       true    9.90160705e+05    1.00101742e+01    2006.3         0.0
 27       170      false    NaN    NaN    182.4         0.0
 28       906       true    9.90185858e+05    1.00141686e+01    571.9         0.0
 29       958       true    9.90239861e+05    1.00142413e+01    601.8         0.0
 30        83      false    NaN    NaN    124.3         0.0
 31       153      false    NaN    NaN    167.3         0.0
 32       853       true    9.90185910e+05    1.00142955e+01    548.4         0.0
 33        56      false    1.04412430e+06    1.96611692e+01    118.5         0.0
 34      3598      false    -3.29880731e+176    NaN    2272.3         0.0
 35      1967       true    9.90128973e+05    1.00200646e+01    1167.4         0.0
 36      3379       true    9.90162454e+05    1.00075055e+01    1965.9         0.0
 37       169      false    NaN    NaN    181.4         0.0
 38      1685       true    9.90165589e+05    1.00061841e+01    1000.5         0.0
 39        54      false    1.35187548e+06    5.86836748e+02    118.9         0.0
 40        87      false    NaN    NaN    148.0         0.0
 41      3450       true    9.90161166e+05    1.00086833e+01    2022.1         0.0
 42      1173       true    9.90185857e+05    1.00141898e+01    713.6         0.0
 43      1556       true    9.90164230e+05    1.00066734e+01    925.0         0.0
 44      1232       true    9.90185557e+05    1.00140234e+01    738.3         0.0
 45      1665       true    9.90152039e+05    1.00257428e+01    987.9         0.0
 46      1244       true    9.90185736e+05    1.00141707e+01    745.4         0.0
 47        58      false    3.29686156e+06    1.90704136e+02    120.3         0.0
 48       946      false    1.00727996e+06    1.00305849e+01    716.8         0.0
 49      1724       true    9.90163889e+05    1.00068989e+01    1065.9         0.0
 50       750      false    NaN    NaN    556.4         0.0
