 seed  iterations  status     objective           primal        wall (ms)  solver (ms)  
  1        13       true    1.08147657e+01    1.66181783e+01      7.7         0.0
  2        13       true    1.08147661e+01    1.66182632e+01      7.6         0.0
  3        13       true    1.08147660e+01    1.66181872e+01      8.1         0.0
  4        13       true    1.08147659e+01    1.66182066e+01      9.3         0.0
  5        14       true    1.08147677e+01    1.66182146e+01      8.0         0.0
  6        13       true    1.08147656e+01    1.66181820e+01      7.9         0.0
  7        13       true    1.08147661e+01    1.66182438e+01      7.7         0.0
  8        13       true    1.08147657e+01    1.66182367e+01      7.9         0.0
  9        13       true    1.08147655e+01    1.66181922e+01     10.9         0.0
 10        14       true    1.08147677e+01    1.66182158e+01      8.1         0.0
 11        13       true    1.08147660e+01    1.66181949e+01      7.6         0.0
 12        13       true    1.08147660e+01    1.66181914e+01      7.6         0.0
 13        13       true    1.08147661e+01    1.66181553e+01      7.6         0.0
 14        13       true    1.08147661e+01    1.66182077e+01      7.8         0.0
 15        13       true    1.08147658e+01    1.66181742e+01      7.9         0.0
 16        13       true    1.08147658e+01    1.66182178e+01      7.6         0.0
 17        13       true    1.08147660e+01    1.66181833e+01      8.1         0.0
 18        14       true    1.08147678e+01    1.66182188e+01      8.2         0.0
 19        13       true    1.08147662e+01    1.66181937e+01      7.6         0.0
 20        13       true    1.08147660e+01    1.66182293e+01      7.7         0.0
 21        14       true    1.08147676e+01    1.66182143e+01      8.0         0.0
 22        13       true    1.08147659e+01    1.66182322e+01      7.5         0.0
 23        13       true    1.08147659e+01    1.66182126e+01      7.6         0.0
 24        13       true    1.08147659e+01    1.66181906e+01      7.7         0.0
 25        13       true    1.08147660e+01    1.66182368e+01      7.7         0.0
 26        14       true    1.08147676e+01    1.66182294e+01      8.0         0.0
 27        13       true    1.08147657e+01    1.66181661e+01      7.6         0.0
 28        13       true    1.08147663e+01    1.66181720e+01      7.6         0.0
 29        14       true    1.08147676e+01    1.66181840e+01      7.9         0.0
 30        13       true    1.08147662e+01    1.66182208e+01      7.8         0.0
 31        13       true    1.08147664e+01    1.66181811e+01      7.7         0.0
 32        14       true    1.08147678e+01    1.66182629e+01      8.1         0.0
 33        13       true    1.08147661e+01    1.66182062e+01      8.0         0.0
 34        13       true    1.08147661e+01    1.66182052e+01      7.8         0.0
 35        13       true    1.08147657e+01    1.66182180e+01      7.7         0.0
 36        13       true    1.08147660e+01    1.66182427e+01      7.7         0.0
 37        13       true    1.08147659e+01    1.66181738e+01      7.6         0.0
 38        13       true    1.08147657e+01    1.66181645e+01      7.6         0.0
 39        13       true    1.08147662e+01    1.66181844e+01      7.6         0.0
 40        13       true    1.08147658e+01    1.66182274e+01      7.9         0.0
 41        13       true    1.08147661e+01    1.66182003e+01      7.7         0.0
 42        13       true    1.08147657e+01    1.66181954e+01      7.6         0.0
 43        13       true    1.08147657e+01    1.66181941e+01      7.7         0.0
 44        13       true    1.08147657e+01    1.66182195e+01      7.9         0.0
 45        13       true    1.08147659e+01    1.66181825e+01      7.7         0.0
 46        13       true    1.08147660e+01    1.66181679e+01      7.7         0.0
 47        13       true    1.08147660e+01    1.66181314e+01      7.7         0.0
 48        13       true    1.08147656e+01    1.66181779e+01      7.6         0.0
 49        13       true    1.08147663e+01    1.66182689e+01      7.8         0.0
 50        13       true    1.08147660e+01    1.66181622e+01      7.6         0.0
