 seed  iterations  status     objective           primal        time (s)  
  1      1313       true    7.35590156e+00    2.77271022e-03    0.59720  
  2      1196       true    6.42385906e+00    1.88235033e-03    0.51254  
  3      1101       true    5.67279921e+00    3.56615540e-03    0.47428  
  4       953       true    5.74705604e+00    2.51362192e-03    0.41642  
  5      1037       true    5.71018319e+00    4.57701612e-03    0.45092  
  6      1200       true    8.33585224e+00    3.97530425e-03    0.51957  
  7      1209       true    6.29609740e+00    1.62464897e-03    0.52180  
  8      1475       true    8.43507665e+00    3.56725745e-03    0.63052  
  9      1310       true    8.45818206e+00    1.39489207e-03    0.56293  
 10      1125       true    8.24977142e+00    4.04074903e-03    0.48502  
 11      1227       true    6.35639957e+00    2.08446033e-03    0.53008  
 12       986       true    5.74650323e+00    4.71712995e-03    0.42901  
 13      1032       true    5.81046713e+00    3.18395635e-03    0.44762  
 14      1304       true    7.35607844e+00    3.18063358e-03    0.56086  
 15      1192       true    6.50564124e+00    2.18204805e-03    0.51556  
 16      1222       true    6.36909205e+00    2.32994819e-03    0.52633  
 17      1232       true    6.40025326e+00    3.60901881e-03    0.52862  
 18      1052       true    5.71823753e+00    4.62406121e-03    0.45406  
 19      1196       true    6.29168201e+00    1.48891394e-03    0.51602  
 20      1145       true    6.15790178e+00    1.93626038e-03    0.49397  
 21      1207       true    6.17959089e+00    3.72505742e-03    0.52076  
 22      1308       true    7.31587320e+00    3.45362244e-03    0.56353  
 23      1227       true    6.31934921e+00    2.09982660e-03    0.52898  
 24      1335       true    8.41330661e+00    3.75057124e-03    0.57444  
 25       982       true    5.79029954e+00    3.38167718e-03    0.42813  
 26      1039       true    5.58020135e+00    3.97870189e-03    0.45007  
 27      1202       true    6.05604064e+00    2.64032785e-03    0.52055  
 28      1384       true    7.60907578e+00    3.83630629e-03    0.59753  
 29      1345       true    7.07674393e+00    4.97834412e-03    0.58279  
 30      1241       true    6.42303652e+00    4.87150375e-03    0.53839  
 31      1068       true    5.85800839e+00    2.51740100e-03    0.46467  
 32      1096       true    5.88782941e+00    2.51672299e-03    0.47835  
 33      1069       true    5.72060519e+00    3.28320631e-03    0.46625  
 34      1173       true    6.11553330e+00    2.23382233e-03    0.51056  
 35      1252       true    8.17309825e+00    4.72911208e-03    0.54293  
 36      1012       true    8.00193122e+00    3.59896400e-03    0.44182  
 37      1219       true    6.55197264e+00    2.68858402e-03    0.52630  
 38      1333       true    8.49691960e+00    4.75802866e-03    0.57148  
 39      1110       true    5.91588517e+00    3.46107721e-03    0.47943  
 40      1031       true    5.60229293e+00    4.72308827e-03    0.44781  
 41      1187       true    6.05347752e+00    2.86994724e-03    0.51197  
 42      1430       true    7.02807525e+00    2.21291563e-03    0.61359  
 43       911       true    5.55616353e+00    3.92490451e-03    0.39703  
 44      1270       true    8.22844707e+00    1.80188201e-03    0.54620  
 45      1276       true    8.46118516e+00    4.29671170e-03    0.54790  
 46      1041       true    5.82254114e+00    4.84870356e-03    0.44361  
 47      1358       true    7.03707659e+00    4.92278771e-03    0.56104  
 48      1084       true    8.12299104e+00    3.97325771e-03    0.45224  
 49      1090       true    5.80170717e+00    2.61397058e-03    0.44819  
 50      1491       true    7.53693132e+00    4.57084336e-03    0.60350  
