 seed  iterations  status     objective           primal        wall (ms)  solver (ms)  
  1        89       true    9.57425950e+00    3.73206229e-03     57.0         0.0
  2        93       true    9.94809285e+00    4.11777680e-03     57.9         0.0
  3       138       true    1.08896073e+01    4.71034483e-03     83.3         0.0
  4        93       true    8.85911669e+00    3.52944415e-03     58.5         0.0
  5        95       true    8.15670006e+00    4.32827417e-03     58.4         0.0
  6        77       true    7.75168304e+00    4.73872966e-03     46.8         0.0
  7        86       true    9.94273415e+00    4.07344795e-03     53.8         0.0
  8       104       true    9.31167891e+00    3.50080625e-03     64.9         0.0
  9        72       true    7.93741856e+00    2.91878451e-03     46.6         0.0
 10        74       true    8.23257471e+00    3.87421992e-03     46.7         0.0
 11        86       true    9.69140231e+00    3.82754802e-03     68.6         0.0
 12       115       true    9.22513087e+00    3.55332871e-03     71.4         0.0
 13        94       true    9.71507727e+00    3.92731324e-03     62.5         0.0
 14        91       true    9.22372380e+00    3.66318855e-03     58.6         0.0
 15        88       true    9.46561691e+00    3.74876960e-03     55.0         0.0
 16        81       true    8.16096320e+00    4.22362183e-03     50.7         0.0
 17       116       true    8.83488195e+00    3.50451952e-03     74.0         0.0
 18        88       true    1.05600102e+01    4.30106974e-03     56.0         0.0
 19        87       true    8.83615721e+00    3.51408555e-03     54.8         0.0
 20        79       true    9.59019374e+00    3.92853381e-03     51.2         0.0
 21        83       true    8.28505626e+00    3.73409499e-03     51.9         0.0
 22        74       true    8.26655222e+00    3.78814177e-03     47.0         0.0
 23        94       true    9.55763075e+00    4.05975955e-03     62.0         0.0
 24        82       true    9.56347210e+00    3.60700266e-03     52.7         0.0
 25        77       true    7.76631317e+00    4.60382225e-03     46.6         0.0
 26       104       true    8.21032419e+00    4.46403645e-03     63.8         0.0
 27        74       true    8.02460783e+00    3.49234200e-03     49.1         0.0
 28        67       true    7.92880461e+00    4.21524779e-03     43.8         0.0
 29        96       true    1.01389970e+01    3.99441509e-03     74.1         0.0
 30        89       true    9.94135989e+00    3.79151978e-03     56.4         0.0
 31        83       true    9.41967877e+00    4.04260018e-03     57.9         0.0
 32        98       true    8.00996130e+00    3.42910517e-03     74.7         0.0
 33        84       true    9.82641706e+00    4.23586984e-03     56.7         0.0
 34       141       true    8.96792924e+00    3.34171120e-03     84.9         0.0
 35       179       true    9.10260862e+00    3.25900426e-03    105.0         0.0
 36        86       true    9.61453629e+00    3.83279871e-03     56.8         0.0
 37        75       true    7.73549302e+00    4.83856998e-03     47.1         0.0
 38       119       true    9.23736407e+00    3.42932933e-03     73.4         0.0
 39       114       true    8.74844606e+00    3.43033438e-03     70.5         0.0
 40        94       true    9.31342752e+00    3.92112109e-03     59.8         0.0
 41        88       true    7.56586081e+00    4.66609283e-03     54.1         0.0
 42        82       true    7.68583687e+00    4.28137009e-03     50.1         0.0
 43       103       true    7.72861300e+00    4.83519494e-03     59.4         0.0
 44        72       true    8.01486081e+00    3.95865555e-03     48.3         0.0
 45        99       true    9.99677296e+00    3.70002948e-03     62.0         0.0
 46       191       true    7.58636768e+00    3.94721054e-03    110.0         0.0
 47        85       true    7.81226826e+00    4.03410637e-03     52.4         0.0
 48       102       true    9.39839252e+00    3.53137561e-03     62.8         0.0
 49       106       true    7.66015196e+00    4.76213522e-03     65.6         0.0
 50        70       true    7.99154062e+00    3.57691527e-03     45.5         0.0
