 seed  iterations  status     objective           primal        wall (ms)  solver (ms) 
  1       937       true     9.01306500e-01    2.73043671e-11    6074.4         3080.5  
  2      1064       true     8.91218298e-01    2.45409609e-10    7159.2         3859.0  
  3       641       true     3.10537449e+00    7.96461508e-11    3980.2         2311.1  
  4       736       true     2.88551735e+00    3.24219496e-09    4329.5         2500.1  
  5       672       true     3.16485767e+00    2.93598479e-13    4012.6         2378.6  
  6      1031       true     9.08782676e-01    6.58163385e-11    6545.4         3560.2  
  7       581       true     2.69490091e+00    3.91184862e-11    3573.3         2145.5  
  8      3000      false     5.00808266e+00    5.06147131e-04    19814.4         10578.5  
  9       669       true     2.55001896e+00    9.90558191e-11    4441.1         2521.9  
 10       624       true     2.05460519e+00    1.23311333e-10    4153.9         2413.7  
 11       952       true     8.89533603e-01    1.34562556e-10    6767.1         3588.6  
 12       917       true     1.27999566e+00    4.92939023e-14    6715.1         3564.2  
 13       587       true     6.65673909e+00    4.37733183e-13    3725.7         2203.8  
 14      1083       true     8.91218298e-01    2.46296331e-10    8360.0         4442.4  
 15      1360       true     9.54118745e-01    4.55759402e-10    10289.9         5438.7  
 16       643       true     2.69490091e+00    3.91133237e-11    4672.7         2654.1  
 17       502       true     2.55001896e+00    9.90547089e-11    3667.1         2121.2  
 18       669       true     4.11792903e+00    3.05033776e-14    4109.5         2463.0  
 19       734       true     2.37949008e+00    2.51114962e-11    4583.4         2682.4  
 20      1257       true     9.22000873e-01    8.73064121e-12    7963.1         4105.6  
 21       941      false     1.25914555e+00    5.62666580e-11    5772.5         3091.4  
 22       674       true     1.12932759e+00    7.86680235e-10    4092.3         2384.6  
 23       418       true     2.82612956e+00    2.58229432e-09    2565.8         1520.1  
 24       481       true     2.55001896e+00    9.90628968e-11    2978.7         1762.5  
 25       508       true     3.09388062e+00    1.99595895e-12    3623.7         2083.9  
 26       673       true     2.57347521e+00    1.09392218e-11    5299.1         3000.5  
 27      1367       true     1.10700928e+00    7.93628080e-10    10961.9         5726.1  
 28      1225       true     1.10700928e+00    4.31413238e-12    9245.8         4638.9  
 29      1483       true     9.22000873e-01    8.72769912e-12    11383.8         5751.2  
 30       544       true     2.55001896e+00    9.90504345e-11    3134.2         1879.3  
 31       508       true     1.92142019e+00    2.73735618e-10    3180.0         1852.0  
 32       660       true     2.69490091e+00    3.91157107e-11    4696.6         2721.4  
 33      1483       true     3.17399286e+00    9.31477118e-14    10166.2         5400.2  
 34      1113       true     1.20186841e+00    5.46272125e-11    5971.0         3269.4  
 35      1119       true     9.01306500e-01    2.73006756e-11    6228.9         3314.5  
 36       636       true     2.29404820e+00    3.63459263e-13    3386.2         2015.9  
 37       609       true     2.29404820e+00    3.60822483e-13    3252.7         1971.3  
 38       603       true     3.33283360e+00    7.87547860e-10    3249.3         1954.9  
 39      1265       true     8.94517654e-01    1.98019698e-10    7397.7         3845.5  
 40       450       true     2.81848783e+00    1.34489642e-13    2467.4         1466.5  
 41      1056       true     9.01306500e-01    4.88576402e-11    6047.7         3179.1  
 42       541       true     3.16485767e+00    2.82718293e-13    2892.9         1761.1  
 43      1693       true     9.22000878e-01    9.44179207e-10    9631.9         4798.8  
 44       523       true     3.63316741e+00    3.75745268e-12    2828.3         1709.5  
 45       528       true     2.05430618e+00    3.05609003e-10    2983.6         1792.0  
 46       547       true     1.62576990e+00    6.07673356e-11    3643.2         2174.1  
 47       421       true     2.53467195e+00    1.33683187e-09    2796.4         1618.2  
 48      1294       true     9.22000873e-01    8.73384698e-12    10355.8         5135.6  
 49       391       true     2.47059683e+00    1.18470234e-11    2350.4         1432.5  
 50       571       true     2.08670794e+00    2.86027910e-10    3076.5         1736.5  
