 seed  iterations  status     objective           primal        wall (ms)  solver (ms) 
  1        29       true     1.26464251e+00    0.00000000e+00     24.9         23.9  
  2        31       true     1.26464251e+00    0.00000000e+00     29.3         28.3  
  3        39       true     1.26464251e+00    0.00000000e+00     40.7         37.8  
  4        29       true     1.26464251e+00    0.00000000e+00     24.5         23.5  
  5        32       true     1.26464251e+00    0.00000000e+00     27.9         26.9  
  6        40       true     1.26464251e+00    0.00000000e+00     43.2         41.5  
  7        33       true     1.26464251e+00    0.00000000e+00     34.5         33.1  
  8        29       true     1.26464251e+00    0.00000000e+00     26.9         25.8  
  9        30       true     1.26464251e+00    0.00000000e+00     31.5         29.7  
 10        30       true     1.26464251e+00    0.00000000e+00     27.0         26.0  
 11        38       true     1.26464251e+00    0.00000000e+00     38.0         36.1  
 12        28       true     1.26464251e+00    0.00000000e+00     23.4         22.4  
 13        30       true     1.26464251e+00    0.00000000e+00     26.7         25.7  
 14        29       true     1.26464251e+00    0.00000000e+00     34.1         32.8  
 15        32       true     1.26464251e+00    0.00000000e+00     33.1         31.7  
 16        28       true     1.26464251e+00    0.00000000e+00     24.8         23.8  
 17        32       true     1.26464251e+00    0.00000000e+00     34.0         32.3  
 18        40       true     1.26464251e+00    0.00000000e+00     35.9         33.2  
 19        32       true     1.26464251e+00    0.00000000e+00     29.7         28.7  
 20        36       true     1.26464251e+00    0.00000000e+00     28.4         27.4  
 21        34       true     1.26464251e+00    0.00000000e+00     29.2         28.2  
 22        30       true     1.26464251e+00    0.00000000e+00     23.5         22.5  
 23        31       true     1.26464251e+00    0.00000000e+00     27.1         26.1  
 24        41       true     1.26464251e+00    0.00000000e+00     29.5         28.5  
 25        28       true     1.26464251e+00    0.00000000e+00     23.6         22.6  
 26        38       true     1.26464251e+00    0.00000000e+00     27.8         26.8  
 27        27       true     1.26464251e+00    0.00000000e+00     21.9         20.9  
 28        29       true     1.26464251e+00    0.00000000e+00     23.1         22.1  
 29        28       true     1.26464251e+00    0.00000000e+00     22.5         21.5  
 30        29       true     1.26464251e+00    0.00000000e+00     23.5         22.5  
 31        35       true     1.26464251e+00    0.00000000e+00     26.5         25.5  
 32        34       true     1.26464251e+00    0.00000000e+00     29.0         28.0  
 33        28       true     1.26464251e+00    0.00000000e+00     23.6         22.6  
 34        32       true     1.26464251e+00    0.00000000e+00     26.3         25.3  
 35        31       true     1.26464251e+00    0.00000000e+00     25.0         24.0  
 36        33       true     1.26464251e+00    0.00000000e+00     26.6         25.6  
 37        29       true     1.26464251e+00    0.00000000e+00     23.1         22.1  
 38        32       true     1.26464251e+00    0.00000000e+00     27.1         26.1  
 39        37       true     1.26464251e+00    0.00000000e+00     28.7         27.7  
 40        29       true     1.26464251e+00    0.00000000e+00     23.1         22.1  
 41        33       true     1.26464251e+00    0.00000000e+00     27.0         26.0  
 42        39       true     1.26464251e+00    0.00000000e+00     28.5         27.5  
 43        30       true     1.26464251e+00    0.00000000e+00     24.1         23.1  
 44        28       true     1.26464251e+00    0.00000000e+00     23.0         22.0  
 45        38       true     1.26464251e+00    0.00000000e+00     30.8         29.5  
 46        36       true     1.26464251e+00    0.00000000e+00     28.1         27.1  
 47        36       true     1.26464251e+00    0.00000000e+00     28.2         26.7  
 48        33       true     1.26464251e+00    0.00000000e+00     26.1         25.1  
 49        28       true     1.26464251e+00    0.00000000e+00     23.4         22.4  
 50        35       true     1.26464251e+00    0.00000000e+00     27.9         26.9  
