 seed  iterations  status     objective           primal        wall (ms)  solver (ms) 
  1        37       true     7.18579173e+00    8.06466005e-14     62.3         40.0  
  2        38       true     6.38813612e+00    3.13853388e-12     56.5         37.3  
  3        28       true     5.66552406e+00    1.12598819e-13     42.9         30.1  
  4        25       true     5.74142744e+00    6.94999613e-15     38.3         24.8  
  5        33       true     5.70211066e+00    1.62536651e-14     55.3         34.6  
  6        55       true     7.53968365e+00    8.42622194e-11    104.9         59.8  
  7        31       true     6.26414931e+00    4.24105195e-15     46.7         30.2  
  8        25       true     8.44935975e+00    2.66209277e-13     36.5         24.7  
  9        44       true     7.60897179e+00    1.99562589e-14     85.3         54.8  
 10       110       true     7.55251258e+00    1.78190795e-14    240.5        140.2  
 11        34       true     6.32030555e+00    8.27116153e-15     51.7         34.4  
 12        38       true     5.74278217e+00    1.07014397e-13     60.8         42.9  
 13        37       true     5.80497355e+00    4.68514116e-15     50.4         34.8  
 14        44       true     7.20077531e+00    1.65312208e-14     71.4         42.9  
 15        30       true     6.40740932e+00    3.15303339e-15     45.0         29.7  
 16        32       true     6.32178052e+00    9.68114477e-15     49.0         32.7  
 17        35       true     6.37220085e+00    6.98330282e-15     52.3         34.7  
 18        27       true     5.71844335e+00    3.97459843e-15     42.0         28.5  
 19        30       true     6.26348258e+00    2.04798400e-12     45.2         30.9  
 20        36       true     6.12907365e+00    6.03150863e-13     59.9         37.5  
 21        35       true     6.14490392e+00    6.69519995e-13     53.6         34.8  
 22        37       true     7.17505177e+00    7.11009029e-13     59.6         40.0  
 23        33       true     6.27782679e+00    2.67008637e-15     52.4         34.9  
 24       206       true     8.38016083e+00    1.57363012e-12    482.9        268.7  
 25        41       true     5.78275750e+00    5.16253706e-15     69.2         43.0  
 26        26       true     5.57914384e+00    1.77302617e-14     40.1         28.5  
 27        30       true     6.02939005e+00    3.97459843e-15     45.0         30.6  
 28        49       true     7.36298769e+00    1.66200387e-14     79.1         51.8  
 29        41       true     6.93666879e+00    1.14686038e-14     65.2         42.6  
 30        39       true     6.39394818e+00    5.79258863e-13     60.9         39.7  
 31        33       true     5.85879250e+00    1.26676447e-13     54.6         35.2  
 32        47       true     5.87542017e+00    4.17776924e-14     75.9         54.3  
 33        34       true     5.71492978e+00    1.08690834e-14     49.3         35.1  
 34        30       true     6.09892215e+00    5.06261699e-15     47.0         31.8  
 35        30       true     8.17231188e+00    1.47664103e-12     45.3         30.2  
 36        46       true     7.47685712e+00    1.43718371e-14     92.8         56.3  
 37        30       true     6.50690096e+00    7.01472214e-13     41.3         28.3  
 38        25       true     8.45895440e+00    2.16848761e-13     37.5         27.3  
 39        27       true     5.90698139e+00    2.11872742e-12     40.7         28.7  
 40        26       true     5.60289933e+00    1.05582210e-14     41.6         28.6  
 41        30       true     6.02867995e+00    5.38458167e-15     44.3         28.9  
 42        37       true     6.93972494e+00    6.75570710e-15     58.8         36.3  
 43        24       true     5.55305831e+00    2.48912002e-14     36.0         25.0  
 44        47       true     8.21580357e+00    9.71620562e-12     75.6         51.2  
 45        25       true     8.46095968e+00    5.03597164e-13     33.0         23.0  
 46        35       true     5.81356607e+00    2.88657986e-15     55.5         37.0  
 47        31       true     6.88750798e+00    8.72635297e-15     45.2         30.2  
 48        37       true     8.10668815e+00    5.76130144e-11     60.2         37.2  
 49        38       true     5.78851274e+00    7.86037901e-15     60.1         40.8  
 50        51       true     7.18523272e+00    1.06303855e-14     82.5         53.1  
