 seed  iterations  status     objective           primal        wall (ms)  solver (ms) 
  1       148       true     8.40248616e+00    0.00000000e+00    579.9        464.6  
  2       152       true     8.51112108e+00    0.00000000e+00    585.3        475.5  
  3       163       true     9.38511791e+00    0.00000000e+00    622.3        520.6  
  4       145       true     7.96231904e+00    0.00000000e+00    491.4        390.2  
  5       150       true     8.28437395e+00    0.00000000e+00    618.3        490.6  
  6       149       true     7.89810256e+00    0.00000000e+00    530.7        432.5  
  7       130       true     8.62933835e+00    0.00000000e+00    448.1        367.7  
  8       136       true     8.44099794e+00    0.00000000e+00    457.5        376.0  
  9       163       true     8.03155077e+00    0.00000000e+00    553.1        451.9  
 10       143       true     8.35296760e+00    0.00000000e+00    516.2        421.2  
 11       163       true     8.65365645e+00    0.00000000e+00    575.8        463.4  
 12       141       true     7.94666349e+00    0.00000000e+00    470.4        388.5  
 13       167       true     8.29153458e+00    0.00000000e+00    629.6        511.9  
 14       194       true     8.50739219e+00    0.00000000e+00    658.7        542.3  
 15       152       true     8.32131222e+00    0.00000000e+00    592.8        466.1  
 16       188       true     8.27429093e+00    0.00000000e+00    757.8        623.9  
 17       158       true     8.00524553e+00    0.00000000e+00    578.0        469.5  
 18       153       true     8.87870479e+00    0.00000000e+00    663.2        558.6  
 19       177       true     8.09770715e+00    0.00000000e+00    546.0        450.5  
 20       159       true     8.33535944e+00    0.00000000e+00    521.9        424.0  
 21       172       true     8.39277834e+00    0.00000000e+00    594.4        476.5  
 22       160       true     8.37311470e+00    0.00000000e+00    612.3        503.3  
 23       120       true     8.57720193e+00    0.00000000e+00    383.5        306.2  
 24       138       true     8.61087006e+00    0.00000000e+00    452.1        378.2  
 25       152       true     7.90562353e+00    0.00000000e+00    519.3        433.8  
 26       152       true     8.32945768e+00    0.00000000e+00    537.7        439.9  
 27       170       true     8.12233307e+00    0.00000000e+00    656.0        537.3  
 28       225       true     8.03941016e+00    0.00000000e+00    698.8        563.7  
 29       182       true     8.85017134e+00    0.00000000e+00    604.0        499.0  
 30       157       true     9.03861965e+00    0.00000000e+00    536.6        438.2  
 31       137       true     8.31058780e+00    0.00000000e+00    554.3        460.7  
 32       209       true     8.10602309e+00    0.00000000e+00    737.1        581.8  
 33       157       true     8.54304744e+00    0.00000000e+00    635.9        539.1  
 34       146       true     7.84762918e+00    0.00000000e+00    471.0        390.8  
 35       166       true     8.16078807e+00    0.00000000e+00    559.3        467.7  
 36       178       true     8.80307927e+00    0.00000000e+00    664.7        558.4  
 37       199       true     7.87994054e+00    0.00000000e+00    807.5        652.2  
 38       169       true     8.21304012e+00    0.00000000e+00    588.4        488.9  
 39       197       true     7.88994053e+00    0.00000000e+00    624.6        519.5  
 40       145       true     8.12320619e+00    0.00000000e+00    545.0        470.0  
 41       174       true     7.72958114e+00    0.00000000e+00    608.0        508.7  
 42       158       true     7.82369300e+00    0.00000000e+00    534.3        430.5  
 43       126       true     7.86397157e+00    0.00000000e+00    402.1        326.5  
 44       137       true     8.11864191e+00    0.00000000e+00    492.1        394.5  
 45       158       true     8.99473105e+00    0.00000000e+00    721.9        598.3  
 46       154       true     7.72156957e+00    0.00000000e+00    541.2        433.1  
 47       151       true     7.94025181e+00    0.00000000e+00    531.3        444.1  
 48       137       true     8.34401556e+00    0.00000000e+00    386.0        308.1  
 49       165       true     7.80765037e+00    0.00000000e+00    609.2        510.0  
 50       143       true     8.09039740e+00    0.00000000e+00    528.1        425.8  
