 seed  iterations  status     objective           primal        wall (s)   solver(s)  
  1       412       true    8.86337152e-01    4.30419589e-13    831.9          718.4  
  2       432       true    8.86337152e-01    7.23443874e-13    799.3          689.3  
  3       430       true    8.86337152e-01    4.56606107e-13    805.9          694.0  
  4       431       true    8.86337152e-01    7.04833761e-13    826.2          711.6  
  5       444       true    8.86337152e-01    5.71908840e-13    848.3          731.1  
  6       434       true    8.86337152e-01    1.26056804e-12    802.0          690.3  
  7       431       true    8.86337152e-01    1.88737914e-13    793.4          683.3  
  8       430       true    8.86337152e-01    4.30638164e-13    790.2          680.9  
  9       443       true    8.86337152e-01    4.43920942e-13    809.6          696.9  
 10       447       true    8.86337152e-01    3.81290485e-13    817.3          703.5  
 11       425       true    8.86337152e-01    4.42493264e-13    761.8          656.1  
 12       420       true    8.86337152e-01    2.44845810e-13    759.9          654.9  
 13       433       true    8.86337152e-01    9.84634249e-13    792.6          683.0  
 14       444       true    8.86337152e-01    1.34639522e-12    791.6          682.4  
 15       407       true    8.86337152e-01    7.35324995e-13    721.0          619.9  
 16       416       true    8.86337152e-01    3.93097013e-13    747.2          643.4  
 17       450       true    8.86337152e-01    7.58398552e-13    821.6          708.3  
 18       432       true    8.86337152e-01    2.17534324e-13    791.0          682.2  
 19       442       true    8.86337152e-01    9.70893504e-13    796.9          686.4  
 20       441       true    8.86337152e-01    2.88918195e-13    811.4          699.9  
 21       427       true    8.86337152e-01    6.39946429e-13    788.9          680.9  
 22       406       true    8.86337152e-01    6.28795627e-13    740.5          638.3  
 23       420       true    8.86337152e-01    1.19475090e-12    774.6          667.0  
 24       415       true    8.86337152e-01    6.54242285e-13    743.7          639.7  
 25       438       true    8.86337152e-01    6.48970461e-13    796.5          686.1  
 26       450       true    8.86337152e-01    7.57309146e-13    846.0          728.0  
 27       417       true    8.86337152e-01    9.84890988e-13    860.5          741.6  
 28       425       true    8.86337152e-01    6.42447900e-13    880.7          758.4  
 29       415       true    8.86337152e-01    4.83382431e-13    797.5          687.7  
 30       432       true    8.86337152e-01    4.17667637e-13    829.3          714.8  
 31       422       true    8.86337152e-01    7.40136251e-13    752.2          648.2  
 32       431       true    8.86337152e-01    3.44748535e-13    754.2          649.5  
 33       432       true    8.86337152e-01    3.20807617e-13    760.6          655.3  
 34       451       true    8.86337152e-01    5.88907395e-13    789.4          679.3  
 35       423       true    8.86337152e-01    4.86048701e-13    763.8          658.0  
 36       422       true    8.86337152e-01    3.88123561e-13    798.5          688.4  
 37       450       true    8.86337152e-01    6.93030702e-13    818.5          704.8  
 38       412       true    8.86337152e-01    2.89988519e-13    732.4          630.9  
 39       442       true    8.86337152e-01    7.75283483e-13    774.5          667.3  
 40       419       true    8.86337152e-01    1.11899552e-12    735.1          633.3  
 41       424       true    8.86337152e-01    3.00809724e-13    739.9          637.0  
 42       445       true    8.86337152e-01    8.07569289e-13    774.1          666.6  
 43       434       true    8.86337152e-01    4.04504555e-13    758.1          652.8  
 44       422       true    8.86337152e-01    7.79046098e-13    741.3          638.9  
 45       416       true    8.86337152e-01    1.14173081e-12    728.2          627.2  
 46       452       true    8.86337152e-01    6.09852446e-13    787.0          677.4  
 47       437       true    8.86337152e-01    5.85470908e-13    775.2          668.7  
 48       447       true    8.86337152e-01    3.88095805e-13    787.8          678.8  
 49       421       true    8.86337152e-01    9.28273083e-13    740.7          638.1  
 50       436       true    8.86337152e-01    3.66902689e-13    770.9          664.4  
