 seed  iterations  status     objective           primal        wall (s)   solver(s)  
  1      2549      false    2.57335219e+00    8.24471419e-08    3643.2          3037.0  
  2      3000      false    2.57335836e+00    8.33352470e-08    4654.5          3891.7  
  3      3000      false    2.57335447e+00    8.37314590e-08    4991.7          4186.4  
  4      3000      false    2.57336875e+00    8.11000759e-08    4869.3          4073.6  
  5      2897      false    2.57336491e+00    7.98507538e-08    4426.1          3708.3  
  6       875      false    2.57460516e+00    1.60064386e-05    1078.2          879.9  
  7      3000      false    2.57338557e+00    7.53448985e-08    4470.1          3737.6  
  8      3000      false    2.57338910e+00    2.69736893e-08    4477.8          3741.5  
  9      3000      false    2.57338368e+00    5.69703556e-08    4608.7          3866.1  
 10      2028      false    2.57337491e+00    8.33364160e-08    2841.8          2358.7  
 11      2798      false    2.57336712e+00    8.35714194e-08    4110.6          3427.7  
 12      3000      false    2.57338024e+00    5.54538582e-08    4629.2          3879.4  
 13      3000      false    2.57335895e+00    8.37342370e-08    4493.2          3756.9  
 14      3000      false    2.57337458e+00    6.84988987e-08    4678.7          3923.7  
 15      3000      false    2.57337640e+00    1.19146884e-07    4465.1          3732.7  
 16      3000      false    2.57334894e+00    8.37037014e-08    4694.9          3939.5  
 17      1153      false    2.57491261e+00    2.01900765e-07    1592.3          1302.4  
 18      3000      false    2.57337429e+00    8.36620983e-08    4676.0          3918.7  
 19      3000      false    2.57337395e+00    7.29006345e-08    4697.4          3936.3  
 20      3000      false    2.57340413e+00    1.14896525e-07    4941.9          4148.0  
 21      3000      false    2.57337124e+00    8.35728615e-08    4593.8          3835.6  
 22       988      false    2.57463079e+00    1.81470384e-05    1216.2          992.4  
 23       915      false    2.57452843e+00    1.81978540e-05    1109.7          904.2  
 24      2292      false    2.57336268e+00    1.37260861e-07    3297.2          2741.3  
 25       964      false    2.57469248e+00    1.32830347e-05    1298.0          1059.8  
 26      3000      false    2.57337722e+00    8.33596374e-08    4942.1          4134.3  
 27      3000      false    2.57337749e+00    5.17189269e-08    4526.5          3784.5  
 28      3000      false    2.57335755e+00    8.36531069e-08    4556.1          3814.3  
 29      3000      false    2.57337752e+00    6.89207071e-08    4601.9          3848.3  
 30      3000      false    2.57336435e+00    8.36203259e-08    5293.4          4445.6  
 31      3000      false    2.57336860e+00    7.95811889e-08    5025.0          4206.4  
 32      3000      false    2.57338091e+00    7.31085618e-08    5049.6          4228.8  
 33      3000      false    2.57338705e+00    4.17630042e-08    4991.4          4181.1  
 34      3000      false    2.57341201e+00    8.73819323e-08    4820.2          4035.7  
 35      3000      false    2.57338851e+00    8.50543378e-08    4962.4          4158.7  
 36      2913      false    2.57338060e+00    5.29911056e-08    4352.8          3634.6  
 37       996      false    2.57451915e+00    1.76873858e-05    1208.7          985.7  
 38      3000      false    2.57339743e+00    3.47538945e-08    4714.3          3956.3  
 39      3000      false    2.57336647e+00    8.37087892e-08    5026.7          4211.2  
 40      2703      false    2.57335405e+00    8.37215788e-08    4415.2          3693.8  
 41      2842      false    2.57338633e+00    4.12384329e-08    4796.6          4003.4  
 42      3000      false    2.57335982e+00    8.37111881e-08    4515.8          3775.2  
 43      3000      false    2.57335973e+00    8.27369783e-08    4789.5          4003.0  
 44      3000      false    2.57335992e+00    7.97784343e-08    5381.4          4515.0  
 45      3000      false    2.57337122e+00    7.14207764e-08    5222.1          4375.7  
 46      3000      false    2.57337297e+00    6.17341828e-08    4899.5          4106.9  
 47      3000      false    2.57337532e+00    7.40119903e-08    5560.9          4664.6  
 48       937      false    2.57479798e+00    7.90381268e-06    1575.6          1291.4  
 49      3000      false    2.57336229e+00    8.36038322e-08    5603.4          4700.7  
 50      3000      false    2.57335995e+00    8.37285665e-08    5366.0          4491.4  
