 seed  iterations  status     objective           primal        wall (s)   solver(s)  
  1        42       true    1.26574138e+00    1.56319402e-13     30.1        27.4  
  2        40       true    1.26574138e+00    2.08721929e-13     32.3        29.8  
  3        41       true    1.26574138e+00    1.65201186e-13     26.5        24.2  
  4        40       true    1.26574138e+00    2.14939178e-13     27.7        25.2  
  5        42       true    1.26574138e+00    1.65201186e-13     35.4        32.5  
  6        40       true    1.26574138e+00    1.72306613e-13     29.5        26.8  
  7        43       true    1.26574138e+00    1.65201186e-13     30.7        28.0  
  8        40       true    1.26574138e+00    1.65201186e-13     26.8        24.4  
  9        42       true    1.26574138e+00    1.75859327e-13     29.0        26.4  
 10        41       true    1.26574138e+00    1.77635684e-13     27.0        24.7  
 11        42       true    1.26574138e+00    2.07833750e-13     29.2        26.6  
 12        41       true    1.26574138e+00    1.42108547e-13     27.9        25.4  
 13        41       true    1.26574138e+00    2.14939178e-13     30.9        28.2  
 14        41       true    1.26574138e+00    1.79412041e-13     29.9        27.2  
 15        41       true    1.26574138e+00    2.70894418e-13     26.0        23.7  
 16        40       true    1.26574138e+00    1.65201186e-13     25.8        23.5  
 17        41       true    1.26574138e+00    1.70530257e-13     30.6        28.2  
 18        40       true    1.26574138e+00    1.65201186e-13     26.1        23.8  
 19        41       true    1.26574138e+00    1.58095759e-13     26.5        24.2  
 20        41       true    1.26574138e+00    1.61648472e-13     26.1        23.7  
 21        42       true    1.26574138e+00    2.08721929e-13     26.8        24.4  
 22        41       true    1.26574138e+00    1.66977543e-13     26.1        23.8  
 23        42       true    1.26574138e+00    1.99840144e-13     27.0        24.6  
 24        42       true    1.26574138e+00    1.86517468e-13     27.1        24.7  
 25        40       true    1.26574138e+00    1.72306613e-13     25.5        23.3  
 26        41       true    1.26574138e+00    1.53654867e-13     26.4        24.0  
 27        40       true    1.26574138e+00    2.68007838e-13     27.2        24.8  
 28        40       true    1.26574138e+00    1.65201186e-13     26.1        23.7  
 29        40       true    1.26574138e+00    2.29150032e-13     29.6        26.9  
 30        40       true    1.26574138e+00    1.72306613e-13     28.3        25.8  
 31        40       true    1.26574138e+00    1.66977543e-13     29.5        26.8  
 32        42       true    1.26574138e+00    1.90070182e-13     35.3        32.5  
 33        40       true    1.26574138e+00    1.61648472e-13     27.5        25.0  
 34        41       true    1.26574138e+00    2.29150032e-13     26.5        24.1  
 35        41       true    1.26574138e+00    2.68007838e-13     26.9        24.5  
 36        41       true    1.26574138e+00    1.36779477e-13     31.4        28.6  
 37        41       true    1.26574138e+00    1.96287431e-13     27.9        25.4  
 38        41       true    1.26574138e+00    1.72306613e-13     29.2        26.6  
 39        41       true    1.26574138e+00    1.79412041e-13     29.3        26.7  
 40        40       true    1.26574138e+00    1.72306613e-13     27.7        25.2  
 41        42       true    1.26574138e+00    1.36779477e-13     31.3        28.5  
 42        41       true    1.26574138e+00    1.70530257e-13     31.2        28.4  
 43        42       true    1.26574138e+00    1.65201186e-13     29.4        26.7  
 44        40       true    1.26574138e+00    1.70530257e-13     26.9        24.5  
 45        41       true    1.26574138e+00    1.65201186e-13     27.1        24.6  
 46        41       true    1.26574138e+00    1.72306613e-13     33.3        30.0  
 47        40       true    1.26574138e+00    1.65201186e-13     29.7        27.3  
 48        40       true    1.26574138e+00    1.90070182e-13     26.3        23.9  
 49        41       true    1.26574138e+00    1.56319402e-13     29.8        27.1  
 50        42       true    1.26574138e+00    1.54321000e-13     27.4        24.9  
