 seed  iterations  status     objective           primal        wall (s)   solver(s)  
  1       293      false    1.23314595e+00    3.58816192e+00    305.0       283.7  
  2      1048      false    1.26799325e+00    1.53440747e-01    1078.9       999.3  
  3      3000      false    1.26949931e+00    1.52920786e-04    2930.5       2721.8  
  4      3000      false    1.26949833e+00    2.43220047e-04    3089.8       2867.6  
  5      3000      false    1.26950043e+00    4.42083633e-05    2843.7       2641.8  
  6      1457      false    1.26916535e+00    3.61398683e-02    1323.5       1225.3  
  7      3000      false    1.26950038e+00    1.56744080e-04    2644.6       2455.5  
  8      3000      false    1.26950004e+00    7.25019614e-05    2800.3       2600.4  
  9      3000      false    1.26950082e+00    2.41677675e-05    2636.9       2448.6  
 10       452      false    1.25662012e+00    1.27085419e+00    364.8       338.1  
 11      3000      false    1.26949910e+00    1.79320197e-04    2581.0       2397.1  
 12       622      false    1.25250187e+00    1.67775364e+00    554.1       512.6  
 13       299      false    1.22397326e+00    4.49250163e+00    249.1       230.4  
 14       437      false    1.23716209e+00    3.16988733e+00    405.2       374.8  
 15      3000      false    1.26949963e+00    1.21360981e-04    3010.4       2793.2  
 16       293      false    1.21452974e+00    5.50643406e+00    272.7       252.3  
 17      3000      false    1.26949978e+00    1.04189708e-04    2819.1       2616.9  
 18      3000      false    1.26949557e+00    5.36022895e-04    2911.1       2701.1  
 19       708      false    1.24846558e+00    2.07347142e+00    662.7       612.8  
 20      3000      false    1.26949698e+00    3.56666299e-04    3081.8       2858.5  
 21       713      false    1.26101532e+00    8.37577964e-01    729.5       674.3  
 22      3000      false    1.26949851e+00    2.29391793e-04    2820.8       2617.3  
 23       402      false    1.23571156e+00    3.33422596e+00    327.2       303.0  
 24      3000      false    1.26949991e+00    9.73655695e-05    2633.0       2443.6  
 25       231      false    1.22507228e+00    4.38795422e+00    215.6       199.2  
 26      3000      false    1.26949559e+00    4.80057593e-04    2669.5       2477.3  
 27      3000      false    1.26950060e+00    3.16250319e-05    2617.1       2431.1  
 28      3000      false    1.26949924e+00    1.89795982e-04    2726.9       2530.5  
 29       250      false    1.22489137e+00    4.40143204e+00    219.4       203.2  
 30      3000      false    1.26950008e+00    7.69060609e-05    2933.0       2724.0  
 31      3000      false    1.26949642e+00    4.31473065e-04    2842.0       2637.2  
 32      3000      false    1.26949875e+00    2.43592938e-04    2675.1       2483.2  
 33      3000      false    1.26949734e+00    3.39404020e-04    2682.0       2489.5  
 34       624      false    1.25245547e+00    1.68501005e+00    574.4       531.3  
 35      3000      false    1.26949919e+00    1.68168524e-04    2701.5       2507.2  
 36      3000      false    1.26950062e+00    2.84378383e-05    2594.1       2410.9  
 37      3000      false    1.26950051e+00    4.00648594e-05    2652.3       2463.6  
 38      3000      false    1.26950080e+00    1.26643941e-05    2626.9       2440.9  
 39      3000      false    1.26949959e+00    1.73769639e-04    2590.2       2405.4  
 40      3000      false    1.26950024e+00    6.50671655e-05    2644.9       2456.2  
 41       215      false    1.22796733e+00    4.10281174e+00    169.5       157.0  
 42       603      false    1.25645976e+00    1.28225990e+00    513.1       474.7  
 43       395      false    1.22885667e+00    4.05014344e+00    360.2       333.3  
 44       326      false    1.22764448e+00    4.13326004e+00    283.4       262.1  
 45      3000      false    1.26950070e+00    1.94069892e-05    2627.8       2443.1  
 46       426      false    1.23101437e+00    3.79637211e+00    373.9       345.9  
 47      3000      false    1.26950076e+00    2.30743393e-05    2689.5       2498.9  
 48      3000      false    1.26950022e+00    7.30508916e-05    3007.1       2791.3  
 49      3000      false    1.26949845e+00    2.64625808e-04    2984.1       2769.7  
 50      3000      false    1.26949996e+00    1.08457470e-04    2962.7       2749.3  
