 seed  iterations  status     objective           primal        wall (s)   solver(s)  
  1       338      false    1.66520676e+01    4.70450557e-02    239.1       222.0  
  2        24      false    1.19006517e+00    1.90992063e+00     21.0        19.4  
  3       335      false    1.27395808e+01    1.65338387e-01    277.5       256.4  
  4        50      false    7.25755290e+00    6.06337881e-01     40.2        37.1  
  5        17      false    2.18146510e+00    4.93026619e+00     13.8        12.7  
  6        24      false    2.84373999e-01    6.22624997e+00     18.4        17.0  
  7       772      false    1.17085742e+01    7.43647155e-02    522.8       484.7  
  8      2258      false    1.71152332e+01    4.14199872e-15    1387.9       1287.8  
  9       209      false    2.13065281e+01    1.96147323e-01    150.6       139.5  
 10      3000      false    1.67125739e+01    1.41522905e-09    1951.0       1810.1  
 11        19      false    1.03535995e+00    4.93798951e+00     15.7        14.5  
 12        81      false    1.31777282e+01    1.82812169e-01     62.7        58.2  
 13        36      false    3.94228574e+00    3.98812296e+00     29.7        27.4  
 14      1395      false    2.04231639e+01    1.99498389e-01    1006.2       932.2  
 15        26      false    2.25496069e+00    6.36722154e+00     23.1        21.2  
 16       204      false    1.19393436e+01    2.39846610e-01    146.8       135.9  
 17        39      false    3.69736958e+00    1.60154800e+00     33.4        30.8  
 18       410      false    2.01507778e+01    8.99661259e-02    297.4       275.5  
 19        22      false    1.18971177e+00    2.00694698e+00     15.8        14.6  
 20        23      false    1.87471651e+00    2.43405175e+00     21.3        19.6  
 21        38      false    4.62733684e+00    1.64411136e+00     29.6        27.3  
 22        51      false    2.94520329e+00    1.83031704e+00     37.3        34.5  
 23        24      false    3.92480098e+00    2.73773461e+01     19.3        17.8  
 24      1625      false    1.71242487e+01    4.94559817e-15    1029.9       952.0  
 25      2633       true    1.05188909e+04    8.92688701e-15    1992.1       1841.9  
 26        23      false    4.03531082e-01    6.02821183e+00     22.2        20.4  
 27        59      false    1.14547782e+00    2.93375216e+00     45.3        41.9  
 28       174      false    1.73476192e+01    5.69257681e-02    121.1       112.1  
 29        63      false    9.58239370e+00    7.60313310e-01     48.4        44.7  
 30        33      false    7.72136799e+00    1.08596806e+01     29.2        26.9  
 31        25      false    8.44968474e-01    2.31427796e+01     21.3        19.6  
 32       197      false    2.21674994e+01    1.26625652e-01    145.6       135.0  
 33        21      false    1.08752837e+00    5.99716900e+00     21.1        19.4  
 34       138      false    1.83674579e+01    1.10880075e-01    103.7        95.8  
 35        31      false    4.22373599e+00    1.96356634e+00     27.7        25.5  
 36        55      false    7.78798869e-01    2.06742535e+00     44.5        41.1  
 37       283      false    1.59336418e+01    1.36486731e-01    209.8       194.4  
 38      1454      false    1.71086936e+01    5.07191723e-15    972.5       901.8  
 39        21      false    1.12597191e+00    5.61242589e+00     18.1        16.7  
 40       235      false    1.98733386e+01    8.44270678e-02    176.8       163.5  
 41       934      false    1.12946267e+01    8.17382081e-02    658.6       610.3  
 42        33      false    2.63110707e+00    2.64309773e+00     32.0        29.5  
 43        23      false    2.50137076e+00    3.53984513e+00     21.0        19.4  
 44        53      false    2.07883520e+00    1.88959147e+00     45.1        41.9  
 45       773      false    1.69785231e+01    4.35935446e-15    525.3       486.8  
 46       122      false    2.28257133e+01    2.23241039e-01     89.5        82.8  
 47      3000      false    1.53257663e+01    4.78933520e-07    2056.7       1907.0  
 48        25      false    7.91158156e-01    5.94589032e+00     25.8        23.8  
 49       129      false    2.35625808e+01    1.55236848e-01    104.4        96.3  
 50      1753      false    1.59196613e+01    3.81577329e-15    1099.2       1019.9  
