 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1       293       true    8.40248718e+00    9.99200722e-16     513.2         372.7  
  2       259       true    8.51112212e+00    9.99200722e-16     455.4         330.6  
  3       240       true    9.38511969e+00    8.88178420e-16     447.5         324.4  
  4       247       true    7.96232008e+00    8.32667268e-16     479.4         346.6  
  5       304       true    8.28437573e+00    6.66133815e-16     574.2         419.9  
  6       305       true    7.89810391e+00    9.99200722e-16     538.1         386.8  
  7       239       true    8.62933940e+00    8.32667268e-16     479.4         346.6  
  8       256       true    8.44099905e+00    9.99200722e-16     498.3         354.2  
  9       376       true    8.03155217e+00    8.32667268e-16     728.5         523.4  
 10       378       true    8.35296929e+00    8.88178420e-16     748.6         540.7  
 11       257       true    8.65365751e+00    1.05471187e-15     604.9         421.6  
 12       264       true    7.94666452e+00    7.77156117e-16     581.1         404.4  
 13       290       true    8.29153561e+00    1.11022302e-15     664.2         459.9  
 14       278       true    8.50739324e+00    8.88178420e-16     531.8         383.8  
 15       266       true    8.32131326e+00    9.43689571e-16     503.3         367.0  
 16       366       true    8.27429260e+00    1.22124533e-15     706.9         510.1  
 17       299       true    8.00524658e+00    9.99200722e-16     652.2         465.4  
 18       252       true    8.87870627e+00    9.99200722e-16     575.8         404.0  
 19       237       true    8.09770819e+00    8.32667268e-16     463.9         338.0  
 20       242       true    8.33536048e+00    9.99200722e-16     476.4         344.5  
 21       413       true    8.39277994e+00    6.66133815e-16     735.3         537.7  
 22       405       true    8.37311629e+00    1.11022302e-15     769.8         557.1  
 23       296       true    8.57720299e+00    8.32667268e-16     597.9         426.9  
 24       283       true    8.61087111e+00    8.88178420e-16     542.1         396.3  
 25       351       true    7.90562485e+00    8.32667268e-16     616.5         453.3  
 26       370       true    8.32945939e+00    7.21644966e-16     801.2         569.6  
 27       401       true    8.12233455e+00    8.88178420e-16     718.4         525.2  
 28       377       true    8.03941187e+00    1.66533454e-15     748.3         538.8  
 29       239       true    8.85017240e+00    9.99200722e-16     499.9         361.8  
 30       240       true    9.03862073e+00    1.22124533e-15     466.1         337.0  
 31       277       true    8.31018247e+00    8.32667268e-16     606.3         426.6  
 32       389       true    8.10602455e+00    1.02695630e-15     794.5         569.1  
 33       314       true    8.54304850e+00    1.11022302e-15     675.7         478.2  
 34       279       true    7.84763031e+00    7.77156117e-16     562.2         406.5  
 35       213       true    8.16078927e+00    1.11022302e-15     429.5         310.1  
 36       283       true    8.80308032e+00    9.99200722e-16     566.2         407.6  
 37       357       true    7.87994187e+00    8.88178420e-16     734.4         526.3  
 38       226       true    8.21304135e+00    9.71445147e-16     408.2         294.6  
 39       277       true    7.88994156e+00    8.32667268e-16     535.5         386.2  
 40       314       true    8.12320723e+00    9.99200722e-16     599.6         430.6  
 41       289       true    7.72958238e+00    9.99200722e-16     529.2         390.0  
 42       287       true    7.82369430e+00    9.99200722e-16     495.7         363.3  
 43       291       true    7.86397274e+00    8.88178420e-16     502.4         364.2  
 44       338       true    8.11864344e+00    8.88178420e-16     581.3         424.5  
 45       289       true    8.99473210e+00    7.77156117e-16     567.4         408.2  
 46       250       true    7.72157069e+00    8.88178420e-16     446.4         325.9  
 47       357       true    7.94025312e+00    7.21644966e-16     608.1         445.3  
 48       282       true    8.34401667e+00    7.21644966e-16     503.0         365.6  
 49       291       true    7.80765156e+00    8.88178420e-16     498.1         364.3  
 50       353       true    8.09039888e+00    8.32667268e-16     609.6         446.9  
