 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1       184       true    8.40248718e+00    8.88178420e-16     297.1         192.1  
  2       218       true    8.51112212e+00    7.21644966e-16     364.1         239.2  
  3       185       true    9.38511969e+00    7.77156117e-16     305.4         195.9  
  4       173       true    7.96232008e+00    9.43689571e-16     268.5         175.8  
  5       179       true    8.28437573e+00    8.88178420e-16     281.8         185.5  
  6       169       true    7.89810391e+00    7.77156117e-16     271.5         176.7  
  7       186       true    8.62933940e+00    1.11022302e-15     271.1         178.5  
  8       202       true    8.44099905e+00    9.43689571e-16     285.0         189.5  
  9       202      false    8.03155217e+00    8.88178420e-16     274.9         183.4  
 10       182       true    8.35296929e+00    7.77156117e-16     253.5         169.9  
 11       181      false    8.65365751e+00    8.32667268e-16     250.4         165.8  
 12       190       true    7.94666452e+00    7.77156117e-16     266.4         177.7  
 13       196       true    8.29153561e+00    8.32667268e-16     272.9         182.6  
 14       178       true    8.50739324e+00    7.77156117e-16     289.8         186.9  
 15       190       true    8.32131326e+00    9.43689571e-16     278.7         184.8  
 16       175       true    8.27429260e+00    7.77156117e-16     247.1         165.4  
 17       184       true    8.00524658e+00    1.11022302e-15     254.4         168.7  
 18       169       true    8.87870627e+00    7.77156117e-16     237.1         157.2  
 19       173       true    8.09770819e+00    8.32667268e-16     251.1         165.8  
 20       189      false    8.33536048e+00    7.77156117e-16     261.0         173.7  
 21       190       true    8.39277994e+00    7.77156117e-16     257.8         172.3  
 22       213       true    8.37311629e+00    9.43689571e-16     297.4         198.7  
 23       185       true    8.57720299e+00    1.11022302e-15     259.6         172.2  
 24       179       true    8.61087111e+00    9.99200722e-16     247.7         164.2  
 25       199       true    7.90562485e+00    1.22124533e-15     275.4         184.0  
 26       177       true    8.32945939e+00    8.88178420e-16     246.8         164.9  
 27       190       true    8.12233455e+00    9.99200722e-16     286.6         189.5  
 28       168       true    8.03941187e+00    9.43689571e-16     257.1         170.1  
 29       177       true    8.85017240e+00    7.77156117e-16     292.5         189.6  
 30       171       true    9.03862073e+00    9.99200722e-16     311.0         198.9  
 31       197       true    8.31018247e+00    1.05471187e-15     281.8         186.2  
 32       185       true    8.10602455e+00    9.15933995e-16     296.2         194.2  
 33       184       true    8.54304850e+00    9.99200722e-16     293.5         192.6  
 34       179       true    7.84763031e+00    1.13797860e-15     287.8         189.6  
 35       187      false    8.16078927e+00    1.33226763e-15     299.6         194.7  
 36       171       true    8.80308032e+00    7.77156117e-16     273.0         179.1  
 37       174      false    7.87994187e+00    1.05471187e-15     272.9         179.6  
 38       209      false    8.21304135e+00    1.05471187e-15     318.0         208.6  
 39       180       true    7.88994156e+00    8.88178420e-16     310.0         199.8  
 40       183       true    8.12320723e+00    8.32667268e-16     291.5         191.0  
 41       190       true    7.72958238e+00    9.43689571e-16     283.1         187.5  
 42       172       true    7.82369430e+00    8.88178420e-16     249.2         166.3  
 43       178       true    7.86397274e+00    7.77156117e-16     272.2         179.0  
 44       191       true    8.11864344e+00    1.11022302e-15     307.1         201.8  
 45       183       true    8.99473210e+00    1.11022302e-15     290.9         191.6  
 46       174      false    7.72157069e+00    7.21644966e-16     285.5         187.0  
 47       174       true    7.94025312e+00    1.33226763e-15     311.6         199.5  
 48       190       true    8.34401667e+00    8.32667268e-16     322.2         207.4  
 49       180      false    7.80765156e+00    9.99200722e-16     271.7         179.6  
 50       195       true    8.09039888e+00    1.19348975e-15     312.9         205.9  
