 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1         2       true    8.16363749e-12    2.71052981e+02     1111.6          0.0  
  2         2      false    7.84322493e+01    3.92065519e+02     3010.9          0.0  
  3         5      false    8.00374821e+01    2.17501101e+03     4828.2          0.0  
  4         2       true    7.75437302e+01    5.24619496e+02     2407.3          0.0  
  5         2      false    7.97543626e+01    4.14270800e+02     2874.3          0.0  
  6         5      false    7.90920723e+01    1.72423011e+03     5753.5          0.0  
  7         2       true    9.67719595e-12    2.72253874e+02     1173.5          0.0  
  8         4       true    1.66505947e-10    8.83204987e+02     3225.9          0.0  
  9         4      false    7.90777995e+01    1.09001340e+03     4348.5          0.0  
 10         3      false    8.13826243e+01    1.04451552e+03     3569.3          0.0  
 11         2       true    8.36052621e-12    2.74537834e+02     1185.6          0.0  
 12         3       true    7.72247188e+01    7.27736025e+02     3557.4          0.0  
 13         4      false    7.95793625e+01    1.72132138e+03     4069.1          0.0  
 14         4       true    7.84707635e+01    1.84934994e+03     4101.1          0.0  
 15         2       true    7.85605079e+01    3.97785629e+02     2844.7          0.0  
 16         3      false    8.10093171e+01    7.81120461e+02     3486.1          0.0  
 17         7       true    7.67106626e+01    2.13316941e+03     6702.0          0.0  
 18         3       true    7.99002997e+01    7.21038710e+02     3361.8          0.0  
 19         4      false    7.71312935e+01    1.27285393e+03     4215.1          0.0  
 20         3      false    8.04434844e+01    5.85682419e+02     3643.3          0.0  
 21         4      false    7.81551359e+01    7.19235452e+02     4902.4          0.0  
 22         3      false    8.12950443e+01    6.85865113e+02     4166.4          0.0  
 23         5      false    7.73310587e+01    2.78500742e+03     5190.9          0.0  
 24         2       true    7.68152836e+01    6.08490542e+02     2548.4          0.0  
 25         4       true    7.91907708e+01    1.74794811e+03     4120.6          0.0  
 26         2      false    7.80043117e+01    3.94337703e+02     3172.0          0.0  
 27         2      false    7.66190638e+01    3.83284353e+02     3105.1          0.0  
 28         3      false    8.12338253e+01    6.48679458e+02     3864.0          0.0  
