 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1       413       true    3.31713320e+04    1.84428992e-07     63632.8          0.0  
  2       409       true    3.42420359e+04    8.95268341e-08     62627.3          0.0  
  3       414       true    4.53452644e+04    7.16204877e-13     63502.9          0.0  
  4       413       true    3.11389431e+04    1.64041676e-07     63552.1          0.0  
  5       364       true    1.05737982e+04    5.06407372e-09     55735.1          0.0  
  6       415       true    2.78174030e+04    2.01515352e-07     63591.8          0.0  
  7       410       true    3.72285086e+04    1.44023170e-07     63195.1          0.0  
  8       418       true    3.59913465e+04    1.02473586e-12     64194.1          0.0  
  9       412       true    2.38915843e+04    7.79715068e-08     63574.8          0.0  
 10       406       true    1.51872271e+04    8.12334994e-09     62106.6          0.0  
 11       414       true    3.93110226e+04    5.36015681e-13     63417.3          0.0  
 12       410       true    2.65943608e+04    5.89707660e-08     63305.0          0.0  
 13       410       true    3.17385283e+04    7.88309816e-08     63069.2          0.0  
 14       418       true    3.90335559e+04    1.01940678e-12     64500.3          0.0  
 15       412       true    3.34335262e+04    1.56159624e-07     63455.9          0.0  
 16       381       true    1.25202251e+04    6.52897553e-09     59516.8          0.0  
 17       415       true    3.18463238e+04    2.69013971e-07     63611.5          0.0  
 18       411       true    3.91365336e+04    1.91119987e-07     64439.0          0.0  
 19       416       true    3.40751492e+04    7.00550732e-13     63852.0          0.0  
 20       410       true    3.33096145e+04    1.03657158e-07     63341.7          0.0  
 21       376       true    1.20871878e+04    7.35888062e-09     57873.0          0.0  
 22       396       true    1.44040475e+04    6.56019217e-09     60951.6          0.0  
 23       414       true    3.85674001e+04    5.63327167e-13     63396.3          0.0  
 24       417       true    3.74541798e+04    9.96314146e-13     64907.8          0.0  
 25       409       true    1.80583533e+04    1.35999947e-08     62954.5          0.0  
 26       363       true    1.04334882e+04    4.84855278e-09     57207.9          0.0  
 27       397       true    1.47271654e+04    1.28595364e-08     60963.4          0.0  
 28       409       true    1.61956022e+04    1.16447901e-08     63775.4          0.0  
 29       411       true    3.93981666e+04    1.99377474e-07     63229.7          0.0  
 30       414       true    4.46783073e+04    6.45261626e-13     65408.8          0.0  
 31       412       true    3.45018389e+04    1.67369029e-07     63132.9          0.0  
 32       393       true    1.43496819e+04    5.93946631e-09     61144.5          0.0  
 33       410       true    3.71158773e+04    1.41762994e-07     63063.4          0.0  
 34       411       true    2.58066342e+04    7.71150496e-08     63134.8          0.0  
 35       414       true    3.05016607e+04    2.30825045e-07     63714.4          0.0  
 36       419       true    4.16018559e+04    1.18904886e-12     65080.8          0.0  
 37       410       true    2.02913406e+04    2.85116817e-08     63379.2          0.0  
 38       414       true    2.93000878e+04    2.06888830e-07     63797.9          0.0  
 39       414       true    3.03546486e+04    1.70998166e-07     63803.4          0.0  
 40       411       true    3.13204256e+04    1.08614399e-07     64355.2          0.0  
 41       411       true    2.28737559e+04    5.14898760e-08     63091.0          0.0  
 42       412       true    2.44748698e+04    8.44503498e-08     64911.8          0.0  
 43       409       true    2.08921685e+04    2.17192510e-08     62587.0          0.0  
 44       410       true    1.92734583e+04    2.68949130e-08     63026.7          0.0  
 45       416       true    4.20193880e+04    8.40882924e-13     63999.2          0.0  
 46       413       true    2.71388698e+04    1.14057629e-07     65051.3          0.0  
 47       411       true    2.28613403e+04    5.56909425e-08     62731.5          0.0  
 48       414       true    3.24193677e+04    2.59887699e-07     64542.3          0.0  
 49       410       true    2.19986076e+04    3.34466389e-08     63161.1          0.0  
 50       410       true    1.86619712e+04    2.08514476e-08     63846.7          0.0  
 51       416       true    4.34971603e+04    8.92952384e-13     64200.4          0.0  
 52       410       true    2.56296642e+04    4.30754872e-08     63475.7          0.0  
 53       410       true    3.57570240e+04    1.14052232e-07     63347.8          0.0  
 54       419       true    3.98493377e+04    1.30706557e-12     65458.3          0.0  
 55       408       true    1.58831620e+04    9.46569045e-09     62592.4          0.0  
 56       410       true    2.27498641e+04    3.38994309e-08     63435.7          0.0  
 57       408       true    1.76222174e+04    1.17598893e-08     62802.2          0.0  
 58       417       true    3.90533762e+04    8.35886919e-13     64499.6          0.0  
 59       408       true    1.64067555e+04    2.03288428e-08     62688.9          0.0  
 60       413       true    3.24094924e+04    1.79462538e-07     63825.4          0.0  
 61       411       true    2.34869055e+04    4.70076361e-08     63126.8          0.0  
 62       414       true    3.17147454e+04    2.18515285e-07     64010.8          0.0  
 63       414       true    3.00754466e+04    1.82688428e-07     63395.9          0.0  
 64       414       true    3.17699493e+04    2.13747645e-07     64506.0          0.0  
 65       410       true    1.92671356e+04    2.69605960e-08     63020.7          0.0  
 66       412       true    2.52439948e+04    9.08796910e-08     64823.5          0.0  
 67       393       true    1.39338588e+04    1.07656138e-08     60418.8          0.0  
 68       371       true    1.13742112e+04    6.62959820e-09     57019.2          0.0  
 69       417       true    3.75308917e+04    9.55124872e-13     64446.6          0.0  
 70       410       true    1.90255062e+04    2.41065020e-08     62884.8          0.0  
 71       414       true    4.49255304e+04    6.07291998e-13     63564.0          0.0  
 72       411       true    2.64064630e+04    6.74111972e-08     63190.1          0.0  
 73       417       true    3.05592050e+04    9.17488310e-13     64044.2          0.0  
 74       412       true    4.22560206e+04    3.02454936e-07     63613.4          0.0  
 75       398       true    1.44274349e+04    6.69200351e-09     61323.6          0.0  
 76       410       true    2.03433217e+04    2.55032299e-08     62806.9          0.0  
 77       415       true    3.17452565e+04    2.71989475e-07     63635.9          0.0  
 78       412       true    2.42577462e+04    7.88401673e-08     63628.3          0.0  
 79       409       true    1.85119822e+04    1.73005871e-08     62843.1          0.0  
 80       414       true    2.61095727e+04    1.53638039e-07     63303.9          0.0  
 81       408       true    1.65183430e+04    1.05691555e-08     62931.8          0.0  
 82       390       true    1.34891840e+04    8.72514572e-09     59952.4          0.0  
 83       412       true    4.23849849e+04    3.07098188e-07     63338.7          0.0  
 84       415       true    3.44011032e+04    5.57776051e-13     63804.4          0.0  
 85       419       true    4.44072206e+04    1.36302081e-12     64487.0          0.0  
 86       383       true    1.27216753e+04    4.74700834e-09     58613.7          0.0  
 87       418       true    3.17852940e+04    1.24111832e-12     64537.6          0.0  
 88       393       true    1.44966298e+04    5.80460446e-09     60210.1          0.0  
 89       408       true    1.63214855e+04    1.11407734e-08     62577.2          0.0  
 90       411       true    2.66324966e+04    8.40621278e-08     62999.5          0.0  
 91       413       true    2.61774434e+04    1.25625378e-07     63206.2          0.0  
 92       412       true    3.34396314e+04    1.78179105e-07     62868.7          0.0  
 93       411       true    2.13640426e+04    3.86617336e-08     63268.8          0.0  
 94       417       true    3.80021453e+04    9.71667195e-13     64395.1          0.0  
 95       372       true    1.17013934e+04    6.84860069e-09     57110.8          0.0  
 96       408       true    1.56630865e+04    8.99367075e-09     62666.0          0.0  
 97       411       true    2.10508166e+04    4.31747237e-08     63018.2          0.0  
 98       376       true    1.20015202e+04    7.58744612e-09     57444.1          0.0  
 99       409       true    1.67997508e+04    1.34296386e-08     63029.4          0.0  
 100       413       true    2.89022595e+04    1.53947612e-07     63142.3          0.0  
 101       410       true    1.92235698e+04    2.84850545e-08     62979.6          0.0  
 102       409       true    1.70243593e+04    1.44049803e-08     62763.7          0.0  
 103       415       true    2.76982662e+04    1.94467804e-07     63695.0          0.0  
 104       414       true    2.71416449e+04    1.62645927e-07     63225.1          0.0  
 105       409       true    1.65885923e+04    1.18384903e-08     63045.2          0.0  
 106       418       true    3.63652453e+04    1.23656641e-12     64516.1          0.0  
 107       382       true    1.26098523e+04    4.52131504e-09     58590.4          0.0  
 108       419       true    3.95397080e+04    1.13364874e-12     64599.7          0.0  
 109       393       true    1.40515804e+04    6.07899286e-09     60742.9          0.0  
 110       411       true    2.98359686e+04    1.02757585e-07     62926.4          0.0  
 111       409       true    1.75078670e+04    1.63398728e-08     62786.4          0.0  
 112       412       true    4.22402802e+04    2.99930051e-07     63066.1          0.0  
 113       417       true    3.06518444e+04    1.07247545e-12     64365.1          0.0  
 114       412       true    3.06852304e+04    1.18943262e-07     63594.8          0.0  
 115       422       true    4.31625987e+04    1.98319139e-12     65020.0          0.0  
 116       415       true    3.85641410e+04    7.49955658e-13     63924.0          0.0  
 117       374       true    1.18841114e+04    7.43053535e-09     57635.7          0.0  
 118       411       true    2.23404937e+04    5.52259675e-08     63138.0          0.0  
 119       404       true    1.49142261e+04    8.02892181e-09     62049.2          0.0  
 120       413       true    2.51604225e+04    1.07981259e-07     63654.1          0.0  
 121       385       true    1.30352744e+04    5.12920667e-09     59251.2          0.0  
 122       413       true    3.52031928e+04    2.13338215e-07     63070.0          0.0  
 123       414       true    4.07814768e+04    5.50781648e-13     63996.2          0.0  
 124       417       true    3.32389549e+04    6.83231252e-13     64353.8          0.0  
 125       411       true    2.27879947e+04    5.83232419e-08     63065.2          0.0  
 126       411       true    3.84509363e+04    1.74048863e-07     62995.5          0.0  
 127       411       true    2.43776095e+04    5.51488072e-08     63123.1          0.0  
 128       414       true    2.85032434e+04    1.89430004e-07     63427.6          0.0  
 129       406       true    1.53476412e+04    7.86855414e-09     62630.5          0.0  
 130       399       true    1.43909305e+04    1.10303390e-08     61270.0          0.0  
 131       398       true    1.45106869e+04    9.95990557e-09     61193.2          0.0  
 132       412       true    4.14159108e+04    2.66977403e-07     63412.0          0.0  
 133       409       true    2.16068727e+04    2.41295263e-08     63049.5          0.0  
 134       409       true    1.67808335e+04    1.22184674e-08     62810.8          0.0  
 135       390       true    1.36262628e+04    6.04973138e-09     60115.6          0.0  
 136       370       true    1.14992110e+04    6.53296067e-09     56807.9          0.0  
 137       409       true    1.78845879e+04    1.38698131e-08     63138.0          0.0  
 138       381       true    1.26299228e+04    8.67201710e-09     58800.9          0.0  
 139       384       true    1.28037414e+04    4.95649832e-09     61627.6          0.0  
 140       415       true    3.20343252e+04    2.66909702e-07     66326.0          0.0  
 141       411       true    2.04968051e+04    3.88236206e-08     66186.5          0.0  
 142       393       true    1.43435098e+04    1.15930914e-08     63035.2          0.0  
 143       416       true    2.93807606e+04    2.83015660e-07     63719.1          0.0  
 144       409       true    2.16677586e+04    2.25648384e-08     63146.9          0.0  
 145       399       true    1.46630679e+04    6.71357819e-09     61607.2          0.0  
 146       412       true    3.16956305e+04    1.44513831e-07     63050.3          0.0  
 147       410       true    2.02866101e+04    3.19223039e-08     63119.5          0.0  
 148       410       true    1.91027082e+04    2.21940495e-08     63105.7          0.0  
 149       420       true    3.99362603e+04    1.49491531e-12     64943.7          0.0  
 150       415       true    3.06959099e+04    2.31245253e-07     63705.9          0.0  
 151       416       true    3.83780184e+04    7.92144133e-13     64254.4          0.0  
 152       413       true    2.89189101e+04    1.55006209e-07     62848.1          0.0  
 153       412       true    2.47974956e+04    8.07771048e-08     63665.6          0.0  
 154       410       true    3.02984058e+04    6.97577434e-08     62978.2          0.0  
 155       410       true    3.55076511e+04    1.09692581e-07     63024.4          0.0  
 156       409       true    1.80282931e+04    1.80164990e-08     63111.8          0.0  
 157       412       true    4.18526064e+04    2.83363423e-07     64058.1          0.0  
 158       416       true    3.57553372e+04    8.72857346e-13     63928.7          0.0  
 159       415       true    3.67841912e+04    5.84310381e-13     64301.4          0.0  
 160       378       true    1.20980133e+04    4.03230682e-09     58302.3          0.0  
 161       409       true    2.85626440e+04    4.39657384e-08     62803.6          0.0  
 162       411       true    3.90843559e+04    1.90383018e-07     63242.3          0.0  
 163       410       true    3.17314892e+04    8.97701000e-08     62914.2          0.0  
 164       417       true    3.63117147e+04    9.21485115e-13     64015.1          0.0  
 165       419       true    3.47873114e+04    1.26210154e-12     64904.7          0.0  
 166       412       true    2.68486049e+04    1.04325742e-07     63446.6          0.0  
 167       411       true    4.02078435e+04    2.24836993e-07     63229.5          0.0  
 168       409       true    1.64736863e+04    1.18955485e-08     65478.1          0.0  
 169       412       true    4.14942992e+04    2.68733393e-07     66569.7          0.0  
 170       399       true    1.50199000e+04    7.03877684e-09     63651.6          0.0  
 171       397       true    1.46549872e+04    1.08750066e-08     63970.3          0.0  
 172       411       true    2.36348482e+04    5.51465106e-08     65723.4          0.0  
 173       419       true    4.01572297e+04    1.17661437e-12     67466.8          0.0  
 174       416       true    3.52023194e+04    8.78519483e-13     66750.2          0.0  
 175       418       true    3.21364731e+04    9.88875651e-13     67388.9          0.0  
 176       410       true    1.94210086e+04    2.86079623e-08     65678.4          0.0  
 177       375       true    1.20527991e+04    7.18576587e-09     60698.5          0.0  
 178       408       true    1.65785920e+04    1.00733792e-08     65408.9          0.0  
 179       409       true    3.40930042e+04    8.72335699e-08     65399.5          0.0  
 180       385       true    1.29832022e+04    9.78479070e-09     61788.1          0.0  
 181       379       true    1.23616434e+04    7.99077760e-09     61253.5          0.0  
 182       413       true    2.45009349e+04    9.20445707e-08     65904.5          0.0  
 183       395       true    1.40565937e+04    6.38245884e-09     63821.5          0.0  
 184       418       true    3.59556824e+04    9.87321339e-13     66966.5          0.0  
 185       410       true    1.89920421e+04    2.32720201e-08     65717.8          0.0  
 186       411       true    3.92919615e+04    1.96362110e-07     63286.0          0.0  
 187       415       true    3.17990891e+04    2.87326172e-07     64250.2          0.0  
 188       389       true    1.34422911e+04    5.63628899e-09     62228.5          0.0  
 189       420       true    4.38832344e+04    1.35413903e-12     68160.0          0.0  
 190       415       true    3.13140230e+04    2.38953337e-07     66732.0          0.0  
 191       364       true    1.07127990e+04    4.99951813e-09     58645.4          0.0  
 192       410       true    2.09392989e+04    3.06243017e-08     65529.5          0.0  
 193       411       true    2.31601205e+04    5.64934797e-08     66377.7          0.0  
 194       419       true    4.34787021e+04    1.25910394e-12     67220.7          0.0  
 195       408       true    1.57890381e+04    9.80465181e-09     65623.7          0.0  
 196       409       true    1.66930469e+04    1.20651774e-08     65706.4          0.0  
 197       411       true    2.23817274e+04    4.36747417e-08     66122.1          0.0  
 198       414       true    2.76812707e+04    1.50967220e-07     66692.1          0.0  
 199       408       true    1.56904147e+04    9.79774550e-09     65409.0          0.0  
 200       410       true    1.90289439e+04    2.15352308e-08     65227.0          0.0  
 201       416       true    3.87167372e+04    7.90589820e-13     67391.1          0.0  
 202       418       true    3.37331397e+04    1.05637721e-12     67238.8          0.0  
 203       366       true    1.09846336e+04    5.44804735e-09     56381.0          0.0  
 204       415       true    3.23072030e+04    2.68247161e-07     63971.3          0.0  
 205       409       true    1.76843941e+04    1.72762707e-08     63303.3          0.0  
 206       381       true    1.24191143e+04    4.34327418e-09     58479.8          0.0  
 207       417       true    4.14270916e+04    6.90114637e-13     64759.2          0.0  
 208       371       true    1.17291863e+04    6.74459461e-09     59574.1          0.0  
 209       364       true    1.06779635e+04    5.32320477e-09     58853.2          0.0  
 210       416       true    3.44498216e+04    6.17839116e-13     66800.0          0.0  
 211       413       true    2.69846958e+04    1.35506186e-07     66571.3          0.0  
 212       406       true    1.51842097e+04    1.49453158e-08     65151.8          0.0  
 213       408       true    1.71507762e+04    1.22998723e-08     63353.6          0.0  
 214       391       true    1.36051097e+04    5.70135800e-09     60310.9          0.0  
 215       410       true    3.71848823e+04    1.42595869e-07     63427.2          0.0  
