 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1       137       true    1.24853681e-01    2.64539134e-09     42168.6          0.0  
  2       136       true    9.59239277e-02    6.40467592e-10     43634.9          0.0  
  3       262       true    2.10633525e-01    5.45416569e-10     83410.2          0.0  
  4       394       true    2.18762104e-01    7.28481159e-06     152523.5          0.0  
  5       123       true    4.35735147e-02    2.11774795e-09     38118.1          0.0  
  6       377       true    3.29296383e-01    5.27819551e-08     144095.9          0.0  
  7       169       true    1.68031699e-01    3.44005428e-09     48203.2          0.0  
  8       178       true    2.84078266e-01    5.51585755e-10     55799.2          0.0  
  9       134       true    9.48305096e-02    3.23386042e-09     40438.9          0.0  
 10       202       true    7.80670275e-02    7.09273558e-10     65624.8          0.0  
 11       150       true    2.41728582e-01    2.89041016e-09     43863.1          0.0  
 12       117       true    1.13906312e-01    2.11712064e-09     36038.3          0.0  
 13       139       true    1.00383234e-01    2.75138404e-09     41712.9          0.0  
 14       148       true    2.74217485e-01    2.51470817e-09     44456.9          0.0  
 15       144       true    1.35042519e-01    3.55320299e-09     41974.5          0.0  
 16       347       true    4.64865529e-02    4.28959349e-07     141065.4          0.0  
 17       125       true    2.14165092e-01    2.08457440e-09     38587.7          0.0  
 18       143       true    1.47290270e-01    9.59975470e-10     43252.5          0.0  
 19       131       true    2.66469259e-01    2.79191394e-09     38868.5          0.0  
 20       125       true    1.24734845e-01    2.41767241e-09     37985.0          0.0  
 21       177       true    2.08774027e-02    3.66733396e-10     60396.9          0.0  
 22       117       true    3.09420715e-02    1.79277602e-09     36540.6          0.0  
 23       117       true    2.10372676e-01    2.04918069e-09     36832.3          0.0  
 24       584       true    1.61346158e-01    1.48230856e-04     191592.5          0.0  
 25       897       true    5.22709697e-02    7.31516444e-05     254819.5          0.0  
 26       355       true    4.14582600e-02    1.05179957e-07     142701.4          0.0  
 27       361       true    3.66276699e-02    1.08244850e-06     145263.8          0.0  
 28       238       true    1.07074881e-01    5.51910469e-10     83940.5          0.0  
 29       131       true    1.43113547e-01    2.25621310e-09     39152.1          0.0  
 30       130       true    3.05325888e-01    1.30446556e-09     38138.2          0.0  
 31       145       true    1.90085400e-01    2.29034910e-09     42917.8          0.0  
 32       358       true    3.74234710e-02    3.35644880e-08     141773.3          0.0  
 33       234       true    1.65928553e-01    5.70741229e-10     75795.7          0.0  
 34       428       true    1.58119655e-01    5.67387461e-06     159476.2          0.0  
 35       119       true    1.45314614e-01    3.01175012e-09     36936.1          0.0  
 36       255       true    3.87326424e-01    8.33654736e-10     72162.1          0.0  
 37       391       true    8.41228575e-02    1.16143132e-05     156247.6          0.0  
 38       144       true    9.87440255e-02    1.28731681e-09     43662.7          0.0  
 39       138       true    1.99802646e-01    3.86852470e-09     42210.8          0.0  
 40       194       true    1.75035718e-01    5.26914339e-10     61883.4          0.0  
 41       755       true    1.71557683e-01    1.37249820e-04     214808.5          0.0  
 42       379       true    1.60472744e-01    3.30785666e-06     149157.3          0.0  
 43       926       true    5.52584090e-02    2.77050569e-05     228357.8          0.0  
 44       416       true    1.00284129e-01    1.63904130e-06     156902.0          0.0  
 45       174       true    2.78049376e-01    8.01006647e-10     53857.6          0.0  
 46       362       true    2.15711715e-01    1.19665043e-07     145029.8          0.0  
 47       185       true    9.85714663e-02    2.36052090e-10     61839.4          0.0  
 48       133       true    1.30895893e-01    2.19128085e-09     41073.3          0.0  
 49       629       true    8.71007511e-02    3.01590711e-05     197845.3          0.0  
 50       380       true    8.17383327e-02    7.16093902e-06     152978.1          0.0  
 51       701       true    5.33495539e-01    4.51664610e-05     218879.5          0.0  
 52       143       true    7.39280394e-02    1.80181520e-09     42977.2          0.0  
 53       139       true    1.36713979e-01    1.08815980e-09     44386.5          0.0  
 54       723       true    3.10134722e-01    4.07260670e-05     236295.9          0.0  
 55       113       true    7.11595105e-02    1.61413812e-09     35864.3          0.0  
 56       422       true    6.75866193e-02    5.77906594e-06     166366.4          0.0  
 57       962       true    4.59019815e-02    5.57284324e-05     262629.4          0.0  
 58       653       true    3.24352082e-01    2.17801685e-05     217861.9          0.0  
 59       737       true    5.04325159e-02    1.63068869e-05     214159.6          0.0  
 60       122       true    1.08455289e-01    3.26471455e-09     38436.4          0.0  
 61       379       true    8.97810053e-02    1.11635241e-06     152828.5          0.0  
 62       145       true    1.81021943e-01    2.05885813e-09     45370.2          0.0  
 63       133       true    1.30071979e-01    1.60201729e-09     43382.3          0.0  
 64       118       true    1.35452270e-01    2.44619572e-09     37736.2          0.0  
 65       379       true    1.02802774e-01    8.63184345e-07     156499.0          0.0  
 66       142       true    1.48335136e-01    1.07115994e-09     45590.0          0.0  
 67       104       true    5.82603306e-02    2.40186715e-09     33045.0          0.0  
 68        98       true    4.39624720e-02    2.37885373e-09     32255.9          0.0  
 69       198       true    3.02893495e-01    5.45530916e-10     62370.4          0.0  
 70       495       true    1.20179221e-01    8.00083326e-06     191676.2          0.0  
 71       128       true    2.61384574e-01    2.40561306e-09     40986.3          0.0  
 72       202       true    1.17590088e-01    7.42493760e-10     64937.4          0.0  
 73       126       true    2.05675982e-01    1.48187725e-09     39811.6          0.0  
 74       379       true    2.41572543e-01    5.53803129e-10     129159.4          0.0  
 75       125       true    3.52678788e-02    1.37394972e-09     38754.8          0.0  
 76       139       true    7.73027915e-02    2.83580412e-09     44178.6          0.0  
 77       136       true    1.42201064e-01    1.28687783e-09     43038.6          0.0  
 78       204       true    1.84281998e-01    3.26794703e-10     70213.2          0.0  
 79       747       true    6.88977330e-02    6.23573346e-05     240601.2          0.0  
 80       140       true    1.70572354e-01    2.67403542e-09     41094.1          0.0  
 81      1172       true    7.03432808e-02    2.08554484e-04     252698.8          0.0  
 82       106       true    5.74260513e-02    1.40318747e-09     33162.0          0.0  
 83       420       true    2.13333799e-01    4.63417820e-07     157891.5          0.0  
