 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1       567       true    1.65861181e+01    1.42814029e-08     281514.2          0.0  
  2       446       true    1.73051303e+01    1.48830395e-08     213428.6          0.0  
  3      7560       true    2.09298751e+01    1.76106865e-04     3839575.6          0.0  
  4       814       true    2.39717770e+01    8.19250271e-08     385660.2          0.0  
  5       429       true    1.75751912e+01    2.30348647e-08     206551.8          0.0  
  6     11071      false    6.16777149e+02    6.12365426e+00     6324178.5          0.0  
  7       740       true    2.36188871e+01    6.79714778e-08     348397.4          0.0  
  8       425       true    1.72464012e+01    1.46401101e-07     208856.6          0.0  
  9       476       true    1.92792211e+01    9.25489173e-08     220943.0          0.0  
 10       443       true    1.79765926e+01    1.56302324e-08     207740.4          0.0  
 11     13991       true    4.79398239e+03    5.29242004e+01     7507985.6          0.0  
 12     19449       true    3.51831379e+01    2.67900083e-03     8838804.1          0.0  
 13       538       true    2.65644678e+01    4.34785056e-08     258591.0          0.0  
 14       457       true    1.92452858e+01    8.54034421e-08     222266.7          0.0  
 15       403       true    1.63690978e+01    2.00434313e-07     198201.0          0.0  
 16       448       true    1.73321518e+01    1.23453735e-07     218183.2          0.0  
 17       433       true    1.82860486e+01    8.15885130e-08     211241.2          0.0  
 18       408       true    1.63054011e+01    1.17771693e-08     201329.2          0.0  
 19       511       true    2.18606243e+01    6.81383183e-08     246476.8          0.0  
 20       456       true    1.91455237e+01    4.95900729e-08     225955.4          0.0  
 21       604       true    2.51016380e+01    2.08911303e-07     292789.9          0.0  
 22       400       true    1.64368808e+01    4.14132248e-09     199455.5          0.0  
 23       468       true    2.06486763e+01    3.18533100e-07     232899.3          0.0  
 24       415       true    1.68078852e+01    6.02955338e-08     202446.2          0.0  
 25       410       true    1.69432325e+01    8.02043168e-07     201231.2          0.0  
 26       736       true    2.17167745e+01    3.94406329e-08     354096.1          0.0  
 27       402       true    1.68533299e+01    6.69361690e-09     198364.0          0.0  
 28       442       true    1.84465445e+01    5.11460360e-08     214745.1          0.0  
 29       452       true    1.75194164e+01    7.24762813e-07     229917.6          0.0  
 30       386       true    1.71702059e+01    3.25205911e-08     192442.3          0.0  
 31       417       true    1.64097041e+01    1.10948568e-06     206176.6          0.0  
 32       572       true    2.53553937e+01    4.66795608e-07     277323.5          0.0  
 33       559       true    2.33504994e+01    3.84002331e-07     272003.2          0.0  
 34       416       true    1.78296548e+01    3.44490755e-07     205739.4          0.0  
 35       407       true    1.71732588e+01    4.58237001e-08     201863.3          0.0  
 36       410       true    1.74016984e+01    1.00267576e-07     197935.0          0.0  
 37       559       true    2.45384470e+01    8.25807057e-08     268819.7          0.0  
 38     12244       true    5.34304241e+02    3.92082910e+00     7245407.5          0.0  
 39       411       true    1.65682733e+01    6.31764886e-08     203729.5          0.0  
 40       360       true    1.50941377e+01    5.18752482e-08     178155.8          0.0  
 41       461       true    1.92631665e+01    8.75802674e-08     224975.2          0.0  
