 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1       537       true    1.22240618e-01    4.51660568e-02      81.1          0.0  
  2       545      false    3.02195926e-01    4.92829048e-02      56.6          0.0  
  3       117      false    5.74045290e-02    1.18321628e-02      32.9          0.0  
  4       492      false    4.09102638e-02    8.86596860e-02      77.3          0.0  
  5       316      false    4.92108068e-02    4.45261718e-02      50.1          0.0  
  6       197       true    4.79828237e-02    3.64306745e-02      48.1          0.0  
  7       281       true    1.17736291e-01    3.83944738e-02      76.1          0.0  
  8       325       true    2.59097649e-01    5.05123454e-02      60.0          0.0  
  9       237      false    1.22838364e-01    7.81063367e-02      35.9          0.0  
 10       257       true    8.24939527e-02    2.73645620e-02      44.0          0.0  
 11       211       true    1.23380990e-01    4.05776734e-02      60.3          0.0  
 12       344      false    1.08651344e-01    4.23777002e-02      38.1          0.0  
 13       258      false    2.61893006e-01    2.27426080e-01      37.3          0.0  
 14       219       true    1.41354343e-01    6.23391489e-02      61.0          0.0  
 15       513       true    1.32381257e-01    6.05627316e-02      73.6          0.0  
 16       285       true    5.95777462e-02    3.77180980e-02      64.6          0.0  
 17       158       true    1.06281640e-01    6.18654914e-02      29.8          0.0  
 18       353       true    1.74658290e-01    3.69895703e-02      35.5          0.0  
 19       376      false    6.78634738e-02    3.25461304e-02      64.2          0.0  
 20       127       true    5.14327678e-02    1.79605667e-01      40.1          0.0  
 21       127       true    1.64477539e-01    8.81357793e-02      45.3          0.0  
 22        94       true    3.72621208e+00    4.55886229e-01      33.1          0.0  
 23       221       true    6.03719062e-02    4.37944793e-02      62.4          0.0  
 24       538      false    1.27059896e-01    6.76793155e-02      74.1          0.0  
 25       357      false    1.10780384e-01    4.76673530e-02      97.0          0.0  
 26       294       true    6.83428586e-01    9.33190413e-02      59.6          0.0  
 27       457      false    1.69402217e-01    1.22143852e-01      85.7          0.0  
 28       411       true    6.49184331e-02    1.31976959e-01      66.3          0.0  
 29       443       true    2.39069462e-01    4.10233191e-02      71.4          0.0  
 30       308       true    6.88083454e-02    3.07683805e-02      81.2          0.0  
 31       321       true    2.00985839e-01    7.62745977e-02      68.1          0.0  
 32       531      false    6.22058408e-02    3.14814983e-02      36.5          0.0  
 33       147      false    5.05121256e-02    1.46302666e-02      30.3          0.0  
 34       290       true    4.95840931e-02    1.12229077e-02      76.8          0.0  
 35       344       true    3.74853310e-01    4.42153783e-02      37.8          0.0  
