 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1       460       true    8.86345725e-01    2.39173265e-13    777.3          660.4  
  2       447       true    8.86345725e-01    6.71955547e-13    767.0          651.2  
  3       426       true    8.86345725e-01    6.54348103e-13    685.9          581.4  
  4       438       true    8.86345725e-01    9.36089747e-13    702.6          596.4  
  5       461       true    8.86345725e-01    3.75720288e-13    755.5          640.5  
  6       455       true    8.86345725e-01    9.77769948e-13    759.1          645.8  
  7       430       true    8.86345725e-01    3.71345316e-13    687.3          582.3  
  8       446       true    8.86345725e-01    6.15426113e-13    729.7          619.7  
  9       429       true    8.86345725e-01    7.18614404e-13    689.1          583.7  
 10       430       true    8.86345725e-01    6.28950017e-13    697.8          591.6  
 11       435       true    8.86345725e-01    3.32733840e-13    707.9          600.4  
 12       437       true    8.86345725e-01    9.35142588e-13    705.9          597.9  
 13       438       true    8.86345725e-01    7.12276592e-13    752.6          638.3  
 14       437       true    8.86345725e-01    5.66928449e-13    708.2          601.1  
 15       428       true    8.86345725e-01    6.72302491e-13    706.6          598.2  
 16       425       true    8.86345725e-01    5.49798054e-13    689.4          584.0  
 17       459       true    8.86345725e-01    4.66402958e-13    770.3          654.8  
 18       443       true    8.86345725e-01    4.57663421e-13    722.0          612.3  
 19       432       true    8.86345725e-01    1.05454881e-12    709.6          602.4  
 20       448       true    8.86345725e-01    8.38587880e-13    745.3          632.3  
 21       450       true    8.86345725e-01    6.73629555e-13    768.3          651.8  
 22       418       true    8.86345725e-01    7.48078682e-13    699.8          593.4  
 23       454       true    8.86345725e-01    6.99699847e-13    798.3          677.9  
 24       437       true    8.86345725e-01    3.00426350e-13    738.3          626.0  
 25       429       true    8.86345725e-01    6.27029678e-13    718.9          609.4  
 26       468       true    8.86345725e-01    3.32300160e-13    808.9          687.0  
 27       451       true    8.86345725e-01    5.24169250e-13    774.3          656.1  
 28       435       true    8.86345725e-01    2.97282164e-13    744.7          630.7  
 29       446       true    8.86345725e-01    6.24980970e-13    753.6          638.8  
 30       433       true    8.86345725e-01    3.71839712e-13    717.7          607.8  
 31       440       true    8.86345725e-01    6.20654569e-13    751.2          636.9  
 32       437       true    8.86345725e-01    7.07039462e-13    748.3          634.5  
 33       444       true    8.86345725e-01    5.76974232e-13    755.8          641.1  
 34       453       true    8.86345725e-01    5.19095184e-13    794.7          674.7  
 35       440       true    8.86345725e-01    8.14716350e-13    767.8          650.6  
 36       436       true    8.86345725e-01    1.01304555e-12    770.8          654.0  
 37       432       true    8.86345725e-01    1.27615453e-12    742.1          628.5  
 38       464       true    8.86345725e-01    6.94730731e-13    839.2          714.0  
 39       462       true    8.86345725e-01    7.01654013e-13    822.5          699.2  
 40       441       true    8.86345725e-01    3.58808469e-13    766.0          648.7  
 41       428       true    8.86345725e-01    6.02341094e-13    738.1          627.3  
 42       441       true    8.86345725e-01    3.74261386e-13    767.7          652.1  
 43       437       true    8.86345725e-01    8.63789942e-13    769.0          652.2  
 44       469       true    8.86345725e-01    9.78706699e-13    801.9          681.2  
 45       423       true    8.86345725e-01    4.31377156e-13    713.5          604.3  
 46       430       true    8.86345725e-01    6.75185602e-13    755.1          640.6  
 47       447       true    8.86345725e-01    3.32144034e-13    751.0          636.4  
 48       434       true    8.86345725e-01    4.97820535e-13    742.2          628.8  
 49       463       true    8.86345725e-01    3.41001533e-13    822.7          698.9  
 50       429       true    8.86345725e-01    4.45298312e-13    735.0          623.2  
