 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1      3000      false    1.01877509e+01    2.90135851e-01    3241.6          2605.0  
  2      3000      false    9.55938581e+00    8.75387676e-01    3291.9          2646.6  
  3      3000      false    1.03077356e+01    5.54105980e-01    3310.5          2660.3  
  4      3000      false    1.03101010e+01    5.60907114e-01    3393.9          2727.5  
  5      3000      false    1.02651365e+01    3.79319185e-01    3453.8          2776.2  
  6      3000      false    1.00353308e+01    1.10773459e+00    3466.7          2787.3  
  7      3000      false    1.02717979e+01    7.08662202e-01    3432.2          2759.9  
  8      3000      false    1.04012948e+01    5.67277061e-01    3467.1          2786.3  
  9      3000      false    1.05455282e+01    1.96865122e-01    3481.0          2798.4  
 10      3000      false    1.04851006e+01    2.99851157e-01    3468.0          2789.6  
 11      3000      false    1.01028170e+01    5.25696919e-01    3574.3          2874.9  
 12      3000      false    9.66977759e+00    4.55510989e-01    3768.2          3032.7  
 13      3000      false    1.04330533e+01    7.67875186e-01    3374.8          2708.4  
 14      3000      false    9.41633648e+00    9.81307549e-01    3475.5          2794.5  
 15      3000      false    1.10503689e+01    1.05167118e+00    3476.5          2794.3  
 16      3000      false    1.09985946e+01    6.91785561e-01    3487.2          2802.3  
 17      3000      false    9.93803674e+00    1.63698322e+00    3810.8          3069.3  
 18      3000      false    1.01165367e+01    3.04020870e-01    3415.7          2744.7  
 19      3000      false    1.00579400e+01    4.70305569e-01    3403.5          2734.4  
 20      3000      false    1.00577429e+01    4.17725176e-01    3496.7          2810.4  
 21      3000      false    1.02704609e+01    6.83396739e-01    3440.5          2766.0  
 22      3000      false    1.00665518e+01    3.78966598e-01    3683.3          2970.2  
 23      3000      false    1.02251469e+01    1.46320397e-01    3536.6          2844.9  
 24      3000      false    9.81589534e+00    8.00068060e-01    3476.8          2794.1  
 25      3000      false    1.05124629e+01    8.99917154e-01    3474.0          2794.0  
 26      3000      false    1.00229581e+01    2.74641773e-01    3516.1          2826.8  
 27      3000      false    1.08426488e+01    1.13764406e+00    3519.5          2831.2  
 28      3000      false    9.59687404e+00    7.02388512e-01    3511.8          2822.7  
 29      3000      false    1.03526468e+01    6.96623844e-01    3454.7          2777.2  
 30      3000      false    1.00842565e+01    7.70220259e-01    3462.9          2783.9  
 31      3000      false    1.01726647e+01    2.38535878e-01    3437.4          2763.1  
 32      3000      false    9.81589534e+00    8.00068060e-01    3387.6          2713.7  
 33      3000      false    1.03527749e+01    6.68121513e-01    3472.9          2791.2  
 34      3000      false    1.00233880e+01    7.43332160e-01    3401.8          2735.3  
 35      3000      false    9.89965746e+00    6.45547724e-01    3558.3          2863.3  
 36      3000      false    9.78610314e+00    8.25665893e-01    3427.4          2755.2  
 37      3000      false    9.77247585e+00    4.60073196e-01    3488.7          2806.4  
 38      3000      false    1.01403420e+01    7.45769522e-01    3495.8          2810.2  
 39      3000      false    1.02031477e+01    1.19908749e+00    3462.2          2783.0  
 40      3000      false    1.02098228e+01    5.20498519e-01    3465.3          2786.1  
 41      3000      false    1.00918584e+01    4.39934956e-01    3447.5          2770.7  
 42      3000      false    9.81589534e+00    8.00068060e-01    3415.6          2742.0  
 43      3000      false    1.00430061e+01    5.57167605e-01    3375.8          2715.0  
 44      3000      false    1.04330533e+01    7.67875186e-01    3372.9          2702.8  
 45      3000      false    1.03332120e+01    1.83535190e-01    3429.3          2757.9  
 46      3000      false    1.02641673e+01    4.90512053e-01    3463.8          2786.1  
 47      3000      false    1.04062165e+01    4.29744956e-01    3518.5          2831.1  
 48      3000      false    1.01790164e+01    4.88664982e-01    3470.9          2789.5  
 49      3000      false    1.01470295e+01    6.47619245e-01    3597.0          2892.9  
 50      3000      false    9.68923082e+00    8.38436980e-01    3486.5          2803.5  
