 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1        37       true    1.26574805e+00    7.51398943e-13      11.2         10.0  
  2        37       true    1.26574805e+00    7.47846229e-13      11.3         10.2  
  3        37       true    1.26574805e+00    7.47846229e-13      11.4         10.2  
  4        37       true    1.26574805e+00    7.47846229e-13      11.4         10.2  
  5        37       true    1.26574805e+00    7.47846229e-13      11.3         10.1  
  6        37       true    1.26574805e+00    7.49622586e-13      12.6         11.5  
  7        37       true    1.26574805e+00    7.46069873e-13      11.4         10.2  
  8        37       true    1.26574805e+00    7.49622586e-13      11.3         10.2  
  9        37       true    1.26574805e+00    7.49622586e-13      11.2         10.1  
 10        37       true    1.26574805e+00    7.47846229e-13      11.7         10.5  
 11        37       true    1.26574805e+00    7.47846229e-13      11.3         10.1  
 12        37       true    1.26574805e+00    7.47846229e-13      11.3         10.2  
 13        37       true    1.26574805e+00    7.49622586e-13      11.3         10.1  
 14        37       true    1.26574805e+00    7.49622586e-13      11.7         10.6  
 15        37       true    1.26574805e+00    7.49622586e-13      11.3         10.2  
 16        37       true    1.26574805e+00    7.47846229e-13      11.3         10.2  
 17        37       true    1.26574805e+00    7.49622586e-13      11.2         10.1  
 18        37       true    1.26574805e+00    7.49622586e-13      11.2         10.0  
 19        37       true    1.26574805e+00    7.49622586e-13      11.2         10.1  
 20        37       true    1.26574805e+00    7.49622586e-13      11.3         10.1  
 21        37       true    1.26574805e+00    7.49622586e-13      11.3         10.1  
 22        37       true    1.26574805e+00    7.49622586e-13      11.2         10.0  
 23        38       true    1.26574805e+00    7.47846229e-13      12.0         10.8  
 24        38       true    1.26574805e+00    7.49622586e-13      11.5         10.3  
 25        37       true    1.26574805e+00    7.49622586e-13      11.2         10.1  
 26        38       true    1.26574805e+00    7.47846229e-13      11.4         10.3  
 27        37       true    1.26574805e+00    7.49622586e-13      11.7         10.5  
 28        37       true    1.26574805e+00    7.47846229e-13      11.3         10.1  
 29        37       true    1.26574805e+00    7.49622586e-13      11.3         10.1  
 30        37       true    1.26574805e+00    7.49622586e-13      11.3         10.1  
 31        37       true    1.26574805e+00    7.46069873e-13      11.7         10.5  
 32        37       true    1.26574805e+00    7.47846229e-13      11.3         10.2  
 33        37       true    1.26574805e+00    7.49622586e-13      11.3         10.1  
 34        37       true    1.26574805e+00    7.47846229e-13      11.2         10.1  
 35        37       true    1.26574805e+00    7.47846229e-13      11.2         10.0  
 36        37       true    1.26574805e+00    7.49622586e-13      11.7         10.6  
 37        37       true    1.26574805e+00    7.46069873e-13      11.3         10.1  
 38        37       true    1.26574805e+00    7.49622586e-13      11.3         10.1  
 39        37       true    1.26574805e+00    7.49622586e-13      11.2         10.1  
 40        37       true    1.26574805e+00    7.47846229e-13      11.8         10.6  
 41        38       true    1.26574805e+00    7.49622586e-13      11.5         10.4  
 42        37       true    1.26574805e+00    7.47846229e-13      11.3         10.1  
 43        37       true    1.26574805e+00    7.49622586e-13      11.2         10.1  
 44        37       true    1.26574805e+00    7.49622586e-13      11.7         10.5  
 45        37       true    1.26574805e+00    7.47846229e-13      11.3         10.1  
 46        37       true    1.26574805e+00    7.49622586e-13      11.3         10.2  
 47        37       true    1.26574805e+00    7.47846229e-13      11.3         10.1  
 48        37       true    1.26574805e+00    7.49622586e-13      11.7         10.6  
 49        37       true    1.26574805e+00    7.49622586e-13      11.3         10.2  
 50        37       true    1.26574805e+00    7.49622586e-13      11.3         10.2  
