 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1      3000      false    1.26950374e+00    2.49946297e-04     1627.1        1529.6  
  2      3000      false    1.26950582e+00    5.52293890e-05     1598.9        1504.3  
  3      3000      false    1.26950417e+00    2.13740179e-04     1629.6        1531.9  
  4      3000      false    1.26950515e+00    1.20399552e-04     1626.4        1529.7  
  5       288      false    1.23288702e+00    3.61307190e+00     152.6        143.2  
  6       936      false    1.26442343e+00    5.10975313e-01     532.6        499.1  
  7      3000      false    1.26950521e+00    1.20596060e-04     1593.1        1498.6  
  8      3000      false    1.26950599e+00    4.11059321e-05     1610.1        1515.3  
  9       380      false    1.21015573e+00    5.85689378e+00     213.4        199.8  
 10      3000      false    1.26950626e+00    1.29050855e-05     1587.9        1495.7  
 11       179      false    1.23700712e+00    3.21139345e+00      79.1         74.4  
 12       566      false    1.25162152e+00    1.76473257e+00     320.2        299.9  
 13      3000      false    1.26950525e+00    1.08238343e-04     1613.1        1517.7  
 14       649      false    1.23951677e+00    2.95191883e+00     377.6        353.7  
 15      3000      false    1.26950583e+00    5.67987480e-05     1633.1        1536.4  
 16       333      false    1.22582202e+00    4.31356363e+00     182.8        171.4  
 17       475      false    1.24973210e+00    1.94953176e+00     264.1        247.5  
 18      3000      false    1.26950422e+00    2.06022497e-04     1596.0        1501.7  
 19      1037      false    1.26851688e+00    1.02548367e-01     554.9        520.2  
 20      3000      false    1.26950609e+00    2.49984881e-05     1595.3        1502.6  
 21       266      false    1.21245994e+00    5.66192669e+00     139.9        131.2  
 22      3000      false    1.26950514e+00    1.22448854e-04     1626.2        1530.4  
 23      3000      false    1.26950467e+00    2.45037673e-04     1639.1        1541.8  
 24      3000      false    1.26950359e+00    2.68622756e-04     1582.0        1490.4  
 25       144      false    1.22649703e+00    4.24824057e+00      78.8         73.8  
 26       561      false    1.25579228e+00    1.35555108e+00     297.8        279.5  
 27      3000      false    1.26950352e+00    2.64897902e-04     1603.1        1506.8  
 28      3000      false    1.26950555e+00    8.28065073e-05     1554.7        1461.1  
 29      3000      false    1.26950357e+00    2.91865392e-04     1575.8        1479.8  
 30      3000      false    1.26950587e+00    5.05883471e-05     1550.4        1459.9  
 31      3000      false    1.26950294e+00    3.46661246e-04     1612.4        1515.3  
 32      3000      false    1.26950547e+00    8.41855201e-05     1596.7        1501.1  
 33      3000      false    1.26950646e+00    8.16872961e-05     1605.0        1508.4  
 34       581      false    1.24831118e+00    2.09015964e+00     306.2        287.0  
 35       775      false    1.26336638e+00    6.04956625e-01     423.5        396.6  
 36      3000      false    1.26950621e+00    1.72874893e-05     1580.6        1486.9  
 37      3000      false    1.26950567e+00    6.84805140e-05     1613.2        1517.6  
 38      3000      false    1.26950508e+00    1.35520875e-04     1606.0        1510.4  
 39      3000      false    1.26950641e+00    7.61154477e-06     1584.3        1490.9  
 40      3000      false    1.26950627e+00    1.63199844e-05     1552.4        1461.9  
 41      3000      false    1.26950596e+00    4.41101938e-05     1586.7        1493.6  
 42      3000      false    1.26950514e+00    1.17185789e-04     1587.2        1494.6  
 43       203      false    1.21967659e+00    4.92204199e+00     102.1         95.8  
 44      3000      false    1.26950611e+00    2.46588678e-05     1620.8        1526.6  
 45       670      false    1.24685070e+00    2.24365837e+00     355.9        333.8  
 46      3000      false    1.26950620e+00    1.96837040e-05     1548.0        1458.7  
 47      3000      false    1.26950639e+00    1.13452832e-05     1555.5        1464.0  
 48      3000      false    1.26950619e+00    2.43563058e-05     1577.1        1486.2  
 49       342      false    1.23365095e+00    3.53151134e+00     178.1        167.2  
 50      3000      false    1.26950598e+00    9.65004754e-05     1615.8        1519.4  
