 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1        56       true    4.90771203e-01    4.70717215e-14      84.4         78.6  
  2        59       true    5.10352442e-01    4.60271469e-14      85.6         79.8  
  3        60       true    6.53443342e-01    3.66859321e-14      84.4         78.7  
  4        58       true    6.93668520e-01    4.92540037e-14      81.3         75.5  
  5        66       true    6.05557928e-01    6.57056874e-14      91.5         85.0  
  6        58       true    5.59765415e-01    4.27238540e-14      80.6         74.8  
  7        56       true    5.80402073e-01    4.49293380e-14      80.5         75.0  
  8        57       true    5.10573561e-01    4.43759612e-14      80.0         74.4  
  9        57       true    4.56169863e-01    4.43881043e-14      79.4         73.8  
 10        57       true    4.26614284e-01    6.17821766e-14      79.7         73.9  
 11        60       true    6.50124097e-01    4.08579420e-14      88.8         82.7  
 12        60       true    5.73717201e-01    5.39047973e-14      85.7         79.8  
 13        59       true    5.59864842e-01    5.22151766e-14      83.4         77.6  
 14        60       true    6.37348340e-01    5.13400086e-14      83.2         77.5  
 15        61       true    5.57531348e-01    3.99039932e-14      84.3         78.4  
 16        61       true    5.07281841e-01    6.13814555e-14      83.8         78.0  
 17        76       true    6.69644396e-01    5.21388488e-14     122.7        115.1  
 18        59       true    5.74823702e-01    4.48408671e-14      82.3         76.2  
 19        62       true    7.15709582e-01    7.33545169e-14      90.9         84.5  
 20        61       true    5.70120454e-01    4.30931332e-14      86.2         80.2  
 21        58       true    4.63181320e-01    4.24989904e-14      82.9         77.1  
 22        58       true    4.11793947e-01    6.40514931e-14      83.9         78.3  
 23        69       true    6.47704240e-01    4.94951302e-14     107.9        101.0  
 24        57       true    4.85264915e-01    5.14531993e-14      83.4         77.6  
 25        59       true    5.07361075e-01    4.35606412e-14      84.6         78.6  
 26        58       true    5.75851759e-01    5.22967086e-14      82.4         76.6  
 27        58       true    4.72221717e-01    3.31726088e-14      80.5         74.8  
 28        58       true    5.52365950e-01    5.60801405e-14      83.6         78.0  
 29        58       true    5.11390305e-01    6.97143081e-14      90.0         84.4  
 30        58       true    7.00827615e-01    4.86694018e-14      82.9         77.1  
 31        59       true    6.46268695e-01    3.94476118e-14      84.8         78.7  
 32        62       true    4.88031851e-01    6.45403869e-14      92.6         86.1  
 33        69       true    6.44787801e-01    4.22337946e-14     104.9         98.0  
 34        59       true    5.90616040e-01    5.56369187e-14      83.0         77.3  
 35        59       true    4.97032564e-01    6.09359568e-14      85.6         79.5  
 36        63       true    5.87011390e-01    3.98452972e-14      91.5         85.4  
 37        57       true    5.18997846e-01    5.27945743e-14      82.2         76.4  
 38        56       true    4.48520827e-01    4.87578727e-14      80.8         75.1  
 39        69       true    6.86809407e-01    4.80318910e-14      98.6         91.6  
 40        59       true    6.33998891e-01    3.90416866e-14      84.5         78.5  
 41        57       true    6.08939060e-01    4.76649969e-14      82.0         76.3  
 42        60       true    5.63801478e-01    4.80174169e-14      84.9         79.0  
 43        56       true    5.33907904e-01    5.21026364e-14      80.8         75.1  
 44        59       true    4.35109314e-01    6.33017808e-14      85.4         79.4  
 45        59       true    4.96047130e-01    4.90495231e-14      84.2         78.1  
 46        61       true    6.88725754e-01    6.52081538e-14      83.8         77.8  
 47        58       true    4.85364388e-01    5.33479511e-14      80.4         74.7  
 48        59       true    4.71578534e-01    5.33132566e-14      85.5         79.7  
 49        56       true    5.60725169e-01    7.36558438e-14      80.7         75.2  
 50        57       true    4.40145507e-01    4.57264435e-14      79.9         74.1  
 51        60       true    7.31176828e-01    5.48467521e-14      85.3         79.2  
 52        62       true    5.18420200e-01    4.15223411e-14      86.4         80.1  
 53        59       true    5.73909449e-01    4.19907165e-14      84.3         78.4  
 54        64       true    6.00490908e-01    3.37143508e-14      88.4         82.2  
 55        60       true    6.36792970e-01    4.97692165e-14      87.0         81.0  
 56        60       true    4.84974320e-01    4.67185156e-14      89.3         83.4  
 57        57       true    4.76493805e-01    5.47535108e-14      81.2         75.5  
 58        63       true    7.17924714e-01    5.09382643e-14      87.7         81.4  
 59        59       true    5.87356176e-01    3.93463474e-14      88.0         81.9  
 60        64       true    5.05138828e-01    6.63340910e-14      98.8         92.3  
 61        58       true    4.76439554e-01    3.66685848e-14      84.2         78.4  
 62        59       true    6.50668995e-01    5.17095047e-14      90.7         84.8  
 63        60       true    4.94841926e-01    3.93955701e-14      88.1         82.0  
 64        58       true    5.23224155e-01    5.00328945e-14      82.2         76.2  
 65        57       true    4.63824949e-01    7.20725563e-14      81.9         75.9  
 66        61       true    6.25311274e-01    7.03742620e-14      90.2         84.0  
 67        58       true    6.29759867e-01    3.83547361e-14      83.0         77.3  
 68        58       true    5.48005139e-01    3.80303428e-14      82.6         76.9  
 69        57       true    5.43844166e-01    5.62030891e-14      79.3         73.7  
 70        60       true    6.22155933e-01    5.74297554e-14      84.2         78.4  
 71        60       true    6.33007417e-01    4.08674830e-14      85.0         79.1  
 72        60       true    5.30668218e-01    5.47444035e-14      84.1         78.4  
 73        60       true    6.01521201e-01    4.89304777e-14      85.8         79.9  
 74        58       true    6.80347465e-01    6.07863369e-14      80.8         75.3  
 75        58       true    4.43687977e-01    3.95783666e-14      84.7         79.0  
 76        55       true    4.67851784e-01    5.17155763e-14      77.9         72.7  
 77        57       true    4.92295988e-01    5.14657761e-14      83.0         77.5  
 78        57       true    6.59976134e-01    5.09557674e-14      79.2         73.7  
 79        56       true    5.24571671e-01    4.23584778e-14      79.5         74.2  
 80        59       true    5.64669953e-01    4.98516159e-14      82.3         76.8  
 81        67       true    4.98118136e-01    5.40401057e-14     107.6        101.0  
 82        57       true    5.20262451e-01    5.89134861e-14      80.3         74.7  
 83        62       true    6.04168211e-01    5.34225442e-14      90.3         84.2  
 84        61       true    5.89043668e-01    4.62459931e-14      85.4         79.4  
 85        61       true    6.67197021e-01    4.75622146e-14      88.2         82.0  
 86        58       true    4.35881282e-01    3.59703586e-14      85.6         79.5  
 87        57       true    5.84129015e-01    7.33553843e-14      80.0         74.3  
 88        60       true    4.93101284e-01    5.55325100e-14      85.4         79.5  
 89        57       true    4.58657816e-01    4.77977033e-14      88.2         82.5  
 90        61       true    5.27612516e-01    4.46864767e-14      87.0         81.0  
 91        57       true    5.64271678e-01    4.53205182e-14      80.7         74.9  
 92        59       true    6.31560533e-01    4.86857733e-14      84.4         78.2  
 93        60       true    4.25039305e-01    4.15500967e-14      84.9         78.8  
 94        57       true    6.39275668e-01    7.31515543e-14      82.1         76.5  
 95        58       true    5.21559189e-01    5.45262078e-14      83.4         77.7  
 96        56       true    4.64549410e-01    4.37900584e-14      79.3         73.8  
 97        59       true    6.50634431e-01    6.37268016e-14      83.6         77.7  
 98        59       true    5.94658561e-01    5.53697713e-14      84.5         78.5  
 99        59       true    4.58024699e-01    4.22794531e-14      86.8         80.7  
 100        68       true    4.53058734e-01    5.12777355e-14     102.3         95.2  
 
