 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1        96       true    4.90772655e-01    4.27854367e-14     125.1        115.7  
  2        98       true    5.10352442e-01    3.92524555e-14     127.5        117.7  
  3        96       true    6.53444819e-01    4.15231001e-14     121.8        112.5  
  4        98       true    6.93668520e-01    4.14113188e-14     133.8        123.3  
  5        96       true    6.05559314e-01    4.90302243e-14     126.5        116.8  
  6        95       true    5.59766984e-01    6.60077461e-14     120.3        110.7  
  7        92       true    5.80403517e-01    4.45571314e-14     124.9        115.0  
  8        93       true    5.10575121e-01    4.42186435e-14     121.0        111.5  
  9        92       true    4.56171374e-01    6.54589230e-14     117.5        108.4  
 10        92       true    4.26615729e-01    4.89018548e-14     114.9        106.2  
 11       107       true    6.50124097e-01    4.88671603e-14     138.1        127.9  
 12        98       true    5.73718623e-01    4.72635169e-14     123.7        114.4  
 13        93       true    5.59866268e-01    4.62355848e-14     116.4        107.7  
 14        97       true    6.37349877e-01    5.57245222e-14     122.6        113.3  
 15        95       true    5.57532845e-01    5.08343367e-14     117.9        108.9  
 16        91       true    5.07283229e-01    4.79390833e-14     115.8        106.8  
 17       105       true    6.69645873e-01    5.91038015e-13     140.6        130.6  
 18        94       true    5.74825186e-01    5.46854229e-14     115.1        106.0  
 19       103       true    7.15709582e-01    4.48304588e-14     132.7        122.9  
 20        98       true    5.70120454e-01    5.10893411e-14     124.6        115.2  
 21        92       true    4.63181320e-01    4.02434162e-14     120.8        111.6  
 22        96       true    4.11795312e-01    2.74398559e-14     125.9        116.6  
 23       106       true    6.47705736e-01    5.14432247e-14     152.9        141.9  
 24        97       true    4.85266477e-01    5.13599580e-14     122.9        113.5  
 25        93       true    5.07362449e-01    6.03198047e-14     117.7        108.8  
 26        96       true    5.75851759e-01    5.12263842e-14     145.6        133.9  
 27        90       true    4.72223093e-01    5.37388330e-14     113.2        104.5  
 28        98       true    5.52367398e-01    4.53639947e-14     126.8        117.4  
 29        96       true    5.11391807e-01    4.09264636e-14     128.2        118.0  
 30        98       true    7.00827615e-01    5.47530771e-14     125.8        116.0  
 31        96       true    6.46270149e-01    4.51088819e-14     120.6        111.2  
 32        96       true    4.88033216e-01    4.54740412e-14     134.5        124.0  
 33       100       true    6.44789270e-01    5.04805074e-14     132.3        122.4  
 34        96       true    5.90617465e-01    5.46340181e-14     122.9        113.4  
 35        94       true    4.97034070e-01    3.61863317e-14     120.1        111.2  
 36        94       true    5.87012943e-01    5.23199106e-14     119.1        109.9  
 37        95       true    5.18999238e-01    6.67781802e-14     123.2        114.0  
 38        93       true    4.48520827e-01    4.21905027e-14     117.8        109.2  
 39       102       true    6.86809407e-01    4.92349217e-14     130.1        120.2  
 40        97       true    6.34000324e-01    6.14139815e-14     121.9        112.5  
 41        95       true    6.08940481e-01    6.17977891e-14     118.7        109.6  
 42       103       true    5.63801478e-01    4.52635976e-14     131.7        121.9  
 43        90       true    5.33909262e-01    4.44505543e-14     112.7        104.0  
 44        95       true    4.35110775e-01    4.37289094e-14     124.2        115.3  
 45        92       true    4.96048688e-01    6.10735421e-14     118.2        109.2  
 46        96       true    6.88727195e-01    5.94845354e-14     123.7        113.8  
 47        91       true    4.85365854e-01    5.14601382e-14     112.9        104.2  
 48        96       true    4.71580016e-01    6.06389938e-14     127.9        118.3  
 49        98       true    5.60725169e-01    5.44668477e-14     127.7        117.7  
 50        91       true    4.40146952e-01    5.65933713e-14     117.5        108.1  
 51       102       true    7.31176828e-01    5.05342296e-14     128.9        118.7  
 52        91       true    5.18421616e-01    4.04958185e-14     129.2        118.7  
 53        98       true    5.73909449e-01    5.17728221e-14     124.3        115.1  
 54        98       true    6.00492515e-01    7.16612815e-14     129.5        119.3  
 55       102       true    6.36792970e-01    3.88074989e-14     133.1        122.7  
 56        99       true    4.84974320e-01    3.53918284e-14     130.4        121.0  
 57        93       true    4.76493805e-01    4.30940006e-14     124.0        114.2  
 58       100       true    7.17926234e-01    5.25031407e-14     127.9        118.0  
 59       100       true    5.87356176e-01    5.78009862e-14     131.5        121.6  
 60        98       true    5.05140301e-01    7.52549065e-14     133.5        124.0  
 61        95       true    4.76440996e-01    4.45338211e-14     123.9        114.6  
 62       101       true    6.50668995e-01    3.78308496e-14     127.4        117.7  
 63        95       true    4.94843419e-01    6.73697209e-14     122.9        113.5  
 64        96       true    5.23225643e-01    4.97757217e-14     121.1        111.8  
 65        90       true    4.63826406e-01    4.62902286e-14     114.3        105.8  
 66       101       true    6.25311274e-01    5.04284114e-14     130.3        120.4  
 67       100       true    6.29759867e-01    5.04353503e-14     127.3        117.5  
 68        94       true    5.48006514e-01    4.13696855e-14     118.7        109.6  
 69        94       true    5.43845743e-01    5.12811365e-14     116.0        107.1  
 70        96       true    6.22157344e-01    4.29057831e-14     122.8        113.7  
 71        97       true    6.33007417e-01    5.69579106e-14     126.6        116.6  
 72        95       true    5.30669655e-01    5.17043006e-14     119.4        110.3  
 73        98       true    6.01522761e-01    5.25551824e-14     125.5        115.7  
 74        99       true    6.80347465e-01    5.73274067e-14     168.2        154.3  
 75        88       true    4.43689366e-01    4.62043598e-14     120.0        110.5  
 76        94       true    4.67851784e-01    3.68871600e-14     120.1        110.9  
 77        99       true    4.92295988e-01    3.16691118e-14     129.0        119.3  
 78       101       true    6.59976134e-01    5.56152346e-14     135.4        124.7  
 79        88       true    5.24573040e-01    6.62039867e-14     110.8        102.1  
 80       100       true    5.64669953e-01    5.08790059e-14     138.9        128.1  
 81       101       true    4.98119498e-01    3.22589178e-14     143.0        132.2  
 82        98       true    5.20262451e-01    4.66016115e-14     126.8        117.0  
 83        96       true    6.04169692e-01    5.36064249e-14     125.9        116.7  
 84        96       true    5.89045168e-01    5.46854229e-14     122.0        112.4  
 85        96       true    6.67198574e-01    7.36810786e-14     122.5        113.0  
 86        94       true    4.35882736e-01    3.39693551e-14     121.7        112.6  
 87        95       true    5.84130587e-01    9.03461334e-14     118.1        108.9  
 88        90       true    4.93102641e-01    4.78866079e-14     113.4        104.9  
 89        87       true    4.58659230e-01    4.69312089e-14     110.9        102.3  
 90        96       true    5.27613948e-01    4.74863204e-14     125.3        116.0  
 91        93       true    5.64273148e-01    5.30912120e-14     116.4        107.3  
 92        99       true    6.31560533e-01    5.11674036e-14     124.1        114.6  
 93        92       true    4.25040759e-01    3.73307071e-14     116.7        107.0  
 94        93       true    6.39277156e-01    5.47081911e-14     119.7        110.7  
 95        93       true    5.21559189e-01    5.27113075e-14     119.5        110.4  
 96        98       true    4.64549410e-01    5.19159368e-14     127.4        117.3  
 97        95       true    6.50635866e-01    5.84567117e-14     119.5        110.2  
 98        94       true    5.94659930e-01    5.04761163e-14     148.3        135.8  
 99        94       true    4.58026213e-01    4.25041946e-14     121.9        112.3  
 100        93       true    4.53060249e-01    5.17971083e-14     123.4        113.8  
