 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1        24       true    1.49852238e+00    7.77156117e-15     26.2        23.5  
  2        37       true    1.18426408e+00    3.61169428e-15     34.4        31.4  
  3        29       true    9.65239453e-01    4.46517823e-15     30.7        28.2  
  4        28       true    9.88036290e-01    3.38715601e-15     26.6        24.2  
  5        38       true    9.52527161e-01    5.49560397e-15     40.6        37.2  
  6        25       true    1.78512708e+00    7.79931675e-15     23.6        21.4  
  7        33       true    1.15298228e+00    4.87653300e-15     31.3        28.4  
  8        23       true    1.79397104e+00    4.13731549e-15     24.2        21.9  
  9        24       true    1.79574921e+00    4.09221268e-15     23.3        21.2  
 10        45       true    1.70707025e+00    5.91627441e-15     57.7        53.5  
 11        28       true    1.18177544e+00    5.47146353e-15     23.5        21.3  
 12        24       true    9.64981697e-01    4.13270763e-15     24.2        22.0  
 13        33       true    9.93502557e-01    3.91353616e-15     27.9        25.3  
 14        23       true    1.51923227e+00    3.41393580e-15     22.2        20.1  
 15        38       true    1.19432680e+00    5.73647304e-15     38.3        34.7  
 16        37       true    1.14939362e+00    5.34022425e-15     37.2        33.7  
 17        28       true    1.19603473e+00    5.93969318e-15     26.4        24.0  
 18        29       true    9.72666971e-01    3.93844571e-15     27.3        24.9  
 19        32       true    1.16566454e+00    5.52335955e-15     30.6        27.9  
 20        31       true    1.10404479e+00    3.91960769e-15     28.8        26.2  
 21        33       true    1.08468472e+00    2.63677968e-15     28.3        25.7  
 22        23       true    1.45094943e+00    5.66213743e-15     20.1        18.2  
 23        32       true    1.16355030e+00    7.63497880e-15     32.1        29.2  
 24        35       true    1.75228488e+00    4.75823807e-15     47.7        44.1  
 25        32       true    9.74333344e-01    4.20242437e-15     28.0        25.5  
 26        30       true    9.07770539e-01    5.34224357e-15     27.6        25.2  
 27        27       true    1.04915717e+00    3.83113680e-15     23.4        21.3  
 28        36       true    1.52805312e+00    3.63074235e-15     41.7        38.4  
 29        33       true    1.37220867e+00    4.75071102e-15     27.4        24.9  
 30        55       true    1.21571236e+00    3.45770708e-15     65.7        60.8  
 31        45       true    1.02314732e+00    3.77649301e-15     59.2        54.8  
 32        38       true    9.94243521e-01    5.85122228e-15     35.3        32.1  
 33        24       true    9.71088821e-01    6.11446657e-15     23.0        20.9  
 34        35       true    1.09082921e+00    4.74099926e-15     32.7        29.8  
 35        28       true    1.66312390e+00    4.79347464e-15     30.1        27.6  
 36        23       true    1.65485967e+00    3.95004667e-15     23.3        21.2  
 37        39       true    1.21300162e+00    4.30211422e-15     34.5        31.4  
 38        23       true    1.78461772e+00    4.38538095e-15     22.8        20.8  
 39        30       true    1.04099292e+00    5.16226601e-15     31.2        28.6  
 40        28       true    9.32660344e-01    2.82499718e-15     30.5        28.1  
 41        27       true    1.06838040e+00    4.08332222e-15     23.8        21.5  
 42        67       true    1.37941106e+00    6.07847106e-15     70.4        63.9  
 43        27       true    9.02895860e-01    5.91575349e-15     28.3        26.0  
 44        22       true    1.65897516e+00    2.44249065e-15     22.6        20.5  
 45        27       true    1.81702488e+00    6.55031585e-15     26.0        23.8  
 46        28       true    1.00829868e+00    4.46214246e-15     25.9        23.5  
 47        34       true    1.33768634e+00    4.97996462e-15     27.6        25.0  
 48        22       true    1.64581726e+00    4.80662060e-15     22.3        20.3  
 49        34       true    9.83175588e-01    3.61803686e-15     40.4        36.7  
 50        28       true    1.59459270e+00    6.38378239e-15     25.9        23.4  
