 seed  iterations  status     objective           primal        wall (s)   solver(s)  
  1       352      false    1.25837755e+01    3.57129519e-15    241.1       223.1  
  2       407      false    7.83311557e+00    1.57726433e-01    291.3       268.8  
  3        77       true    9.65239453e-01    4.87918591e-15     56.5        52.6  
  4       135      false    3.68288657e+01    3.09339883e+01    159.8       146.3  
  5        93      false    9.52527161e-01    3.27515792e-15     64.2        59.4  
  6       106      false    8.13270041e+01    5.23469099e+01    117.1       107.4  
  7       122       true    1.15298228e+00    4.60742555e-15     89.1        82.7  
  8       177      false    3.02962840e+02    2.74710332e+00    232.6       213.3  
  9      1105      false    1.05320650e+01    4.69967965e-02    770.1       711.8  
 10      1032      false    1.09055992e+01    6.65162253e-02    699.5       645.3  
 11      3000      false    1.23010057e+04    1.92784494e-09    2737.1       2517.9  
 12        61      false    7.39887024e+01    9.43548612e+00     52.7        48.4  
 13        76       true    9.93502557e-01    2.52575738e-15     50.6        46.6  
 14       518       true    1.22994124e+04    4.89544386e-15    513.7       472.1  
 15      1768      false    1.27618658e+01    1.22955805e-01    1183.9       1092.2  
 16       278       true    5.56331072e+00    6.16986515e-15    169.0       156.1  
 17       103       true    1.19603473e+00    3.10461292e-15     63.5        58.6  
 18      3000      false    1.44518556e+01    1.67904056e-07    1797.2       1660.9  
 19       253      false    1.36659390e+01    5.42877414e-15    165.7       153.2  
 20      3000      false    1.04007062e+01    9.32232274e-02    1966.3       1816.6  
 21       382      false    1.39845333e+01    7.29347208e-15    230.5       212.9  
 22      3000      false    1.17365082e+01    5.67950517e-02    1948.6       1797.9  
 23      3000      false    1.23006580e+04    7.82984788e-14    2980.4       2739.1  
 24       129       true    1.68543182e+00    4.97558398e-15     89.9        83.2  
 25        84       true    9.74333344e-01    4.43763949e-15     58.7        54.1  
 26        78      false    9.07770539e-01    3.66373598e-15     61.1        56.1  
 27       215       true    5.33811462e+00    3.52821217e-15    147.3       136.0  
 28       280      false    7.56620130e+01    3.07469771e+00    326.8       299.6  
 29       108       true    1.37220867e+00    3.10862447e-15     68.7        63.5  
 30       118       true    1.21571236e+00    6.10622664e-15     75.7        69.9  
 31       115      false    8.73284949e+01    6.19369538e+00    113.1       104.0  
 32       305      false    1.42652163e+01    7.46513361e-15    188.9       174.6  
 33       105       true    9.71088821e-01    3.99525790e-15     67.7        62.7  
 34       277      false    1.39305249e+01    5.11917692e-15    163.9       151.4  
 35      3000      false    1.66312390e+00    7.60821683e-10    1703.2       1576.9  
 36       218       true    6.56808917e+00    5.86119080e-15    138.9       128.3  
 37       133      false    5.38344686e+00    2.16450017e-01     91.0        84.1  
 38       134       true    1.65004331e+00    6.02370699e-15     77.1        71.3  
 39       229      false    1.41314565e+01    4.79734225e-15    148.1       137.0  
 40      3000      false    2.31201048e+04    2.29184738e-01    3371.4       3096.2  
 41       311      false    1.40464423e+01    4.85788684e-15    188.7       174.3  
 42       152       true    1.37941106e+00    4.76174818e-15     86.8        80.3  
 43      3000      false    1.35327350e+01    1.52732332e-01    1980.5       1825.5  
 44      1669       true    1.22980911e+04    1.05270339e-14    1662.4       1528.5  
 45       439      false    8.54944718e+00    1.48223694e-01    282.9       261.1  
 46      3000      false    1.43138580e+01    7.62863437e-06    1696.6       1567.9  
 47      2323      false    1.18228634e+01    1.21036133e-01    1493.7       1378.2  
 48        75       true    1.64581726e+00    3.19077989e-15     52.4        48.4  
 49       401      false    1.68485155e+02    2.53534709e+00    551.6       505.7  
 50       166      false    6.26006332e+00    3.44414248e-15    108.7       100.4  
