 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1        21       true    1.24853681e-01    3.10862447e-15       7.4          6.7  
  2        23       true    9.59239277e-02    2.49800181e-15      10.0          9.1  
  3        28       true    2.10633525e-01    6.47815135e-14      10.4          9.3  
  4        24       true    2.18565604e-01    2.65343303e-14       8.4          7.6  
  5        28       true    4.35735147e-02    4.94049246e-15      10.2          9.1  
  6        20       true    2.03354071e-01    4.05786516e-14       7.3          6.5  
  7        22       true    1.68031699e-01    1.80966353e-14       7.6          6.9  
  8        18       true    1.92978861e-01    1.62647673e-14       6.6          5.9  
  9        30       true    9.48305093e-02    2.88657986e-15      11.1         10.0  
 10        20       true    4.87808762e-02    7.93809463e-15       7.6          6.8  
 11        20       true    2.41728582e-01    2.28150832e-14       7.2          6.4  
 12        32       true    1.13906312e-01    1.38777878e-14      11.9         10.7  
 13        33       true    1.00383234e-01    9.15933995e-15      11.5         10.3  
 14        19       true    2.74217486e-01    1.77635684e-14       6.9          6.2  
 15        21       true    1.35042519e-01    1.37112544e-14       7.6          6.8  
 16        23       true    4.64747482e-02    4.21884749e-15       9.5          8.7  
 17        21       true    2.14165092e-01    2.37587727e-14       7.4          6.7  
 18        29       true    1.47290270e-01    1.49880108e-14      10.0          8.9  
 19        21       true    2.66469259e-01    1.88737914e-14       7.6          6.8  
 20        22       true    1.24734845e-01    5.77315973e-15       8.0          7.2  
 21        27       true    2.08773858e-02    4.49640325e-15      11.0         10.0  
 22        24       true    3.09420716e-02    1.55431223e-15       8.7          7.8  
 23        19       true    2.10372675e-01    5.21804822e-14       6.9          6.2  
 24        17       true    1.60723866e-01    6.99440506e-15       6.4          5.7  
 25        27       true    4.03083608e-02    9.65894031e-15      10.2          9.2  
 26        67       true    4.14518754e-02    2.27595720e-15      26.6         23.6  
 27        26       true    3.66053942e-02    1.01030295e-14       9.5          8.6  
 28        22       true    9.89176534e-02    8.90953977e-15       7.9          7.1  
 29        19       true    1.43113547e-01    1.85962357e-14       7.0          6.2  
 30        20       true    3.05325887e-01    3.70259379e-14       7.1          6.4  
 31        23       true    1.90085400e-01    2.07611706e-14       8.0          7.1  
 32        31       true    3.74217403e-02    2.33146835e-15      10.7          9.6  
 33        19       true    1.65928553e-01    1.04916076e-14       6.8          6.1  
 34        19       true    1.51899551e-01    3.77475828e-14       6.9          6.2  
 35        22       true    1.45314614e-01    5.91193761e-15       8.0          7.1  
 36        17       true    2.56699504e-01    1.54043445e-14       6.3          5.6  
 37        18       true    7.29328192e-02    5.55111512e-15       6.8          6.1  
 38        21       true    9.87440254e-02    4.63518113e-15       7.5          6.7  
 39        22       true    1.99802647e-01    1.13242749e-14       7.8          7.0  
 40        26       true    1.75035714e-01    7.99360578e-15       9.2          8.2  
 41        16       true    1.35822633e-01    1.50990331e-14       7.6          7.0  
 42        36       true    1.59961365e-01    3.99680289e-15      12.1         10.8  
 43        26       true    4.96558869e-02    1.03250741e-14       9.6          8.7  
 44        16       true    8.04728927e-02    2.35922393e-15       6.2          5.6  
 45        17       true    1.81875199e-01    1.26287869e-14       6.4          5.7  
 46        32       true    2.15677289e-01    5.37347944e-14      12.1         10.9  
 47        19       true    9.51570126e-02    2.92543767e-14       7.0          6.3  
 48        23       true    1.30895893e-01    4.96824804e-15       8.1          7.2  
 49        19       true    7.89669946e-02    1.72639680e-14       6.9          6.2  
 50        17       true    5.70771378e-02    6.49480469e-15       6.7          6.0  
 51        18       true    3.52641761e-01    4.71289674e-14       8.0          7.3  
 52        20       true    7.39280393e-02    7.10542736e-15       7.6          6.9  
 53        26       true    1.36713979e-01    6.82787160e-15       9.1          8.2  
 54        17       true    2.84360151e-01    2.81441537e-14       6.3          5.7  
 55        21       true    7.11595106e-02    8.65973959e-15       7.8          7.0  
 56        33       true    5.66547286e-02    4.77395901e-15      11.6         10.4  
 57        20       true    3.56761780e-02    1.73194792e-14       7.1          6.4  
 58        20       true    3.21877688e-01    6.53366250e-14       7.1          6.4  
 59        25       true    4.98189638e-02    8.10462808e-15       9.3          8.3  
 60        20       true    1.08455289e-01    3.05311332e-15       7.2          6.5  
 61        24       true    7.52295113e-02    5.38458167e-15      10.1          9.2  
 62        19       true    1.81021943e-01    2.10942375e-14       6.8          6.1  
 63        26       true    1.30071979e-01    2.96984659e-15       9.0          8.1  
 64        20       true    1.35452270e-01    7.93809463e-15       7.1          6.4  
 65        19       true    9.07458289e-02    8.54871729e-15       7.1          6.4  
 66        31       true    1.48335135e-01    2.37032616e-14      10.7          9.6  
 67        20       true    5.82603306e-02    9.99200722e-15       7.4          6.6  
 68        19       true    4.39624721e-02    1.07136522e-14       7.2          6.5  
