 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1      3000      false    1.06495327e+01    8.81265053e-02     1063.7        991.7  
  2      3000      false    1.14385418e+01    9.36452726e-02     1105.6        1030.4  
  3        77       true    9.65239453e-01    4.80626823e-15      27.2         25.5  
  4       115      false    3.00319673e+01    3.08037665e+01      69.5         64.2  
  5       102      false    9.52527161e-01    4.68722283e-15      36.9         34.5  
  6      2650       true    1.22984577e+04    7.56371962e-15     1562.1        1441.5  
  7       116      false    1.15298228e+00    3.04738737e-15      40.1         37.5  
  8       160      false    6.84505107e+00    3.00096764e-15      55.4         51.7  
  9       747      false    1.46971578e+04    2.70020237e+00     498.8        459.9  
 10       186      false    6.61159200e+00    4.01996440e-15      62.7         58.6  
 11       270      false    9.92469617e+02    2.38417303e-01     134.4        124.6  
 12       171      false    5.53413526e+01    8.59236160e+00     115.6        106.6  
 13        74       true    9.93502557e-01    3.35842465e-15      27.1         25.3  
 14       536      false    1.22994124e+04    3.36120021e-14     287.8        266.3  
 15       609      false    1.27238067e+01    1.21905525e-01     221.2        206.2  
 16       446      false    1.19301122e+01    5.71896652e-02     167.7        156.2  
 17       100      false    1.19603473e+00    3.03487162e-15      34.7         32.4  
 18      2975      false    1.33090824e+01    4.50730060e-02     1073.3        1000.5  
 19       191      false    5.22818445e+00    1.41510161e-01      65.0         60.8  
 20      3000      false    1.04007062e+01    9.32232274e-02     1028.7        960.3  
 21      1726      false    1.22999987e+04    7.83248275e-04     949.8        877.9  
 22       449      false    1.72810784e+03    2.32772785e+00     306.6        282.6  
 23      1731       true    1.23006580e+04    6.35927942e-15     877.9        812.7  
 24       116      false    1.68543182e+00    2.58126853e-15      39.4         36.8  
 25        78      false    9.74333344e-01    4.15007858e-15      27.7         25.9  
 26        79       true    9.07770539e-01    4.70570848e-15      28.1         26.2  
 27       175      false    5.33811462e+00    4.10504221e-15      59.2         55.3  
 28       344      false    1.23814412e+01    3.62579257e-15     116.0        108.3  
 29       105      false    1.37220867e+00    4.71844785e-15      35.9         33.5  
 30       118       true    1.21571236e+00    4.44522891e-15      41.3         38.6  
 31       107      false    8.63670041e+01    6.28916838e+00      61.2         56.5  
 32      1103      false    1.23002893e+04    3.37352216e-15     608.4        562.1  
 33       106       true    9.71088821e-01    3.63771513e-15      36.7         34.3  
 34      2153      false    1.23007058e+04    5.94880048e-15     1175.4        1086.1  
 35      3000      false    1.66312390e+00    7.60823626e-10     967.1        904.9  
 36       223       true    6.56808917e+00    4.27498406e-15      77.6         72.5  
 37       136      false    5.38298403e+00    2.40753921e-01      50.2         46.8  
 38       122      false    1.86320348e+00    8.52233015e-02      44.3         41.3  
 39      1037      false    1.35641504e+01    9.79434901e-02     374.1        348.6  
 40      1704      false    1.23008012e+04    6.57503565e-15     900.6        832.5  
 41       271      false    1.40464423e+01    3.61727555e-15      91.3         85.2  
 42       149       true    1.37941106e+00    3.35677802e-15      50.9         47.5  
 43       370      false    1.47227724e+01    4.95203847e-15     125.0        116.7  
 44      3000      false    1.61848959e+04    2.42525594e-01     1693.2        1576.4  
 45      3000      false    2.44453705e+04    2.54915241e-01     1745.3        1623.0  
 46      3000      false    1.43139057e+01    5.16173715e-09     953.9        893.8  
 47      3000      false    1.07979994e+01    4.52004119e-02     1032.4        966.2  
 48        75       true    1.64581726e+00    4.01810746e-15      25.9         24.3  
 49       174      false    6.21207192e+01    2.92317887e+00     101.9         94.8  
 50       188       true    6.26006332e+00    2.54959710e-15      66.2         61.9  
