 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1       150       true    1.97268477e+01    4.02455846e-16     187.0         102.4  
  2       206       true    1.99259893e+01    5.55111512e-16     242.9         134.8  
  3       134       true    2.15677531e+01    4.44089210e-16     173.8          90.6  
  4       149       true    1.86253326e+01    5.55111512e-16     189.6         102.7  
  5       172       true    1.91461175e+01    5.55111512e-16     211.6         120.3  
  6       171       true    1.86390137e+01    5.55111512e-16     214.6         120.8  
  7       132       true    2.01163047e+01    5.55111512e-16     167.3          88.9  
  8       191       true    1.97833780e+01    3.88578059e-16     233.3         129.7  
  9       165       true    1.89982806e+01    3.88578059e-16     201.4         115.0  
 10       165       true    1.95812700e+01    5.55111512e-16     203.7         115.6  
 11       133       true    2.00986566e+01    6.66133815e-16     168.7          89.4  
 12       129       true    1.86876033e+01    6.66133815e-16     158.7          89.5  
 13       135       true    1.94318424e+01    5.55111512e-16     167.8          91.7  
 14       132       true    1.97859604e+01    4.99600361e-16     167.1          88.5  
 15       162       true    1.94825662e+01    4.44089210e-16     194.6         105.2  
 16       166       true    1.92667368e+01    4.44089210e-16     203.6         115.6  
 17       195       true    1.87486941e+01    4.44089210e-16     241.3         131.7  
 18       143       true    2.06042233e+01    4.44089210e-16     180.4          97.6  
 19       190       true    1.88970254e+01    6.66133815e-16     238.2         130.6  
 20       129       true    1.95073382e+01    4.44089210e-16     162.7          88.6  
 21       165       true    1.95413758e+01    7.52869989e-16     203.8         116.1  
 22       163       true    1.96171097e+01    6.66133815e-16     187.5         104.8  
 23       135       true    1.99387938e+01    6.80011603e-16     175.6          93.4  
 24       125       true    2.01444690e+01    4.99600361e-16     155.1          83.1  
 25       181       true    1.86051408e+01    5.55111512e-16     222.8         127.4  
 26       154       true    1.92536334e+01    5.55111512e-16     195.2         111.3  
 27       182       true    1.90318608e+01    1.46432345e-15     220.7         125.2  
 28       183       true    1.88466770e+01    5.55111512e-16     220.8         124.0  
 29       133       true    2.06182504e+01    5.55111512e-16     170.9          92.4  
 30       134       true    2.08301460e+01    6.10622664e-16     172.2          89.1  
 31       131       true    1.93961404e+01    6.66133815e-16     169.2          93.1  
 32       187       true    1.89765077e+01    5.55111512e-16     230.1         131.0  
 33       136       true    1.98761893e+01    5.55111512e-16     171.7          90.0  
 34       142       true    1.84787858e+01    5.55111512e-16     168.7          94.6  
 35       170       true    1.92363218e+01    4.44089210e-16     208.6         116.1  
 36       128       true    2.04367505e+01    2.80331314e-15     166.0          88.5  
 37       213       true    1.85843078e+01    4.44089210e-16     253.3         144.8  
 38       140       true    1.93990479e+01    5.55111512e-16     172.0          95.8  
 39       133       true    1.84782882e+01    5.55111512e-16     170.3          92.8  
 40       129       true    1.90128825e+01    4.44089210e-16     161.1          86.8  
 41       188       true    1.82157248e+01    5.55111512e-16     220.9         125.2  
 42       144       true    1.84638774e+01    4.99600361e-16     167.6          95.3  
 43       206       true    1.85275650e+01    4.99600361e-16     232.3         133.6  
 44       174       true    1.91578967e+01    4.44089210e-16     214.9         123.5  
 45       122       true    2.09186623e+01    5.55111512e-16     157.5          84.3  
 46       133       true    1.81408930e+01    5.55111512e-16     165.8          90.4  
 47       149       true    1.87563032e+01    4.44089210e-16     197.0         114.5  
 48       174       true    1.96349866e+01    4.99600361e-16     208.3         114.6  
 49       144       true    1.83989730e+01    4.44089210e-16     170.7          97.0  
 50       146       true    1.90781660e+01    3.88578059e-16     167.2          87.7  
