 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1        78       true    1.97268477e+01    2.77555756e-17      66.3          54.1  
  2        70       true    1.99259893e+01    2.08166817e-17      58.6          47.7  
  3        70       true    2.15677531e+01    2.77555756e-17      58.8          47.8  
  4        71       true    1.86253326e+01    2.08166817e-17      58.0          47.0  
  5        65       true    1.91461175e+01    2.77555756e-17      52.5          42.5  
  6        63       true    1.86390137e+01    3.12250226e-17      53.4          43.5  
  7        74       true    2.01163047e+01    2.42861287e-17      63.3          51.7  
  8        66       true    1.97833780e+01    2.77555756e-17      55.1          44.8  
  9        64       true    1.89982806e+01    2.77555756e-17      53.4          43.4  
 10        66       true    1.95812700e+01    2.08166817e-17      53.8          43.6  
 11        66       true    2.00986566e+01    2.77555756e-17      53.6          43.4  
 12        69       true    1.86876033e+01    2.42861287e-17      56.4          45.7  
 13        75       true    1.94318424e+01    2.77555756e-17      62.0          50.4  
 14        77       true    1.97859604e+01    2.77555756e-17      67.7          55.8  
 15        82       true    1.94825662e+01    2.77555756e-17      76.5          63.7  
 16        63       true    1.92667368e+01    1.90819582e-17      51.4          41.6  
 17        72       true    1.87486941e+01    2.77555756e-17      60.7          49.5  
 18        71       true    2.06042233e+01    2.77555756e-17      58.8          47.8  
 19        65       true    1.88970254e+01    2.08166817e-17      53.0          42.9  
 20        73       true    1.95073382e+01    1.90819582e-17      59.9          48.6  
 21        82       true    1.95413758e+01    3.46944695e-17      73.2          60.5  
 22        73       true    1.96171097e+01    2.77555756e-17      58.6          47.4  
 23        79       true    1.99387938e+01    2.73218947e-17      71.7          59.3  
 24        68       true    2.01444690e+01    2.08166817e-17      54.8          44.3  
 25        69       true    1.86051408e+01    2.77555756e-17      56.8          46.1  
 26        66       true    1.92536334e+01    2.42861287e-17      54.9          44.6  
 27        75       true    1.90318608e+01    7.11236625e-17      63.4          51.6  
 28        68       true    1.88466770e+01    2.77555756e-17      61.1          50.4  
 29        67       true    2.06182504e+01    2.77555756e-17      55.2          44.7  
 30        82       true    2.08301460e+01    2.77555756e-17      73.0          60.2  
 31        77       true    1.93961404e+01    2.77555756e-17      71.0          58.9  
 32        76       true    1.89765077e+01    2.77555756e-17      62.0          50.2  
 33        71       true    1.98761893e+01    2.77555756e-17      58.9          47.7  
 34        68       true    1.84787858e+01    2.77555756e-17      55.8          45.3  
 35        68       true    1.92363218e+01    2.08166817e-17      55.3          44.8  
 36        65       true    2.04367505e+01    1.36511218e-16      52.8          42.8  
 37        69       true    1.85843078e+01    2.08166817e-17      56.3          45.7  
 38        65       true    1.93990479e+01    2.77555756e-17      52.8          42.7  
 39        66       true    1.84782882e+01    2.25514052e-17      53.5          43.3  
 40        73       true    1.90128825e+01    2.42861287e-17      61.6          50.2  
 41        69       true    1.82157248e+01    2.77555756e-17      60.2          49.4  
 42        62       true    1.84638774e+01    1.82145965e-17      51.3          41.6  
 43        67       true    1.85275650e+01    2.77555756e-17      55.0          44.6  
 44        68       true    1.91578967e+01    2.77555756e-17      57.6          47.0  
 45        62       true    2.09186623e+01    2.77555756e-17      50.9          41.2  
 46        61       true    1.81408930e+01    2.77555756e-17      49.4          39.9  
 47        63       true    1.87563032e+01    2.77555756e-17      51.7          41.9  
 48        64       true    1.96349866e+01    2.77555756e-17      52.8          42.8  
 49        65       true    1.83989730e+01    2.08166817e-17      52.7          42.7  
 50        67       true    1.90781660e+01    2.77555756e-17      55.5          45.1  
