 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1       130       true    1.97268477e+01    9.15933995e-16     279.1         142.4  
  2       155       true    1.99259893e+01    8.88178420e-16     309.7         156.8  
  3       130       true    2.15677531e+01    8.88178420e-16     286.8         143.5  
  4       120       true    1.86253326e+01    7.77156117e-16     237.1         120.1  
  5       121      false    1.91461179e+01    9.99200722e-16     249.7         128.5  
  6       123       true    1.86390137e+01    8.88178420e-16     244.3         123.7  
  7       125       true    2.01163047e+01    1.05471187e-15     253.9         129.1  
  8       135       true    1.97833780e+01    7.77156117e-16     290.0         145.6  
  9       140       true    1.89982806e+01    1.27675648e-15     266.1         137.3  
 10       152       true    1.95812700e+01    7.21644966e-16     283.7         145.7  
 11       133       true    2.00986566e+01    9.99200722e-16     278.0         139.7  
 12       127       true    1.86876033e+01    9.99200722e-16     244.9         126.6  
 13       133       true    1.94318424e+01    8.32667268e-16     253.0         130.0  
 14       129      false    1.97859604e+01    8.88178420e-16     247.5         125.4  
 15       126       true    1.94825662e+01    8.88178420e-16     308.9         153.3  
 16       147       true    1.92667368e+01    8.32667268e-16     366.3         184.7  
 17       126       true    1.87486941e+01    1.16573418e-15     311.2         157.1  
 18       126      false    2.06042233e+01    9.43689571e-16     367.1         179.6  
 19       124       true    1.88970254e+01    1.11022302e-15     325.7         160.5  
 20       135       true    1.95073382e+01    8.88178420e-16     409.6         200.1  
 21       146       true    1.95413758e+01    8.32667268e-16     348.5         176.1  
 22       149       true    1.96171097e+01    7.77156117e-16     348.0         174.8  
 23       140       true    1.99387938e+01    9.43689571e-16     341.2         168.0  
 24       127       true    2.01444690e+01    8.88178420e-16     312.1         156.4  
 25       129       true    1.86051408e+01    9.43689571e-16     315.8         159.2  
 26       122       true    1.92536334e+01    8.88178420e-16     282.3         145.1  
 27       137       true    1.90318608e+01    9.99200722e-16     280.9         144.5  
 28       119       true    1.88466770e+01    8.88178420e-16     243.4         125.1  
 29       124       true    2.06182504e+01    9.99200722e-16     269.4         136.6  
 30       133       true    2.08301460e+01    7.77156117e-16     300.2         149.7  
 31       131       true    1.93961404e+01    8.88178420e-16     275.1         139.1  
 32       128       true    1.89765077e+01    8.88178420e-16     285.1         144.2  
 33       130       true    1.98761893e+01    9.43689571e-16     279.4         140.7  
 34       121       true    1.84787858e+01    9.99200722e-16     262.0         133.1  
 35       150       true    1.92363218e+01    1.33226763e-15     295.9         151.1  
 36       126       true    2.04367505e+01    8.88178420e-16     253.5         128.1  
 37       131       true    1.85843078e+01    1.22124533e-15     249.4         129.0  
 38       145       true    1.93990478e+01    7.77156117e-16     280.2         143.4  
 39       118       true    1.84782882e+01    9.99200722e-16     228.8         116.4  
 40       129       true    1.90128825e+01    8.88178420e-16     248.8         127.6  
 41       128       true    1.82157248e+01    1.27675648e-15     244.9         127.0  
 42       119      false    1.84638774e+01    9.99200722e-16     267.1         136.5  
 43       123       true    1.85275650e+01    7.77156117e-16     261.4         135.2  
 44       133       true    1.91578967e+01    9.99200722e-16     279.7         143.1  
 45       127       true    2.09186623e+01    1.22124533e-15     269.4         136.1  
 46       122       true    1.81408930e+01    1.11022302e-15     258.5         131.0  
 47       125       true    1.87563031e+01    7.77156117e-16     279.2         142.0  
 48       129       true    1.96349866e+01    9.99200722e-16     262.2         134.3  
 49       128      false    1.83989730e+01    7.49400542e-16     265.0         136.0  
 50       135       true    1.90781660e+01    8.88178420e-16     282.6         147.1  
