 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1       114       true    4.36551139e+00    3.33066907e-16      83.0         67.0  
  2       123       true    1.49591552e+00    3.33066907e-16      82.3         65.3  
  3       142       true    2.10525549e+00    4.44089210e-16     100.6         80.7  
  4       119       true    1.50410245e+00    3.95516953e-16      80.6         64.3  
  5       104       true    1.17660311e+00    3.33066907e-16      72.7         58.1  
  6       163       true    1.00228130e+00    3.33066907e-16     120.1         96.9  
  7       151       true    2.65777013e+00    4.44089210e-16     111.6         90.1  
  8       215       true    3.18684982e+00    3.33066907e-16     137.4        108.1  
  9       142       true    1.81349114e+00    2.77555756e-16      99.2         78.9  
 10       129       true    2.54913721e+00    3.33066907e-16      90.1         72.4  
 11       140       true    3.57009741e+00    5.55111512e-16      93.9         74.6  
 12       265       true    2.10721348e+00    3.33066907e-16     178.9        139.9  
 13       101       true    1.50051339e+00    3.33066907e-16      69.9         55.9  
 14       122       true    1.49567140e+00    3.33066907e-16      84.0         67.1  
 15       114       true    1.41770669e+00    3.33066907e-16      78.9         63.1  
 16       123       true    3.90861902e+00    3.33066907e-16      93.2         76.1  
 17       140       true    3.05772226e+00    4.44089210e-16      96.2         76.8  
 18       120       true    4.04735242e+00    3.33066907e-16      87.4         70.0  
 19       162       true    2.31167246e+00    4.44089210e-16     109.8         87.4  
 20       115       true    1.22388691e+00    3.33066907e-16      79.5         63.1  
 21       109       true    2.00698541e+00    3.33066907e-16      76.3         61.2  
 22       150       true    1.63564711e+00    3.33066907e-16     109.0         87.8  
 23       119       true    1.86035803e+00    3.33066907e-16      83.8         67.0  
 24       195       true    2.37057560e+00    3.33066907e-16     129.7        101.4  
 25       109       true    3.53177117e+00    3.33066907e-16      81.7         66.5  
 26       159       true    1.67074821e+00    4.99600361e-16     106.0         84.0  
 27       189       true    1.20041310e+00    4.44089210e-16     140.3        110.0  
 28       133       true    2.16292750e+00    4.99600361e-16      94.2         75.5  
 29       117       true    1.68415729e+00    3.33066907e-16      83.6         67.1  
 30       134       true    1.17000966e+00    3.33066907e-16      91.5         73.4  
 31       124       true    2.21318452e+00    3.33066907e-16      89.2         71.8  
 32       124       true    1.17284283e+00    3.88578059e-16      86.6         69.2  
 33       111       true    5.07699661e+00    4.44089210e-16      77.0         61.6  
 34       116       true    1.87038951e+00    3.88578059e-16      82.1         65.8  
 35       106       true    1.82143040e+00    4.44089210e-16      75.5         60.5  
 36       134       true    2.61859941e+00    3.33066907e-16      93.2         74.0  
 37       124       true    1.86851938e+00    3.33066907e-16      87.3         69.6  
 38       110       true    1.65883040e+00    4.44089210e-16      81.0         65.3  
 39       141       true    1.60138429e+00    4.44089210e-16      98.1         78.3  
 40       159       true    1.38795485e+00    3.88578059e-16     110.8         87.4  
 41       162       true    2.57161184e+00    3.33066907e-16     116.3         92.9  
 42       115       true    1.40948690e+00    4.44089210e-16      81.0         65.1  
 43       168       true    1.53418515e+00    6.66133815e-16     124.0         99.7  
 44       107       true    1.35759307e+00    2.22044605e-16      80.8         65.1  
 45        74       true    2.23592611e+00    3.88578059e-16      56.2         45.4  
 46       113       true    2.16836451e+00    3.33066907e-16      79.2         62.9  
 47       245       true    1.67499056e+00    3.60822483e-16     197.5        157.7  
 48       126       true    2.80459015e+00    3.88578059e-16      87.4         70.1  
 49       136       true    1.49639872e+00    4.44089210e-16      96.1         76.7  
 50       131       true    1.86011430e+00    4.44089210e-16      94.1         75.9  
 51       116       true    1.28922620e+00    3.33066907e-16      80.3         63.9  
 52       586       true    3.92218100e+00    3.33066907e-16     541.5        439.8  
 53       147       true    2.75990039e+00    3.33066907e-16      99.9         79.0  
 54       295       true    1.34412443e+00    3.33066907e-16     251.3        198.4  
 55       203       true    1.62319245e+00    2.77555756e-16     136.6        107.8  
 56       105       true    1.85597314e+00    3.33066907e-16      73.3         58.0  
 57       133       true    2.77605722e+00    4.44089210e-16      96.0         77.1  
 58       142       true    1.95942915e+00    5.55111512e-16     103.7         83.6  
 59       121       true    1.20136512e+00    2.22044605e-16      84.1         67.0  
 60       154       true    1.81252169e+00    3.88578059e-16     109.3         87.2  
 61       122       true    1.09744866e+00    3.33066907e-16      83.7         66.6  
 62       112       true    1.72095187e+00    4.44089210e-16      76.1         60.8  
 63       106       true    1.67478361e+00    3.33066907e-16      76.8         61.6  
 64       228       true    1.42380924e+00    3.33066907e-16     186.5        152.2  
 65       115       true    5.46051048e+00    4.44089210e-16      87.8         70.8  
 66       198       true    1.51689520e+00    2.77555756e-16     154.0        125.1  
 67       134       true    2.48677109e+00    3.33066907e-16      93.3         74.4  
 68       101       true    2.53357784e+00    3.33066907e-16      75.6         61.2  
 69       116       true    2.27590047e+00    3.33066907e-16      80.7         64.4  
 70       101       true    3.43726062e+00    3.33066907e-16      73.8         59.4  
 71        94       true    2.66346464e+00    3.33066907e-16      65.9         52.8  
 72       142       true    1.48015836e+00    3.33066907e-16     101.3         80.7  
 73       134       true    2.32971175e+00    3.88578059e-16      91.2         72.6  
 74        94       true    1.10062568e+00    5.55111512e-16      64.5         51.0  
 75       228       true    1.20193803e+00    3.33066907e-16     162.3        128.1  
 76       106       true    1.56901955e+00    4.44089210e-16      76.0         60.7  
 77       136       true    2.18413088e+00    2.77555756e-16     102.1         82.8  
 78       104       true    3.02758190e+00    3.33066907e-16      75.1         60.2  
 79       111       true    2.65775801e+00    3.05311332e-16      80.6         64.3  
 80       131       true    2.07892579e+00    3.88578059e-16      89.5         70.8  
 81       120       true    3.22954409e+00    4.44089210e-16      87.6         70.7  
 82       141       true    1.66049717e+00    3.33066907e-16     100.6         80.9  
 83       131       true    1.77243794e+00    3.33066907e-16      90.2         71.9  
 84       125       true    4.53143917e+00    3.33066907e-16      86.3         68.9  
 85       112       true    3.49768971e+00    4.44089210e-16      80.3         64.1  
 86       122       true    1.05541495e+00    3.40005801e-16      86.7         69.2  
 87       200       true    1.05584873e+00    3.33066907e-16     137.6        107.7  
 88       132       true    1.72292529e+00    4.44089210e-16      94.9         75.7  
 89       136       true    3.17766523e+00    5.55111512e-16      93.4         74.3  
 90       117       true    4.03692629e+00    4.44089210e-16      84.8         68.1  
