 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1       131       true    3.77004255e-02    7.12732748e-14     113.4         93.0  
  2       115       true    3.75529949e-02    7.37557429e-14      70.6         54.0  
  3       122       true    3.88635278e-02    1.47640218e-13      82.5         64.4  
  4       163       true    3.53680786e-02    2.37607921e-14     111.7         86.7  
  5       116       true    3.08631944e-02    1.38500551e-14      69.0         52.9  
  6       275       true    3.40460840e-02    2.22044605e-16     191.9        149.7  
  7       169       true    3.82221085e-02    1.06270796e-13     116.5         90.9  
  8       139       true    3.68290985e-02    8.78009628e-14      94.1         73.0  
  9       166       true    3.42662993e-02    4.83435288e-15     114.9         89.3  
 10       137       true    3.39800676e-02    2.70870040e-15      94.4         73.4  
 11       160       true    3.73157507e-02    2.38630730e-14     114.2         89.0  
 12       196       true    3.54868668e-02    1.21809187e-14     134.9        105.5  
 13       129       true    3.67012505e-02    5.04002540e-14      91.0         70.7  
 14       203       true    3.54498106e-02    2.16352249e-13     144.3        112.9  
 15       137       true    3.82929061e-02    5.83842726e-14      99.5         77.4  
 16       150       true    3.19815311e-02    8.65321913e-15      93.6         72.1  
 17       206       true    3.45108880e-02    1.40707538e-14     142.6        111.1  
 18       150       true    3.94002771e-02    1.73374393e-13     108.5         84.2  
 19       143       true    3.41640058e-02    1.05686503e-13      94.3         73.6  
 20       128       true    3.69693077e-02    1.95279855e-14      90.3         70.2  
 21       157       true    3.36678451e-02    8.36045913e-15     113.4         88.3  
 22       123       true    3.43041032e-02    2.05265187e-14      75.6         57.6  
 23       229       true    3.57332511e-02    8.20401473e-14     156.1        121.8  
 24       133       true    3.69605563e-02    2.07535562e-14      93.8         73.1  
 25       211       true    3.38459837e-02    6.51471340e-14     159.3        125.1  
 26       134       true    3.05280679e-02    5.36051111e-14      91.4         70.6  
 27       315       true    3.41915308e-02    2.75248218e-12     211.2        164.6  
 28       187       true    3.07745530e-02    2.45957590e-14     132.1        103.2  
 29       132       true    3.92719560e-02    4.08084097e-14      94.4         73.7  
 30       146       true    3.61279210e-02    5.92489763e-14     102.0         79.0  
 31       163       true    3.64103479e-02    3.92244957e-14     118.7         92.8  
 32       320       true    3.27836609e-02    2.09816151e-15     247.5        192.1  
 33       177       true    3.56727315e-02    5.48410635e-16     122.8         95.3  
 34       134       true    3.49160186e-02    2.10734924e-14      90.3         70.3  
 35       245       true    3.58544159e-02    9.84725218e-12     179.7        139.1  
 36       156       true    3.61985233e-02    5.66440633e-14     107.7         83.4  
 37       151       true    3.30613482e-02    7.34579947e-14     102.8         79.8  
 38       125       true    3.80098146e-02    5.50697776e-14      83.8         64.7  
 39       253       true    3.37582581e-02    5.19144801e-13     170.8        133.6  
 40       149       true    3.58258859e-02    2.56389199e-14     103.8         80.6  
 41       175       true    3.41495099e-02    6.32987594e-15     142.7        116.9  
 42       103       true    3.52304706e-02    8.89185415e-15      65.7         50.2  
 43       171       true    3.45862574e-02    6.31478855e-14     117.6         91.1  
 44       166       true    3.42779103e-02    1.92498060e-13     117.2         91.3  
 45       140       true    3.86235816e-02    3.25096831e-14      95.3         73.3  
 46       261       true    3.36778005e-02    9.14791882e-14     191.2        148.7  
 47       194       true    3.45385675e-02    5.53027100e-14     137.4        106.9  
 48       105       true    3.89516545e-02    9.04642623e-16      79.7         61.9  
 49       151       true    3.35728356e-02    3.70368481e-14      99.8         77.3  
 50       158       true    3.42709915e-02    2.94130497e-16     112.8         87.7  
 51       125       true    3.69055189e-02    8.65974129e-15      85.7         66.3  
 52       160       true    3.70247752e-02    9.06549251e-14     110.1         85.5  
 53       118       true    3.81085671e-02    6.91465690e-15      82.7         64.4  
 54       206       true    3.57295039e-02    2.82980316e-14     146.1        113.7  
 55       123       true    3.17252149e-02    5.40306901e-15      78.7         60.4  
 56       197       true    3.57443203e-02    3.05850642e-14     135.6        104.4  
 57       141       true    3.57821811e-02    1.72541832e-13      96.9         75.0  
 58       135       true    3.72414568e-02    5.70458267e-15      94.9         73.5  
 59       134       true    3.37335067e-02    9.77072833e-15      86.3         65.9  
 60       135       true    3.62815659e-02    7.35663658e-15      95.8         74.3  
 61       119       true    3.69314209e-02    4.06079631e-14      75.1         57.4  
 62       191       true    3.40430463e-02    1.65757910e-14     131.6        102.0  
 63       126       true    3.64843160e-02    4.98303804e-14      87.6         68.0  
 64       118       true    3.74934445e-02    2.41767860e-14      82.7         64.0  
 65       225       true    3.36111794e-02    8.31593879e-14     150.6        116.6  
 66       217       true    3.30199801e-02    9.56614112e-14     144.8        112.3  
 67       132       true    3.21994074e-02    2.89820488e-14      82.4         62.8  
 68       118       true    3.17422824e-02    4.24947112e-15      74.3         56.8  
 69       136       true    3.73111060e-02    6.04226383e-14      94.4         72.9  
 70       144       true    3.21984688e-02    1.13382246e-14      97.1         74.7  
 71       133       true    3.75173839e-02    6.99205263e-14      91.1         70.1  
 72       149       true    3.59855277e-02    7.66252885e-11     103.4         79.9  
 73       175       true    3.32153209e-02    5.95529722e-15     119.6         92.9  
 74       158       true    3.64393577e-02    9.57804913e-14     105.7         81.6  
 75       127       true    3.32261804e-02    2.07267353e-15      82.2         63.0  
 76       162       true    3.48262030e-02    1.83783817e-14     108.2         84.0  
 77       150       true    3.63122625e-02    5.51362695e-12     103.0         79.5  
 78       231       true    3.36254591e-02    3.02241142e-14     156.0        120.9  
 79       224       true    3.41836962e-02    1.22981607e-14     150.4        116.8  
 80       110       true    3.40043848e-02    6.56649163e-15      71.7         54.7  
 81       201       true    3.36735509e-02    5.38709947e-14     139.0        108.0  
 82       123       true    3.21036811e-02    5.64177357e-14      75.7         58.7  
 83       168       true    3.80462490e-02    8.73501372e-15     119.7         92.1  
 84       116       true    3.79596901e-02    1.29501237e-14      75.4         57.8  
 85       140       true    3.60476007e-02    6.58149034e-14      97.1         74.9  
 86       132       true    3.21887517e-02    4.98891310e-15      85.2         65.4  
 87       124       true    3.64682377e-02    1.11022302e-16      88.3         68.0  
 88       216       true    3.37074076e-02    7.50490080e-15     150.1        116.5  
 89       162       true    3.24360026e-02    5.44474396e-14     110.4         85.3  
 90       160       true    3.47013797e-02    3.90419576e-14     111.6         86.3  
 91       111       true    3.54268061e-02    2.40718971e-15      80.6         62.2  
 92        88       true    3.84480852e-02    1.11022302e-16      61.7         47.1  
 93       243       true    3.59181085e-02    2.72960009e-14     170.4        132.0  
 94       165       true    3.52946912e-02    2.50714616e-14     110.2         84.6  
 95       148       true    3.21885046e-02    9.68099451e-15      91.2         69.2  
 96       201       true    3.27901370e-02    9.28018221e-14     141.3        109.1  
 97       138       true    3.19732835e-02    2.74502219e-14      91.0         70.0  
 98       133       true    3.11388586e-02    5.78930502e-15      83.8         63.9  
 99       119       true    3.27788411e-02    1.13004258e-14      77.1         59.0  
 100       121       true    3.63186653e-02    7.27111259e-14      83.1         63.9  
