 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1       227       true    4.69289137e-02    5.07541194e-12     167.5        132.6  
  2       297       true    5.36792179e-02    1.10657367e-14     242.0        193.6  
  3       299       true    6.02995206e-02    2.77555756e-17     230.7        183.5  
  4       347       true    5.43229603e-02    2.47804170e-14     261.7        207.0  
  5       480       true    4.35669357e-02    1.74811988e-14     408.3        322.7  
  6       454       true    4.17140310e-02    2.08166817e-17     358.7        284.4  
  7       318       true    5.08738946e-02    9.68719745e-16     249.0        199.4  
  8       154      false    5.29290469e-02    2.28045186e-06     130.9        104.4  
  9       274       true    4.36296420e-02    3.14891240e-12     234.3        187.9  
 10       292       true    4.83383905e-02    3.62550948e-15     242.7        195.0  
 11       368       true    5.47726471e-02    2.77555756e-17     288.7        230.8  
 12       331       true    6.07283010e-02    3.73047409e-13     266.3        212.4  
 13       167       true    5.41945957e-02    2.77555756e-17     130.8        101.2  
 14       307       true    4.45130081e-02    9.66936427e-15     250.6        199.7  
 15        94       true    4.96762750e-02    1.38777878e-17      67.3         52.8  
 16       376       true    6.42995983e-02    5.39417554e-16     314.4        250.5  
 17       361       true    4.86659388e-02    1.55391427e-15     275.9        218.2  
 18       269       true    5.59915031e-02    8.04360198e-14     203.9        162.7  
 19       400       true    5.17574003e-02    4.43342195e-14     316.0        253.2  
 20       188       true    5.40797515e-02    6.16469153e-16     144.0        112.8  
 21       579       true    6.13287434e-02    5.90007464e-13     489.9        393.2  
 22       466       true    5.47516107e-02    1.36323529e-11     382.2        304.0  
 23       279       true    5.11035257e-02    1.90808919e-13     209.9        167.0  
 24       339       true    4.22759722e-02    3.29998647e-14     251.4        200.2  
 25       313       true    4.89386589e-02    4.52414390e-15     241.9        190.7  
 26       140      false    4.87063241e-02    4.99330549e-06     111.9         90.0  
 27       458      false    6.71212441e-02    2.35440188e-06     386.7        308.9  
 28       427       true    5.05241839e-02    1.48441985e-10     358.7        287.2  
 29       214       true    4.57050856e-02    1.07299199e-14     165.6        131.7  
 30       389       true    4.57342192e-02    2.56029831e-15     307.8        245.4  
 31       429       true    5.93366289e-02    5.64519448e-12     359.7        286.3  
 32       610       true    6.51697725e-02    1.45147035e-15     486.3        384.0  
 33       197       true    6.85036053e-02    2.85262444e-15     138.1        110.2  
 34       356       true    6.08239668e-02    6.17490781e-12     301.0        240.5  
 35       436       true    4.82199704e-02    1.21294130e-13     366.0        293.6  
 36       305       true    4.35531274e-02    2.77555756e-17     235.9        187.9  
 37       506       true    6.07300628e-02    2.77555756e-17     422.0        334.6  
 38       113       true    4.32460161e-02    7.19701483e-14      91.2         72.7  
 39       366       true    5.56324495e-02    5.99677192e-12     292.3        232.6  
 40       317       true    6.52491596e-02    9.42297036e-13     239.5        189.0  
 41       354       true    5.73328291e-02    5.29512722e-12     291.7        232.1  
 42       302       true    5.24909169e-02    3.56068588e-12     254.3        202.3  
 43       353       true    4.83291158e-02    1.82513234e-15     266.4        209.5  
 44       423       true    4.82607999e-02    1.00567910e-12     367.1        294.0  
 45       127       true    4.06789760e-02    2.15101838e-14      94.4         74.7  
 46       393       true    5.34518620e-02    6.33139197e-14     308.6        245.2  
 47       406       true    4.89257625e-02    3.74924587e-13     345.6        277.3  
 48       175       true    4.52183044e-02    1.41813644e-16     136.0        106.9  
 49       223       true    5.45000489e-02    9.12531709e-14     162.3        127.2  
 50       500       true    4.96161501e-02    3.96215397e-11     427.5        341.4  
 51       324       true    4.71314299e-02    9.76862060e-15     245.0        193.5  
 52       160       true    5.60695946e-02    2.77555756e-17     130.1        102.6  
 53       285       true    5.85184132e-02    1.19196154e-14     213.8        169.3  
 54       347       true    4.04344463e-02    2.77555756e-17     269.5        213.8  
 55       349       true    4.69322458e-02    2.42927669e-13     280.9        223.0  
 56       377       true    5.67723451e-02    2.11889283e-15     316.7        252.7  
 57       391       true    5.75404244e-02    4.47843406e-12     328.2        261.0  
 58       202       true    4.94716736e-02    8.77068813e-12     163.9        129.3  
 59       281       true    4.53269731e-02    4.53015007e-12     222.7        177.0  
 60       307       true    4.86017411e-02    1.38504541e-13     249.5        198.2  
 61       478       true    5.49114626e-02    2.02903186e-15     410.1        326.9  
 62       311       true    4.86794711e-02    1.69884341e-14     236.9        186.6  
 63       373       true    4.83728443e-02    4.48226697e-14     302.0        239.5  
 64       290       true    5.01821196e-02    3.43227706e-12     238.2        189.1  
 65       374       true    4.98363488e-02    1.20737461e-11     325.1        261.3  
 66       322       true    4.85880288e-02    1.41885195e-15     253.6        202.0  
 67       219      false    5.33750436e-02    2.39915631e-06     198.2        155.4  
 68       411       true    5.31990351e-02    5.55111512e-17     357.3        287.2  
 69       433       true    4.67540461e-02    5.75395966e-17     352.3        279.7  
 70       168      false    5.49912647e-02    4.47307043e-06     131.0        102.1  
 71       358       true    5.46612991e-02    3.46944695e-17     280.8        222.9  
 72       326       true    5.57382187e-02    1.65733494e-12     257.6        205.4  
 73       328       true    4.65482787e-02    7.28975488e-12     266.6        212.4  
 74       380       true    5.30447138e-02    5.78557964e-15     298.1        237.4  
 75       339       true    5.60026932e-02    8.15595338e-14     274.3        218.0  
 76       255       true    5.46408682e-02    2.77555756e-17     221.6        176.7  
 77       366       true    4.48270508e-02    1.10579787e-12     293.8        232.8  
 78       348       true    5.40588164e-02    6.17569535e-11     274.2        216.5  
 79       399       true    4.65217908e-02    2.28056785e-12     310.3        242.0  
 80       336       true    4.25969098e-02    4.94810593e-12     286.8        228.0  
 81       220       true    5.43927984e-02    1.51869913e-12     189.5        149.2  
 82      1000      false    5.13984536e-02    4.56960988e-09     855.4        657.6  
