 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1       211       true    9.97706711e-01    4.25909308e-14     485.0        257.1  
  2       267       true    1.00901238e+00    1.08885123e-13     617.2        330.8  
  3       164       true    1.92941894e+00    5.35543832e-14     387.3        211.8  
  4       207       true    9.60868401e-01    4.68097783e-14     496.4        255.2  
  5       188       true    8.35617060e-01    6.14820694e-14     464.5        242.1  
  6       110       true    8.80543347e-01    3.27932126e-14     243.6        131.4  
  7       245       true    1.01178030e+00    2.15599066e-12     571.4        305.6  
  8       133       true    9.60835284e-01    8.04772915e-14     305.5        163.6  
  9       126       true    8.75352818e-01    1.98042594e-13     291.5        156.3  
 10       126       true    8.23774627e-01    7.98614529e-14     311.3        157.8  
 11       260       true    1.04146330e+00    5.23192600e-14     608.9        329.7  
 12       277       true    9.42952367e-01    2.54018195e-10     685.6        362.4  
 13       204       true    9.83413806e-01    5.19588712e-14     491.0        257.6  
 14       187       true    1.01563337e+00    3.79279941e-14     438.4        232.5  
 15       185       true    9.82577091e-01    6.15410500e-14     456.3        234.1  
 16       230       true    8.53372694e-01    5.78721099e-14     599.6        300.7  
 17       221       true    9.62860724e-01    4.97692165e-14     517.5        274.7  
 18       262       true    1.05023289e+00    4.16666701e-13     626.7        333.5  
 19       235       true    9.71628240e-01    4.63518113e-14     571.1        304.9  
 20       208       true    9.88191531e-01    6.35325126e-14     503.0        259.8  
 21       116       true    1.20754329e+00    3.39242523e-14     265.0        144.3  
 22       221       true    8.71163695e-01    5.22065030e-14     571.2        287.7  
 23       211       true    1.02449751e+00    2.73524259e-13     511.8        264.6  
 24       126       true    1.00511196e+00    2.55906407e-13     295.1        158.1  
 25       212       true    8.98392557e-01    3.50691698e-14     511.0        269.8  
 26       178       true    1.29753215e+00    3.68594044e-14     413.9        232.2  
 27       194       true    8.76947884e-01    7.51937887e-14     458.0        243.8  
 28       192       true    8.62829020e-01    3.51836615e-14     468.8        251.4  
