 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1      1000      false    1.47043151e+01    1.09647102e-01     3828.2        2478.2  
  2      1000      false    1.22726037e+01    2.52435160e-02     3618.3        2381.6  
  3      1000      false    3.03012942e+01    6.91420494e-02     3865.8        2425.3  
  4      1000      false    4.26040592e+01    2.69475252e-02     3694.2        2291.6  
  5      1000      false    1.24298463e+00    7.42099579e-03     4108.3        2434.8  
  6      1000      false    2.70195942e+00    1.35972503e-01     4058.9        2470.4  
  7      1000      false    1.92836892e+01    7.54450389e-02     4039.2        2539.6  
  8      1000      false    1.73231966e+01    3.58485039e-02     3670.2        2338.6  
  9      1000      false    4.78067599e+00    4.61754299e-01     4359.4        2591.3  
 10      1000      false    1.15850939e+00    3.07619206e-02     4005.3        2526.6  
 11      1000      false    8.38654539e+00    1.66491110e-01     4124.6        2526.7  
 12      1000      false    1.90773978e+00    8.42231923e-03     4141.8        2478.1  
 13      1000      false    1.44160073e+01    3.56660804e-02     4138.4        2647.1  
 14      1000      false    7.63091187e+01    1.19489447e-02     4176.0        2649.7  
 15      1000      false    2.21991405e+01    6.16457418e-03     4206.0        2606.8  
 16      1000      false    3.73896183e+00    4.18510294e-02     4507.6        2685.5  
 17      1000      false    5.77418843e+00    3.63666487e-02     3676.9        2321.5  
 18      1000      false    5.95639798e+01    7.28386860e-02     3983.3        2533.2  
 19      1000      false    2.31325395e+01    1.12231075e-01     4043.9        2445.2  
 20      1000      false    1.74595957e+01    2.31989378e-03     4124.8        2572.3  
 21      1000      false    1.83617887e+00    1.71907052e-02     3479.0        2261.1  
 22      1000      false    9.21036353e-01    1.62410388e-02     3836.4        2332.8  
 23      1000      false    7.07134870e+01    1.81316314e-01     3858.6        2366.7  
 24      1000      false    3.20830335e+01    2.42258226e-02     3680.7        2423.7  
 25      1000      false    2.49995998e+00    6.91743451e-02     4109.5        2434.4  
 26      1000      false    2.23563574e+00    6.19192293e-02     3900.2        2347.2  
 27      1000      false    2.24006898e+00    5.15089324e-02     3959.8        2420.7  
 28      1000      false    2.75172344e+00    3.35542312e-02     4136.9        2520.9  
 29      1000      false    8.83029410e+00    2.06670098e-02     3844.7        2441.0  
