 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1      3000      false    2.94550810e+00    2.11239835e-04     15892.8        11357.8  
  2      3000      false    1.27612755e+00    4.94812973e-05     15406.1        11051.3  
  3      3000      false    4.55427587e+00    4.87071090e-06     16283.8        11439.4  
  4      3000      false    1.24721532e+00    1.02854147e-05     16002.9        11314.9  
  5      3000      false    1.14531248e+00    3.12461889e-06     15690.9        11303.6  
  6      3000      false    2.18333186e+00    2.59945658e-06     15175.4        11179.0  
  7      3000      false    2.27115667e+00    2.72484792e-04     15815.9        11307.6  
  8      3000      false    3.04383874e+00    1.70784609e-04     16187.0        11437.5  
  9      3000      false    1.85894056e+00    9.60271963e-04     15561.2        11264.6  
 10      3000      false    9.48336860e-01    1.52982349e-03     15904.8        11315.4  
 11      3000      false    2.38397061e+00    6.41044143e-04     15857.0        11251.1  
 12      3000      false    1.35104497e+00    5.66444798e-06     15177.6        10919.3  
 13      3000      false    1.09861958e+00    1.62646940e-04     15342.9        11059.9  
 14      3000      false    6.65975891e+00    7.42371563e-05     15853.1        11374.1  
 15      3000      false    6.75799536e+00    2.31614062e-04     17039.5        11724.7  
 16      3000      false    2.88958482e+00    1.86844131e-04     15927.4        11363.0  
 17      3000      false    3.13680644e+00    1.32808699e-03     15876.9        11399.4  
 18      3000      false    4.93830287e+00    6.39474232e-06     15235.0        11086.4  
 19      3000      false    1.79311191e+00    5.25361094e-04     16013.3        11565.7  
 20      3000      false    4.05491846e+00    2.45299539e-06     16551.3        11794.7  
 21      3000      false    1.55652248e+00    6.05041718e-04     17054.6        11931.5  
 22      3000      false    3.59330245e+00    7.17329789e-04     16844.4        11891.5  
 23      3000      false    3.11485233e+00    6.33949756e-05     16788.8        11801.5  
 24      3000      false    4.24282219e+00    1.11253747e-05     17549.7        11982.3  
 25      3000      false    5.24082694e+00    3.61479098e-05     16830.2        11857.6  
 26      3000      false    1.09764681e+00    4.50179709e-07     16048.2        11604.5  
 27      3000      false    2.72930497e+00    1.71126480e-04     16926.4        11835.2  
 28      3000      false    1.99476900e+00    5.06519818e-04     16092.6        11665.5  
 29      3000      false    9.91831370e-01    1.11032689e-05     16071.4        11623.4  
 30      3000      false    4.06333569e+00    1.42354619e-05     16987.0        11870.5  
 31      3000      false    1.58552152e+00    3.97261912e-04     16401.6        11839.7  
 32      3000      false    9.96114044e-01    4.82548178e-06     16047.2        11654.7  
 33      3000      false    1.51713591e+00    2.42170466e-04     16462.9        11774.0  
 34      3000      false    1.36306467e+00    3.12725909e-04     16705.9        11900.0  
 35      3000      false    1.66475644e+00    1.13735171e-04     15723.8        11272.5  
 36      3000      false    3.02115365e+00    1.24786240e-05     15878.7        11359.3  
 37      3000      false    1.67149644e+00    5.10350726e-04     16189.7        11725.5  
 38      3000      false    4.71255862e+00    2.19585267e-05     16295.5        11498.9  
 39      3000      false    1.12555687e+00    9.13184313e-06     15053.7        11022.7  
