 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1      1000      false    7.00726350e+01    2.56579661e-04     4473.9        3538.2  
  2      1000      false    2.76759159e+02    4.15251228e-03     4695.5        3572.2  
  3      1000      false    1.42245679e+02    5.44191839e-05     4363.6        3506.3  
  4      1000      false    5.16958854e+01    1.20842867e-03     4321.8        3480.3  
  5      1000      false    2.01604385e+02    6.41175450e-04     4499.0        3538.0  
  6      1000      false    4.51609158e+00    1.31855387e-02     4856.8        3634.8  
  7      1000      false    2.10634033e+01    1.76258432e-06     4166.6        3483.8  
  8      1000      false    3.18056217e+01    9.78688817e-03     4515.3        3535.0  
  9      1000      false    6.45076036e+00    2.88456441e-04     4638.4        3591.9  
 10      1000      false    1.05537301e+01    2.18657124e-04     4399.6        3535.9  
 11      1000      false    2.04712197e+00    1.23222148e-04     4190.6        3478.9  
 12      1000      false    1.11182215e+02    8.25409283e-03     4307.9        3484.0  
 13      1000      false    1.53493179e+00    3.94943182e-09     4290.4        3489.5  
 14      1000      false    1.03255793e+02    4.99732388e-02     4263.5        3487.0  
 15      1000      false    3.43427026e+01    3.56860020e-03     4615.7        3596.6  
 16      1000      false    7.32271761e+01    2.36469132e-03     4770.7        3616.4  
 17      1000      false    7.80967367e+00    6.95935480e-04     4183.8        3531.9  
 18      1000      false    2.28341335e+00    5.93312806e-04     4459.0        3587.6  
 19      1000      false    3.01856336e+00    3.65906195e-05     4121.2        3488.6  
 20      1000      false    3.48660148e+00    1.52823983e-03     4211.5        3479.4  
 21      1000      false    2.69486897e+02    4.15750208e-04     4538.5        3555.7  
 22      1000      false    2.59632524e+01    1.05145750e-04     4560.6        3594.6  
 23      1000      false    4.67604380e+01    1.20780745e-04     4400.7        3524.3  
 24      1000      false    3.82871089e+00    1.99608371e-02     4243.0        3484.6  
 25      1000      false    1.68392574e+01    1.92233090e-02     4555.6        3573.3  
 26      1000      false    4.52991895e+01    1.80697540e-03     4266.5        3496.0  
 27      1000      false    1.04667901e+01    7.04748653e-04     4468.2        3530.0  
 28      1000      false    8.04410648e+01    1.68640783e-04     4405.4        3576.8  
 29      1000      false    1.03106616e+01    1.22072471e-05     4698.9        3612.1  
 30      1000      false    7.10053207e+01    7.92626302e-03     4417.4        3548.8  
 31      1000      false    1.17166729e+00    3.42565080e-03     4167.0        3480.1  
 32      1000      false    2.24433272e+00    5.22639836e-04     4276.1        3507.1  
 33      1000      false    9.46235866e+00    6.23366116e-03     4287.5        3501.2  
 34      1000      false    8.96962950e+01    3.74435147e-04     4291.8        3497.7  
 35      1000      false    2.36542375e+00    6.44264106e-03     4236.9        3506.3  
 36      1000      false    9.53436717e-01    2.61756401e-04     4114.0        3465.6  
 37      1000      false    4.02404978e+01    1.15131462e-02     4408.4        3572.6  
 38      1000      false    8.67572997e+01    2.82912997e-02     4475.6        3534.7  
 39      1000      false    3.28458497e+01    1.77938906e-03     4459.2        3529.0  
 40      1000      false    6.24852551e+01    2.01475805e-02     4275.2        3492.9  
 41      1000      false    2.80983040e+01    1.87711896e-04     4323.8        3503.4  
 42      1000      false    1.09784229e+01    2.76369576e-05     4372.8        3536.6  
 43      1000      false    6.82320101e+01    2.00632460e-03     4437.6        3575.6  
 44      1000      false    6.46523214e+01    7.48694958e-03     4136.1        3480.5  
 45      1000      false    2.00963087e+02    7.30491759e-02     4346.3        3516.5  
 46      1000      false    2.98394399e+02    2.39947349e-03     4375.6        3510.6  
 47      1000      false    5.91414915e+01    2.84788156e-03     4488.7        3512.2  
 48      1000      false    1.00997276e+01    5.51270105e-04     4432.3        3545.1  
 49      1000      false    2.06916112e+01    3.23238009e-04     4508.9        3570.5  
 50      1000      false    3.20086177e+02    6.48860499e-03     4403.0        3521.5  
 51      1000      false    2.12022540e+00    6.25671609e-07     4212.4        3505.1  
 52      1000      false    1.51332421e+01    1.06380823e-02     4565.5        3580.5  
 53      1000      false    1.45722056e+01    4.02297097e-04     4410.0        3532.3  
 54      1000      false    6.00622383e+02    2.79846565e-03     4480.2        3527.9  
 55      1000      false    1.03956671e+01    3.13502051e-02     4313.5        3532.9  
 56      1000      false    9.41713230e-01    1.74705280e-07     4275.2        3498.4  
 57      1000      false    1.26713215e+02    1.20626168e-02     4333.6        3525.6  
 58      1000      false    2.38468275e+01    8.08460572e-03     4277.2        3515.2  
 59      1000      false    6.54263821e+01    7.00350800e-04     4528.2        3653.8  
 60      1000      false    1.59618161e+02    3.45585701e-03     4784.1        3800.5  
 61      1000      false    3.51744063e+01    1.65456677e-03     4432.3        3578.0  
 62      1000      false    5.44653339e+00    4.27935432e-05     4453.9        3611.9  
 63      1000      false    1.09892040e+01    6.28805610e-05     4461.4        3673.6  
 64      1000      false    4.95377383e+01    1.23646913e-04     5016.7        3880.3  
 65      1000      false    3.71843089e+01    1.59022742e-05     4733.7        3675.2  
 66      1000      false    1.05389922e+01    6.89083617e-03     4785.4        3811.8  
 67      1000      false    5.44360365e+00    2.49338868e-04     4829.7        3875.2  
 68      1000      false    2.82549099e+00    1.23591791e-05     4677.4        3876.5  
 69      1000      false    1.57831689e+00    2.36646955e-03     5320.4        4099.9  
 70      1000      false    2.97823390e+01    2.68772449e-02     4946.7        4019.7  
 71      1000      false    4.10043675e+02    7.10431928e-03     5383.9        4222.5  
 72      1000      false    3.80556062e+00    2.15215333e-03     4475.3        3555.7  
 73      1000      false    5.57006093e+01    9.54702319e-02     5143.2        3927.5  
 74      1000      false    9.18966490e-01    1.14250040e-03     4564.8        3680.9  
 75      1000      false    4.22147861e+01    2.39513411e-04     5013.5        3939.3  
 76      1000      false    5.18326625e+01    1.85255507e-04     4568.6        3653.7  
 77      1000      false    6.24642228e+01    2.59042790e-04     4514.9        3631.2  
 78      1000      false    1.94647945e+00    6.14290899e-03     4502.4        3677.9  
 79      1000      false    3.01299316e+01    6.22218500e-04     4694.2        3698.1  
 80      1000      false    3.65969430e+02    4.17982545e-02     4648.9        3589.7  
 81      1000      false    2.47019152e+01    2.95252626e-02     4863.5        3903.0  
 82      1000      false    2.24438557e+01    2.59199314e-01     4713.2        3669.8  
 83      1000      false    2.40288036e+02    3.64922728e-05     4786.0        3916.9  
 84      1000      false    8.77525732e+02    2.01397186e-02     4879.0        3796.6  
 85      1000      false    3.21723787e+00    1.25709700e-02     5033.7        4001.9  
 86      1000      false    8.35071932e-01    9.72320583e-04     5353.7        4069.9  
 87      1000      false    1.59377586e+02    2.31705967e-04     4396.1        3534.3  
 88      1000      false    1.20337783e+02    3.76002046e-03     4395.3        3535.2  
 89      1000      false    1.65809843e+00    7.86125913e-05     4513.4        3575.9  
 90      1000      false    2.81330204e+02    2.00905608e-03     4290.8        3520.6  
 91      1000      false    2.13239841e+00    4.36859733e-03     4472.0        3536.5  
 92      1000      false    1.72989847e+00    1.10138096e-03     4514.6        3552.3  
 93      1000      false    4.53478772e+01    2.64644502e-07     4565.9        3545.6  
 94      1000      false    1.39273936e+01    2.76305326e-06     4228.8        3475.0  
 95      1000      false    7.91340888e+00    2.47370241e-05     4232.7        3495.2  
 96      1000      false    2.57424895e+01    1.62472791e-04     4446.4        3528.2  
 97      1000      false    1.03547701e+02    3.97959150e-04     4442.4        3562.0  
 98      1000      false    3.49330547e+00    1.79275805e-04     4317.7        3542.5  
 99      1000      false    3.36251610e+01    4.09393445e-04     4506.9        3580.8  
 100      1000      false    5.18981468e+01    4.25313208e-02     4389.5        3519.9  
