 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1       241       true    3.57536658e+00    6.19504448e-14     636.1        603.0  
  2       277       true    2.27324397e+00    2.70045097e-12     707.3        655.4  
  3       187       true    4.24650601e+00    6.44171383e-11     501.7        475.7  
  4       263       true    2.36137286e+00    3.55271368e-15     635.8        601.8  
  5       241       true    4.94756769e+00    8.88178420e-16     610.8        580.8  
  6       307       true    1.00772515e+00    7.22422122e-13     848.5        771.2  
  7       218       true    5.13193026e+00    6.13953333e-14     595.8        548.5  
  8       393       true    3.45672237e+00    1.42863499e-12     1028.7        954.3  
  9       305       true    4.80135626e+00    1.21014310e-14     812.5        757.5  
 10       281       true    4.37398495e+00    2.44249065e-15     747.3        674.9  
 11       422       true    3.76010643e+00    3.69593245e-13     1096.8        1020.0  
 12       185       true    4.85068254e+00    2.31559216e-12     490.8        463.8  
 13       171       true    1.54424728e+00    2.44249065e-15     453.6        425.6  
 14       227       true    1.87346225e+00    6.30606678e-13     640.1        567.4  
 15       218       true    3.85001638e+00    4.44089210e-16     574.2        537.2  
 16       285       true    2.59380925e+00    1.22679644e-13     705.9        662.9  
 17       409       true    3.33913302e+00    4.30766534e-14     1065.8        971.6  
 18       198       true    4.12530927e+00    6.10622664e-14     502.6        476.6  
 19       281       true    3.29469142e+00    4.44089210e-16     717.6        674.9  
 20       494      false    1.26310650e+00    4.44089210e-16     1180.2        1109.4  
 21       293       true    2.11270130e+00    3.60267371e-14     746.7        705.5  
 22       273       true    5.06593628e+00    4.70457007e-15     694.0        654.0  
 23       188       true    1.90882899e+00    6.66133815e-16     468.9        441.9  
 24       329       true    2.51371349e+00    2.10942375e-15     881.4        816.3  
 25       238       true    5.56076988e+00    1.29785072e-13     626.3        590.2  
 26       182       true    1.77656533e+00    1.66089364e-13     471.8        447.0  
 27       251       true    2.33076222e+00    5.99520433e-15     616.3        580.3  
 28       280       true    2.27610839e+00    7.10542736e-15     741.4        698.1  
 29       238       true    1.75528581e+00    6.17950136e-13     648.9        612.1  
 30       211       true    3.97366964e+00    1.27675648e-14     599.3        568.4  
 31       283       true    4.49895496e+00    1.83186799e-14     779.8        717.5  
 32       195       true    1.20718970e+00    2.49811283e-12     512.6        486.6  
 33       181       true    5.26391964e+00    3.42852413e-11     474.0        447.0  
 34       206      false    1.92658565e+00    2.22044605e-16     518.9        484.9  
 35       182       true    3.78901644e+00    2.89768209e-14     468.1        438.8  
 36       464      false    3.98751085e+00    4.44089210e-16     1337.4        1157.5  
 37       333       true    5.31885466e+00    1.09971338e-11     859.7        803.5  
 38       247       true    1.70330634e+00    5.10702591e-15     631.2        594.2  
 39       295      false    1.72529606e+00    2.22044605e-16     808.6        747.6  
 40       205      false    3.37327043e+00    4.44089210e-16     557.7        507.8  
 41       321       true    3.05059006e+00    1.03694830e-13     804.6        758.6  
 42       343       true    4.32835003e+00    9.99200722e-16     934.9        839.6  
 43       335       true    4.40432827e+00    4.44089210e-16     911.1        821.9  
 44       276       true    4.37750476e+00    9.14823772e-14     732.2        677.4  
 45       172       true    2.34683200e+00    1.99618100e-13     441.6        420.3  
 46       288       true    2.23288024e+00    1.90203409e-12     834.4        740.2  
 47       304       true    4.59409756e+00    5.20916643e-13     818.0        763.0  
 48       246      false    3.67433643e+00    2.22044605e-16     684.2        620.2  
 49       249       true    2.46007951e+00    2.22044605e-16     638.0        599.7  
 50       233       true    3.17645837e+00    1.52100554e-14     602.1        564.4  
 51       244       true    5.20537942e+00    2.66453526e-15     630.8        591.7  
 52       212       true    5.23736143e+00    2.37587727e-14     536.5        506.5  
 53       281       true    5.56321861e+00    1.99840144e-15     774.5        699.6  
 54       214       true    1.43475387e+00    2.22044605e-16     585.0        522.7  
 55       268       true    1.71247920e+00    3.93995947e-12     698.7        654.7  
 56       277      false    1.97951952e+00    3.33066907e-16     776.9        710.1  
 57       237       true    3.03136135e+00    8.01511635e-14     564.9        532.9  
 58       271       true    5.06908769e+00    4.44089210e-16     695.2        651.2  
 59       308       true    3.01409943e+00    8.88178420e-16     794.6        741.0  
 60       195       true    2.91519321e+00    1.47548640e-13     513.4        483.4  
 61       253       true    1.20819860e+00    4.52304860e-13     634.0        599.0  
 62       219       true    4.32106960e+00    1.85962357e-14     566.3        533.3  
 63       204       true    1.74446785e+00    7.45248308e-12     520.8        494.0  
 64       338       true    2.73808817e+00    5.21804822e-15     983.2        867.2  
 65       419       true    5.16856680e+00    8.88178420e-16     1084.5        1005.6  
 66       247       true    6.60251789e+00    1.29420696e-10     655.8        608.8  
 67       307       true    6.03760331e+00    4.17602342e-11     813.1        739.4  
 68       269       true    7.05519560e+00    2.22044605e-16     740.8        662.8  
 69       220       true    2.31330108e+00    3.31479288e-12     622.6        544.0  
 70       300       true    2.43342633e+00    1.91744398e-11     818.1        745.5  
 71       270       true    2.82032934e+00    6.66133815e-15     697.1        654.5  
 72       232       true    1.60579609e+00    3.88578059e-16     577.2        547.2  
 73       258       true    4.15432338e+00    6.32827124e-15     683.0        638.5  
 74       184       true    1.11449640e+00    9.10826969e-13     475.0        450.0  
 75       261       true    1.22912091e+00    3.33066907e-16     746.6        655.5  
 76       244       true    5.19023987e+00    2.22044605e-16     607.6        576.4  
 77       297       true    3.55036279e+00    1.18566268e-12     776.0        700.0  
 78       361       true    2.14609511e+00    1.69864123e-14     980.6        882.4  
 79       260       true    3.70849545e+00    1.59205982e-13     677.0        639.4  
 80       294       true    4.99579266e+00    1.30562228e-13     801.7        738.9  
 81       441       true    3.50515208e+00    1.20048416e-12     1257.7        1125.8  
 82       260       true    4.92799339e+00    2.40918396e-14     663.0        628.8  
 83       219       true    3.56087742e+00    8.70381545e-12     567.9        534.9  
 84       355       true    4.76164865e+00    3.02535774e-14     965.6        881.6  
 85       273       true    4.98550073e+00    1.92346139e-14     748.0        680.4  
 86       326       true    3.10880969e+00    2.22044605e-16     817.2        771.2  
 87       339       true    2.59459179e+00    7.77156117e-16     864.7        812.7  
 88       376       true    3.41258015e+00    6.23945340e-14     968.8        894.8  
 89       236       true    4.07851847e+00    2.86437540e-14     626.4        591.2  
 90       273       true    4.25558097e+00    4.44089210e-16     802.1        694.6  
 91       284       true    4.05206950e+00    5.99520433e-15     764.6        700.7  
 92       276       true    1.12630450e+01    3.78919118e-12     702.2        662.4  
 93       240       true    2.16814072e+00    2.26207941e-15     609.0        560.0  
 94       253       true    4.10571622e+00    2.10942375e-15     686.6        628.8  
 95       299       true    5.09538226e+00    2.91322522e-13     774.2        730.2  
 96       249       true    1.73813255e+00    2.34503528e-11     621.2        584.2  
 97       333       true    2.87599642e+00    5.77315973e-15     863.0        815.0  
 98       229       true    5.28863322e+00    8.73173062e-14     552.3        523.0  
 99       254       true    3.51461733e+00    8.88178420e-16     686.7        626.6  
 100       267       true    5.25129318e+00    9.99200722e-16     701.2        645.2  
