 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1       641       true    1.93357401e+00    2.22044605e-16     2078.4        1885.5  
  2       867       true    4.31856972e+00    4.44089210e-16     2727.2        2453.2  
  3       778      false    4.08040177e+00    2.22044605e-16     2420.2        2129.4  
  4       798       true    1.50410060e+00    2.22044605e-16     2293.5        2098.0  
  5       949       true    3.26127793e+00    2.22044605e-16     3311.1        2997.8  
  6      1000      false    5.32452476e+00    2.72025735e-11     2931.4        2659.9  
  7       568      false    2.65776756e+00    6.66133815e-16     1608.5        1491.3  
  8       659      false    3.40159743e+00    2.22044605e-16     2033.3        1784.2  
  9      1000      false    1.81350910e+00    4.31627514e-09     2877.3        2624.4  
 10      1000      false    2.55772630e+00    5.17870136e-09     2984.8        2691.4  
 11       797       true    5.26002439e+00    4.44089210e-16     2414.3        2112.1  
 12       700       true    2.10720996e+00    2.22044605e-16     1929.1        1774.9  
 13       606       true    1.77755357e+01    2.22044605e-16     1784.8        1613.1  
 14      1000      false    1.49566952e+00    2.22044605e-16     2861.2        2581.8  
 15       689      false    3.75815336e+00    4.44089210e-16     2025.2        1802.0  
 16       754       true    5.02134094e+00    2.22044605e-16     2187.1        1974.8  
 17       905       true    5.84609075e+00    2.22044605e-16     2885.4        2471.2  
 18       633       true    9.66948770e-01    1.11022302e-16     1812.7        1642.5  
 19      1000      false    3.27532779e+00    2.98816527e-12     2774.9        2556.7  
 20       759       true    3.18109880e+00    2.22044605e-16     2334.8        2036.7  
 21       923       true    2.00698323e+00    2.22044605e-16     2631.7        2375.7  
 22       957       true    1.63564490e+00    2.22044605e-16     2918.4        2569.7  
 23      1000      false    5.57326617e+00    2.22044605e-16     2791.4        2551.8  
 24       498      false    2.37057593e+00    9.08162434e-14     1439.4        1328.2  
 25      1000      false    2.15306591e+00    4.44089210e-16     2856.1        2574.3  
 26      1000      false    5.63562907e+00    2.22044605e-16     3129.7        2691.8  
 27       855       true    1.20041069e+00    4.44089210e-16     2416.1        2225.6  
 28       965       true    4.06893934e+00    2.22044605e-16     2793.6        2542.0  
 29       883       true    1.68415519e+00    4.44089210e-16     2749.2        2441.6  
