 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1      1000      false    4.65395987e-02    6.38790409e-12     2723.8        2146.7  
  2      1000      false    5.34276043e-02    1.41999628e-05     2601.9        2082.0  
  3      1000      false    6.03775657e-02    5.30699562e-09     2662.9        2054.1  
  4      1000      false    5.40531458e-02    1.81466156e-08     2656.5        2090.6  
  5      1000      false    6.34832956e-02    8.72273731e-07     2747.6        2170.6  
  6      1000      false    4.17372790e-02    8.23086044e-12     2640.1        2087.0  
  7      1000      false    5.03128203e-02    3.35980927e-07     2706.4        2092.1  
  8      1000      false    4.46968490e-02    2.94353171e-08     2798.0        2118.3  
  9      1000      false    4.34096280e-02    7.28100561e-07     2642.8        2059.4  
 10      1000      false    4.80568133e-02    8.21443395e-06     2660.1        2065.1  
 11      1000      false    5.43852027e-02    2.17323534e-05     2516.4        1969.1  
 12      1000      false    6.08976506e-02    9.74286136e-06     2584.8        2006.5  
 13      1000      false    5.40465745e-02    6.72497709e-07     2550.3        1959.0  
 14      1000      false    4.41453765e-02    6.97585132e-11     2675.7        2011.1  
 15      1000      false    4.94315104e-02    7.82764725e-09     2573.3        1952.7  
 16      1000      false    6.37076929e-02    2.36820119e-10     2559.8        2011.1  
 17      1000      false    4.79968101e-02    6.48962103e-09     2531.7        1957.9  
 18      1000      false    5.55278172e-02    3.89799304e-13     2640.4        2022.3  
 19      1000      false    5.12356430e-02    3.13337190e-10     2531.2        1976.8  
 20      1000      false    5.38816395e-02    3.74757439e-09     2614.0        2021.0  
 21      1000      false    6.15329847e-02    1.88669214e-09     2697.2        2060.4  
 22      1000      false    5.45398976e-02    6.06350730e-08     2562.7        2004.4  
 23      1000      false    5.04015976e-02    1.01506235e-07     2511.6        1995.6  
 24      1000      false    4.21663291e-02    1.61253806e-05     2793.4        2085.6  
 25      1000      false    6.10890931e-02    5.79778592e-07     2850.1        2141.0  
 26      1000      false    6.32727028e-02    9.14505689e-08     2531.0        1957.2  
 27      1000      false    5.90082178e-02    1.75246926e-06     2610.1        1988.0  
 28      1000      false    5.02833644e-02    1.10858783e-08     2703.2        2026.5  
 29      1000      false    4.54315619e-02    1.28341454e-06     2512.2        1937.4  
 30      1000      false    4.55487305e-02    7.51485302e-07     2467.4        1939.3  
 31      1000      false    5.93660901e-02    2.51102103e-07     2716.8        2033.9  
 32      1000      false    6.51998799e-02    4.56106549e-05     2513.8        1932.7  
 33      1000      false    6.80254257e-02    4.07124212e-07     2649.1        1998.9  
 34      1000      false    6.05437903e-02    2.19782398e-05     2612.0        1981.0  
 35      1000      false    4.79546329e-02    6.30482313e-05     2618.0        1987.6  
 36      1000      false    4.32410750e-02    6.99354978e-07     2411.9        1894.3  
 37      1000      false    6.06433684e-02    2.07446675e-07     2536.7        1937.9  
 38      1000      false    4.30364482e-02    3.29626291e-08     2450.3        1910.2  
 39      1000      false    5.54867932e-02    2.85361403e-06     2874.2        2128.5  
 40      1000      false    6.50173855e-02    3.33848123e-06     2888.5        2108.1  
 41      1000      false    5.73255798e-02    8.19469059e-07     2600.7        2035.2  
