 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1        35       true    1.39640191e+00    6.92006452e-11      12.0         11.0  
  2        39       true    1.31020869e+00    3.26849658e-13      15.0         14.0  
  3        29       true    1.43072969e+00    6.82499390e-10      10.0         10.0  
  4        40       true    1.90809161e+00    8.93407126e-10      13.6         12.6  
  5        32       true    3.25129770e+00    2.06057393e-13      10.5         10.0  
  6        33       true    2.10189209e+00    4.80241269e-09      12.0         11.0  
  7        38       true    1.43939865e+00    1.24487087e-11      13.0         12.0  
  8        34       true    1.64905589e+00    4.70556927e-12      13.0         12.0  
  9        36       true    1.75195895e+00    1.50946811e-10      13.0         12.0  
 10        34       true    2.04746741e+00    2.20792273e-10      13.0         12.0  
 11        41       true    1.65195502e+00    1.92681071e-09      14.0         13.0  
 12        31       true    1.55722078e+00    2.45998777e-10      10.0         10.0  
 13        38       true    1.39960211e+00    2.76312706e-09      13.0         12.0  
 14        35       true    1.87365423e+00    8.43068104e-09      13.3         12.3  
 15        30       true    1.52868819e+00    2.05970085e-09      11.0         11.0  
 16        34       true    2.30448190e+00    6.69191813e-09      11.9         11.0  
 17        32       true    1.93390844e+00    2.76187961e-11      12.1         12.0  
 18        28       true    1.32572316e+00    4.15589341e-10       9.6          9.6  
 19        34       true    1.99767864e+00    1.57400848e-09      14.1         13.1  
 20        28       true    1.48463027e+00    1.97085370e-09      10.0         10.0  
 21        33       true    1.83839998e+00    1.03703712e-11      10.7         10.3  
 22        29       true    1.71909265e+00    3.29772565e-09       9.0          9.0  
 23        38       true    1.68446996e+00    5.61990099e-09      13.0         12.0  
 24        40       true    1.51174730e+00    1.16298082e-11      13.1         12.1  
 25        34       true    1.61070438e+00    1.24433797e-11      12.0         11.0  
 26        35       true    2.74500416e+00    7.37720995e-12      12.0         11.0  
 27        27       true    1.70666081e+00    8.87341756e-10       8.8          8.8  
 28        32       true    2.63494907e+00    4.59188243e-12      10.2         10.0  
 29        33       true    1.34901096e+00    1.24321353e-09      11.8         11.0  
 30        41       true    1.75363938e+00    1.30793154e-11      14.0         13.0  
 31        34       true    1.64802707e+00    4.89901453e-11      13.0         12.0  
 32        33       true    1.71418528e+00    3.61687924e-09      11.0         10.0  
 33        37       true    1.56465342e+00    1.31326061e-11      12.4         11.4  
 34        36       true    1.73886835e+00    2.74750889e-10      12.0         11.0  
 35        36       true    1.64723751e+00    1.33732669e-09      12.1         11.1  
 36        37       true    1.69258990e+00    6.46423892e-09      12.9         11.9  
 37        30       true    1.73069994e+00    2.51423771e-10      10.0         10.0  
 38        32       true    1.50869672e+00    3.35037953e-09      12.3         12.0  
 39        37       true    1.97700765e+00    8.01342992e-10      12.5         11.5  
 40        33       true    1.62647197e+00    3.97180955e-10      10.5         10.0  
 41        35       true    1.90021507e+00    6.33929531e-09      12.0         11.0  
 42        36       true    1.91951797e+00    8.83920492e-10      12.0         11.0  
 43        33       true    1.51617123e+00    8.24602608e-11      10.4         10.0  
 44        31       true    1.80519137e+00    6.31073149e-09      10.0         10.0  
 45        35       true    1.43189432e+00    3.93958643e-10      12.0         11.0  
 46        34       true    2.05080212e+00    6.19015950e-10      12.0         11.0  
 47        37       true    1.66983933e+00    1.15445431e-11      12.4         11.4  
 48        40       true    1.45561418e+00    3.18373505e-09      13.3         12.3  
 49        28       true    1.66846195e+00    1.05103481e-10      10.0         10.0  
 50        33       true    1.70577060e+00    1.66298886e-09      11.5         10.5  
 51        41       true    1.92333947e+00    1.09578657e-09      14.0         13.0  
 52        38       true    1.40737809e+00    1.92521554e-10      14.1         12.7  
 53        34       true    1.34634137e+00    2.26782149e-10      12.0         11.0  
 54        39       true    1.85693346e+00    4.09983159e-12      14.0         13.0  
 55        32       true    2.39092854e+00    3.89199784e-12      10.0         10.0  
 56        31       true    1.41970695e+00    2.06873629e-10      10.0         10.0  
 57        32       true    1.50374842e+00    1.03598907e-10      10.2         10.0  
 58        37       true    1.95057620e+00    6.84607926e-12      12.3         11.3  
 59        34       true    2.03071298e+00    1.60937930e-12      12.0         11.0  
 60        33       true    1.45129351e+00    5.92587845e-09      11.9         11.0  
 61        32       true    1.48629859e+00    1.78506099e-11      11.0         11.0  
 62        36       true    1.85736079e+00    8.52118376e-12      12.0         11.0  
 63        41       true    1.53122823e+00    3.61506380e-10      14.0         13.0  
 64        35       true    1.60138500e+00    1.01891828e-11      12.0         11.0  
 65        34       true    1.95072250e+00    2.73853829e-09      11.9         11.0  
 66        40       true    2.00128338e+00    1.07114317e-12      13.1         12.1  
 67        34       true    2.63624745e+00    4.05186995e-12      12.0         11.0  
 68        34       true    3.44396031e+00    1.67971415e-10      12.0         11.0  
 69        38       true    1.66371080e+00    3.79738552e-09      13.0         12.0  
 70        33       true    2.25004443e+00    2.05586925e-09      12.6         11.6  
 71        30       true    1.59523430e+00    9.95239446e-11      11.0         11.0  
 72        29       true    1.50245704e+00    2.24210428e-10      10.0         10.0  
 73        35       true    2.07496778e+00    5.13917797e-11      12.0         11.0  
 74        33       true    1.67586573e+00    7.19617788e-09      12.8         12.0  
 75        29       true    1.93142905e+00    7.19868609e-12      10.0         10.0  
 76        34       true    1.49304655e+00    4.88853402e-12      12.0         11.0  
 77        33       true    1.57358504e+00    1.15435128e-09      11.0         10.0  
 78        34       true    2.11368764e+00    7.66497976e-13      13.0         12.0  
 79        33       true    1.72887751e+00    8.32933722e-12      11.2         10.2  
 80        36       true    2.18002880e+00    1.17970167e-09      12.0         11.0  
 81        36       true    1.78785836e+00    8.33515656e-09      12.0         11.0  
 82        33       true    2.80887071e+00    4.98237895e-10      12.0         11.0  
 83        42       true    1.52534197e+00    6.24956087e-10      14.0         13.0  
 84        40       true    1.68999993e+00    1.84562765e-09      13.2         12.2  
 85        40       true    1.88441765e+00    8.61355431e-12      13.1         12.1  
 86        33       true    2.65242775e+00    1.22524213e-12      11.0         10.0  
 87        39       true    2.07949652e+00    8.12291745e-09      13.0         12.0  
 88        31       true    1.59607364e+00    3.86941057e-09      10.0         10.0  
 89        34       true    1.96436484e+00    7.18323179e-09      12.0         11.0  
 90        36       true    1.54515201e+00    2.31281660e-12      12.0         11.0  
 91        41       true    1.90827779e+00    3.72918940e-09      14.0         13.0  
 92        40       true    1.67381670e+00    1.35264244e-10      13.3         12.3  
 93        31       true    1.52133459e+00    4.20051993e-09      11.0         11.0  
 94        34       true    1.78266973e+00    3.85469434e-13      13.0         12.0  
 95        32       true    2.11685312e+00    4.07125889e-10      10.0         10.0  
 96        33       true    1.99332515e+00    6.47482068e-12      11.9         11.3  
 97        31       true    2.27800436e+00    2.26518182e-09      11.0         11.0  
 98        36       true    2.75704791e+00    4.82813789e-12      12.0         11.0  
 99        31       true    2.11854202e+00    8.19859736e-10      10.0         10.0  
 100        36       true    1.49185330e+00    6.09766815e-09      12.0         11.0  
 101        33       true    2.24607097e+00    2.40205988e-09      10.3         10.2  
 102        35       true    2.18144844e+00    8.95461483e-12      12.0         11.0  
 103        40       true    2.01227257e+00    5.29201749e-09      13.1         12.1  
 104        37       true    1.90998165e+00    2.31552555e-10      12.8         11.8  
 105        32       true    2.25204582e+00    7.33153982e-10      11.4         11.1  
 106        35       true    1.73572242e+00    9.53548351e-12      12.0         11.0  
 107        33       true    2.61557054e+00    1.31805677e-12      11.3         11.0  
 108        39       true    1.94887721e+00    6.38600284e-12      13.0         12.0  
 109        30       true    1.78846046e+00    3.30935279e-12      10.0         10.0  
 110        32       true    1.64299258e+00    7.89389887e-10      11.1         11.1  
 111        31       true    1.94825874e+00    3.47369422e-09      10.0         10.0  
 112        32       true    1.42038932e+00    8.81659190e-11      10.1         10.1  
 113        39       true    2.06428429e+00    3.93377686e-09      13.0         12.0  
 114        35       true    1.46435950e+00    3.82762266e-10      13.4         12.4  
 115        34       true    1.90354934e+00    2.57331934e-11      13.0         12.0  
 116        37       true    1.71730164e+00    3.38928885e-12      12.6         11.6  
 117        31       true    2.53623881e+00    1.41753276e-12      10.0         10.0  
 118        40       true    1.96524030e+00    2.19504415e-10      13.2         12.2  
 119        33       true    2.60012272e+00    3.29514194e-12      11.4         11.0  
 120        40       true    2.15417122e+00    6.56640964e-10      13.6         12.6  
 121        35       true    3.08029526e+00    3.79341003e-12      12.0         11.0  
 122        47       true    1.71932908e+00    2.14880647e-09      15.5         14.5  
 123        37       true    1.61546257e+00    6.76436684e-12      12.8         11.8  
 124        29       true    1.94910782e+00    3.70263820e-11      11.0         11.0  
 125        38       true    1.90809942e+00    3.82438170e-09      13.0         12.0  
 126        40       true    1.70926179e+00    6.91310964e-09      13.7         12.7  
 127        34       true    1.61010554e+00    2.05371720e-09      12.0         11.0  
 128        38       true    1.69063064e+00    6.36646291e-12      13.0         12.0  
 129        26       true    1.94998088e+00    3.10258486e-11       9.9          9.9  
 130        35       true    2.95344656e+00    1.03415942e-10      12.0         11.0  
 131        33       true    2.07979970e+00    2.72455836e-10      10.9         10.1  
 132        39       true    1.36271905e+00    2.19477769e-11      13.0         12.0  
 133        28       true    1.47635305e+00    6.65245636e-11       9.0          9.0  
 134        35       true    1.66998027e+00    2.95030667e-10      12.0         11.0  
 135        34       true    3.18796388e+00    1.91135996e-11      12.0         11.0  
 136        35       true    2.33304519e+00    4.99156272e-12      12.0         11.0  
 137        28       true    1.83993754e+00    7.53840901e-09       9.0          9.0  
 138        33       true    2.08620461e+00    1.47402091e-11      10.9         10.0  
 139        33       true    3.17878840e+00    2.54019028e-13      11.2         10.2  
 140        33       true    1.61698142e+00    1.67652559e-11      12.0         11.0  
 141        37       true    1.82441479e+00    7.86215537e-11      12.7         11.7  
 142        32       true    1.70736548e+00    9.02744546e-12      10.3         10.0  
 143        33       true    2.11718314e+00    2.86226154e-10      12.0         11.0  
 144        33       true    1.45295190e+00    6.73992417e-10      11.1         10.1  
 145        33       true    1.88053378e+00    6.82614854e-10      11.3         10.3  
 146        34       true    1.59896840e+00    3.13793436e-11      12.0         11.0  
 147        33       true    1.70129967e+00    1.84829929e-11      11.0         10.0  
 148        34       true    2.00424096e+00    4.51052529e-11      12.0         11.0  
 149        41       true    1.82779727e+00    4.73772133e-11      14.0         13.0  
 150        34       true    1.91272574e+00    9.63673585e-12      12.1         11.1  
 151        35       true    1.50835293e+00    6.41264819e-12      12.2         11.2  
 152        32       true    1.49648343e+00    1.08986997e-09      10.6         10.0  
 153        28       true    1.89592127e+00    9.49532009e-10      10.7         10.7  
 154        36       true    1.51593194e+00    2.83991497e-10      12.0         11.0  
 155        38       true    1.32478600e+00    8.09793832e-09      13.0         12.0  
 156        37       true    1.66622733e+00    1.40487533e-09      13.0         12.0  
 157        29       true    1.33913507e+00    6.23061602e-10      10.0         10.0  
 158        36       true    1.84923721e+00    2.02127115e-09      12.0         11.0  
 159        43       true    1.91153601e+00    5.83497695e-11      14.5         13.5  
 160        37       true    2.80370186e+00    6.17284002e-13      13.0         12.0  
 161        29       true    1.34502806e+00    3.76424492e-09      11.0         11.0  
 162        34       true    1.47143541e+00    8.12101497e-11      12.0         11.0  
 163        33       true    1.33643390e+00    3.37507799e-12      11.4         10.4  
 164        39       true    1.95250972e+00    7.14543091e-10      14.0         13.0  
 165        35       true    2.07390077e+00    2.00467376e-09      12.2         11.2  
 166        32       true    1.77710203e+00    6.95235869e-10      12.6         12.0  
 167        40       true    1.44951387e+00    1.56825664e-10      13.5         12.5  
 168        35       true    2.45932219e+00    2.09858797e-11      13.0         12.0  
 169        37       true    1.31805941e+00    5.41595213e-10      13.0         12.0  
 170        37       true    1.64290490e+00    1.06791909e-10      13.3         12.3  
 171        34       true    1.71042226e+00    1.03191589e-09      13.0         12.0  
 172        35       true    1.48267548e+00    1.02891029e-10      12.0         11.0  
 173        33       true    1.71867997e+00    6.78568313e-12      11.4         10.4  
 174        30       true    1.80516018e+00    5.42499379e-12      10.0         10.0  
 175        33       true    2.00314457e+00    2.26515695e-09      12.1         11.1  
 176        35       true    2.22682768e+00    1.77371007e-10      12.0         11.0  
 177        29       true    1.94765569e+00    6.43041176e-12       9.0          9.0  
 178        36       true    1.74382944e+00    3.00385050e-09      12.1         11.1  
 179        39       true    1.28889347e+00    3.11484172e-11      13.0         12.0  
 180        31       true    2.32638349e+00    9.36850597e-12      10.0         10.0  
 181        33       true    1.82994953e+00    6.45735909e-10      11.2         10.2  
 182        31       true    1.76958752e+00    7.82663889e-09      10.0         10.0  
 183        33       true    1.94915291e+00    6.93773927e-11      12.9         12.0  
 184        43       true    1.97299989e+00    8.49809112e-12      15.0         14.0  
 185        35       true    1.87094361e+00    1.52022572e-09      13.0         12.0  
 186        27       true    1.42044013e+00    1.31597844e-10      10.1         10.1  
 187        38       true    1.99961250e+00    1.53371182e-09      13.0         12.0  
 188        33       true    2.72828706e+00    1.53654867e-12      11.4         10.9  
 189        38       true    1.69928593e+00    1.35329348e-09      13.0         12.0  
 190        31       true    1.84562282e+00    4.27218616e-09      11.0         11.0  
 191        32       true    1.84262024e+00    8.58805471e-10      10.3         10.0  
 192        33       true    1.67708829e+00    1.31387345e-10      10.6         10.2  
 193        30       true    1.60382776e+00    1.27111388e-09      10.0         10.0  
 194        28       true    1.70370363e+00    1.65101532e-09      10.0         10.0  
 195        36       true    2.18077932e+00    2.28633112e-10      12.3         11.3  
 196        33       true    2.15427302e+00    2.59738897e-11      10.3         10.1  
 197        32       true    1.57509845e+00    5.31848787e-09      10.1         10.0  
 198        39       true    1.73598419e+00    1.06582121e-09      13.0         12.0  
 199        36       true    2.60910324e+00    1.65201186e-12      12.3         11.3  
 200        32       true    1.95669429e+00    6.70219436e-11      10.0         10.0  
 201        30       true    1.35330040e+00    6.11066753e-13      11.2         11.0  
 202        45       true    2.03044642e+00    8.46648973e-10      15.0         14.0  
 203        31       true    2.01888861e+00    1.34114941e-11      10.8         10.0  
 204        37       true    1.94828114e+00    4.10409484e-11      13.0         12.0  
 205        32       true    2.33215096e+00    1.46887835e-09      12.8         12.0  
 206        29       true    2.66868115e+00    6.11954931e-12      10.0         10.0  
 207        43       true    1.65314933e+00    9.16422493e-12      14.2         13.2  
 208        29       true    1.86509357e+00    7.55874474e-10       9.0          9.0  
 209        34       true    3.29130769e+00    1.36046493e-14      12.0         11.0  
 210        35       true    1.83641532e+00    3.03295167e-10      14.0         13.0  
 211        30       true    1.60571835e+00    1.43618450e-11      11.0         11.0  
 212        34       true    2.51751134e+00    4.15667500e-11      12.0         11.0  
 213        30       true    1.61184272e+00    1.37204825e-09       9.1          9.1  
 214        35       true    2.52525367e+00    3.22391003e-11      12.0         11.0  
 215        41       true    1.33372477e+00    3.94117450e-09      14.0         13.0  
 216        34       true    2.02998134e+00    2.79385404e-11      12.0         11.0  
 217        35       true    1.54597089e+00    7.77667886e-09      12.0         11.0  
 218        30       true    1.79596446e+00    4.95628427e-10      11.0         11.0  
 219        34       true    2.13779802e+00    4.71385775e-09      12.0         11.0  
 220        31       true    1.61463760e+00    5.82662807e-11      10.0         10.0  
 221        41       true    1.35013017e+00    9.11021925e-10      14.0         13.0  
 222        39       true    1.45108933e+00    7.87281351e-12      13.0         12.0  
 223        35       true    1.77727036e+00    1.95864658e-10      12.0         11.0  
 224        36       true    2.11691269e+00    2.19895213e-11      13.0         12.0  
 225        33       true    1.68756649e+00    1.66089364e-12      11.2         10.2  
 226        33       true    1.84356490e+00    4.16253698e-10      12.0         11.0  
 227        37       true    1.96639846e+00    7.80633336e-10      12.6         11.6  
 228        31       true    1.69433767e+00    2.15660378e-10      11.1         11.0  
 229        31       true    1.76004066e+00    4.12303081e-10      10.2         10.0  
 230        37       true    2.00910114e+00    2.41122677e-11      12.9         11.9  
 231        38       true    1.40661495e+00    3.68425290e-11      13.0         12.0  
 232        29       true    2.17813718e+00    1.29656286e-11       9.0          9.0  
 233        29       true    1.85501821e+00    3.47232465e-10       9.0          9.0  
 234        37       true    1.90173695e+00    1.02441255e-09      13.0         12.0  
 235        27       true    1.80648511e+00    1.09109166e-10       9.0          9.0  
 236        40       true    1.40390480e+00    8.30713276e-12      13.4         12.4  
 237        35       true    1.48146923e+00    4.81382045e-10      12.0         11.0  
 238        33       true    2.18823096e+00    1.54631863e-12      11.1         10.1  
 239        35       true    2.23216922e+00    3.14948068e-12      12.0         11.0  
 240        37       true    2.06784574e+00    5.30420152e-12      13.0         12.0  
 241        33       true    1.44282946e+00    1.02673425e-12      13.0         12.0  
 242        32       true    2.21339965e+00    3.71230158e-10      12.1         11.3  
 243        34       true    1.56349397e+00    1.20030208e-10      13.0         12.0  
 244        33       true    2.04041329e+00    1.70566672e-10      11.2         10.2  
 245        32       true    2.33325021e+00    1.74633641e-11      10.4         10.0  
 246        31       true    1.58077866e+00    2.93067526e-09      10.1         10.0  
 247        36       true    1.79523089e+00    1.02705400e-09      12.1         11.1  
 248        35       true    1.93921895e+00    1.41735512e-11      13.0         12.0  
 249        33       true    2.19186212e+00    3.75752762e-11      11.3         10.3  
 250        27       true    1.67558163e+00    1.03937303e-10      10.0         10.0  
 251        32       true    1.52670194e+00    8.36180902e-10      10.4         10.0  
 252        31       true    1.77203390e+00    4.60964600e-13      11.0         11.0  
 253        35       true    1.76039826e+00    3.61195518e-11      12.0         11.0  
 254        35       true    1.44791438e+00    2.94047453e-10      12.0         11.0  
 255        37       true    2.03183162e+00    1.48766333e-10      13.0         12.0  
 256        31       true    1.79846704e+00    4.16823021e-10      10.1         10.0  
 257        33       true    1.84948577e+00    5.58308955e-12      10.9         10.0  
 258        37       true    2.19929939e+00    6.65039579e-10      13.0         12.0  
 259        32       true    1.98727300e+00    5.28945776e-11      11.3         11.0  
 260        33       true    1.79208390e+00    5.88747007e-09      12.3         11.3  
