 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1        98       true    9.28871501e-01    4.02455846e-14     272.5        163.8  
  2        87       true    8.16893362e-01    1.07147750e-12     257.9        161.1  
  3        89       true    1.07698666e+00    4.83502127e-14     233.2        141.4  
  4       105       true    1.11784723e+00    2.80053758e-14     305.4        187.0  
  5        82       true    1.02101965e+00    1.10610869e-13     237.6        141.1  
  6        98       true    7.90045153e-01    1.33862596e-12     283.8        174.4  
  7       104       true    1.06900706e+00    5.87863092e-14     281.8        172.2  
  8       112       true    8.68607168e-01    2.58681965e-14     317.3        194.5  
  9        87       true    7.67029306e-01    6.51752408e-12     281.0        182.4  
 10        77       true    7.27991445e-01    6.87228052e-14     231.3        125.8  
 11       113       true    1.23103056e+00    4.33764136e-13     327.4        197.9  
 12       109       true    9.83467366e-01    5.14588372e-14     296.5        176.1  
 13       110       true    9.17383756e-01    2.56765134e-12     314.9        194.2  
 14       157       true    1.02233482e+00    4.60187444e-14     458.6        288.4  
 15       100       true    7.91890652e-01    5.20694599e-14     273.5        161.2  
 16       100       true    7.99669872e-01    2.03340760e-12     295.3        180.2  
 17       105       true    1.24065954e+00    6.08957329e-14     306.4        190.0  
 18       113       true    7.79096944e-01    3.71377172e-14     331.8        204.8  
 19       101       true    1.40155554e+00    6.77791157e-14     286.7        172.5  
 20        93       true    9.38467532e-01    1.35894094e-13     259.8        158.0  
 21       100       true    8.46033237e-01    5.12923037e-14     279.3        173.1  
 22        86       true    8.11276622e-01    1.28404751e-13     228.0        138.4  
 23       101       true    1.04642601e+00    4.57966998e-14     288.9        160.7  
 24       119       true    7.98161327e-01    8.06049999e-14     370.2        235.5  
 25        86       true    7.69622663e-01    3.96904731e-14     245.9        150.0  
 26       108       true    1.03313726e+00    3.40283357e-14     301.3        180.4  
 27       104       true    7.04202793e-01    1.04358206e-12     315.3        183.6  
 28       100       true    1.14912752e+00    1.54352795e-13     266.1        161.3  
 29        98       true    7.99119097e-01    5.77337926e-12     267.9        159.8  
 30       108       true    1.23884702e+00    4.45199433e-14     303.4        184.7  
 31        85       true    1.12973111e+00    5.97022431e-14     224.6        134.0  
 32       115       true    8.64413078e-01    4.72052952e-14     359.6        215.1  
 33       128       true    1.06353512e+00    4.79616347e-14     353.7        214.8  
 34       107       true    1.05953819e+00    1.96620558e-13     303.1        186.5  
 35       146       true    9.06714041e-01    5.56485067e-14     454.5        283.5  
 36       110       true    1.05607885e+00    6.06459327e-14     324.2        184.1  
 37       118       true    1.04064335e+00    5.75095527e-14     340.4        212.2  
 38        96       true    8.29714645e-01    5.82255796e-13     266.4        161.0  
 39        97       true    1.03464709e+00    2.78387927e-12     250.2        143.3  
 40       139       true    1.05245089e+00    4.25909308e-14     423.3        249.6  
 41        97       true    1.15395031e+00    6.27276009e-14     269.1        160.7  
 42       102       true    1.03142527e+00    5.48843467e-11     284.6        172.6  
 43        97       true    9.00961518e-01    7.18869408e-14     274.2        162.5  
 44       100       true    8.09588248e-01    4.53526106e-14     301.7        170.5  
 45       169       true    9.11454906e-01    1.33397074e-12     509.4        319.4  
 46        89       true    1.14886375e+00    6.86672941e-14     239.7        143.5  
 47        70       true    6.84194284e-01    4.54863873e-13     185.1        111.8  
 48       104       true    8.93483757e-01    3.00198855e-12     303.6        184.6  
 49        91       true    9.59410803e-01    2.55130601e-13     260.8        145.5  
 50        86       true    7.03044154e-01    5.88418203e-14     222.4        132.3  
 51       119       true    1.16823927e+00    1.07341913e-12     362.1        238.2  
 52        87       true    7.93082911e-01    9.73549456e-12     236.5        141.4  
 53        86       true    9.22635957e-01    3.01769275e-13     227.5        135.1  
 54       112       true    8.61101410e-01    4.84334794e-14     342.3        221.3  
 55       132       true    1.17251444e+00    2.38113496e-12     378.0        232.8  
 56       103       true    9.73008955e-01    1.26254829e-12     317.6        182.5  
 57        89       true    8.09711713e-01    4.01784907e-14     247.5        151.8  
 58       116       true    1.05686064e+00    8.23507929e-14     343.6        203.4  
 59       112       true    1.10793789e+00    1.07854226e-12     312.5        191.6  
 60        95       true    1.00364733e+00    6.90438370e-14     284.1        181.2  
 61       104       true    8.20413546e-01    4.65322225e-14     303.1        193.1  
 62       121       true    1.20025590e+00    5.78981307e-14     361.7        230.8  
 63        95       true    8.49686937e-01    6.25610674e-14     288.4        157.5  
 64        95       true    8.28367852e-01    3.47202680e-13     274.2        169.0  
 65       128       true    8.57799165e-01    1.03538926e-12     390.3        233.0  
 66       102       true    1.16103776e+00    6.91113833e-14     311.0        196.0  
 67        93       true    1.12401253e+00    1.15793308e-12     258.1        156.3  
 68        97       true    1.08264343e+00    1.39893701e-12     273.5        170.3  
 69        94       true    7.42593193e-01    7.77711229e-14     247.2        143.4  
 70       112       true    1.04042470e+00    4.22994972e-14     329.1        185.7  
 71        94       true    9.69132579e-01    4.01900735e-14     256.4        152.9  
 72       126       true    8.84647072e-01    9.24023140e-14     369.9        218.1  
 73        96       true    9.09657839e-01    5.41233725e-14     267.6        162.0  
 74        94       true    9.99951690e-01    4.64212002e-14     263.4        160.6  
 75       156       true    7.73392846e-01    3.00592884e-14     459.1        279.1  
 76       103       true    8.43509923e-01    3.89133170e-14     306.2        172.3  
 77        93       true    8.96141148e-01    5.21804822e-14     249.0        150.0  
 78       102       true    9.57111272e-01    1.08069373e-13     297.3        168.8  
 79       118       true    8.90210560e-01    5.37613443e-14     362.3        222.2  
 80       116       true    1.00205078e+00    5.23886490e-14     314.4        186.8  
 81        88       true    9.21002472e-01    4.30905311e-14     226.9        131.6  
 82       126       true    7.72679546e-01    4.22301083e-14     364.9        221.1  
 83       127       true    1.12054082e+00    4.92684094e-14     404.0        235.3  
 84       105       true    8.81597153e-01    4.61852778e-14     296.9        180.4  
 85        89       true    1.04986286e+00    1.13157872e-12     248.6        139.1  
 86       100       true    7.42840078e-01    7.23628486e-13     292.7        177.8  
 87       107       true    8.52190609e-01    6.59750032e-14     301.9        180.1  
 88        95       true    8.01577221e-01    4.94816200e-13     264.5        155.1  
 89        86       true    8.52573716e-01    4.45199433e-14     266.4        146.5  
 90       123       true    9.31579352e-01    5.78981307e-14     366.7        227.4  
 91        87       true    1.00021097e+00    2.31247163e-13     259.2        148.5  
 92        78       true    1.02220036e+00    5.07094366e-14     209.9        127.1  
 93       110       true    7.37147174e-01    7.56500418e-12     324.3        200.7  
 94        96       true    1.22528810e+00    1.89445055e-13     265.0        161.0  
 95       114       true    9.51105236e-01    3.52495810e-14     338.9        213.5  
 96        84       true    7.59125676e-01    6.13853004e-12     258.9        139.7  
 97       113       true    1.26785648e+00    9.31478193e-13     313.5        194.4  
 98        92       true    1.12293195e+00    4.08562073e-14     274.2        156.8  
 99       122       true    7.69980726e-01    1.96886423e-13     362.3        226.1  
 100       142       true    7.15936740e-01    1.27895629e-13     424.6        269.5  
