 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1        72       true    4.90640936e-01    2.34049777e-12     188.5        117.5  
  2        67       true    5.10352809e-01    5.20811035e-12     164.1        103.2  
  3        70       true    6.53443311e-01    1.42378862e-11     174.3        106.7  
  4        68       true    6.93668886e-01    2.09174869e-12     173.0         90.3  
  5        68       true    6.05558280e-01    3.89261348e-13     151.5         90.4  
  6        64       true    5.59765810e-01    9.99177869e-14     140.5         83.6  
  7        68       true    5.80402437e-01    4.31241024e-12     151.1         90.2  
  8        70       true    5.10573525e-01    3.89535371e-14     158.4         94.6  
  9        62       true    4.56170246e-01    2.79951858e-11     136.9         80.6  
 10        67       true    4.26614255e-01    2.67563749e-14     151.5         89.3  
 11        70       true    6.50124065e-01    9.70128606e-12     156.4         93.0  
 12        66       true    5.73717561e-01    2.64400914e-11     148.3         89.0  
 13        66       true    5.59865203e-01    4.48452916e-11     147.1         88.1  
 14        73       true    6.37348727e-01    1.61233394e-12     168.3        100.3  
 15        70       true    5.57531317e-01    8.86351323e-14     176.6         92.9  
 16        66       true    5.07282195e-01    4.22829000e-11     167.6         88.1  
 17        75       true    6.69644365e-01    8.95495860e-12     172.3        104.7  
 18        71       true    5.74823671e-01    1.81188969e-13     159.5         95.9  
 19        67       true    7.15709949e-01    9.73725776e-12     149.7         89.1  
 20        66       true    5.70120820e-01    2.95814086e-12     146.8         87.8  
 21        64       true    4.63181661e-01    7.17402557e-13     143.8         87.0  
 22        63       true    4.11794295e-01    2.20580958e-11     139.6         84.6  
 23        73       true    6.47704617e-01    4.89915448e-10     163.8        100.8  
 24        72       true    4.85264879e-01    4.96547951e-14     161.7         98.7  
 25        65       true    5.07361423e-01    1.84893380e-12     148.5         87.5  
 26        67       true    5.75852098e-01    8.09712642e-13     171.8         89.6  
 27        65       true    4.72222068e-01    2.35918519e-11     166.1         87.1  
 28        67       true    5.52366317e-01    3.20291533e-11     149.5         89.4  
 29        68       true    5.11390274e-01    8.97418977e-12     151.7         91.6  
 30        71       true    7.00827991e-01    1.67269196e-12     158.5         94.1  
 31        67       true    6.46269061e-01    3.45461721e-11     148.0         89.0  
 32        64       true    4.88032198e-01    4.78761583e-12     142.2         86.2  
 33        70       true    6.44788172e-01    1.28041839e-11     154.6         93.5  
 34        66       true    5.90616400e-01    3.08603727e-12     146.0         88.4  
 35        65       true    4.97032946e-01    2.44836277e-11     143.3         87.3  
 36        68       true    5.87011781e-01    1.02050618e-12     177.6         93.6  
 37        63       true    5.18998198e-01    1.78662787e-12     162.5         85.3  
 38        68       true    4.48521202e-01    1.78579906e-11     152.2         91.2  
 39        70       true    6.86809778e-01    5.62441310e-12     155.3         93.9  
 40        66       true    6.33999254e-01    3.95842044e-11     148.8         88.4  
 41        67       true    6.08939419e-01    2.09225013e-12     149.8         89.6  
 42        70       true    5.63801843e-01    1.13592351e-11     163.0         99.0  
 43        64       true    5.33908247e-01    3.66593504e-12     141.6         85.6  
 44        70       true    4.35109285e-01    2.72004641e-14     156.4         95.3  
 45        86       true    4.96047524e-01    1.24267391e-11     212.4        128.4  
 46        68       true    6.88726119e-01    8.26667383e-11     175.1         91.8  
 47        74       true    4.85364358e-01    3.26405569e-14     187.7         99.7  
 48        67       true    4.71578910e-01    4.70605690e-11     151.3         90.6  
 49        65       true    5.60725519e-01    1.02599154e-11     145.5         87.5  
 50        64       true    4.40145478e-01    2.16760998e-13     142.0         83.8  
 51        72       true    7.31177208e-01    2.01095304e-12     169.1         98.2  
 52        65       true    5.18420174e-01    4.03154675e-11     143.9         86.7  
 53        65       true    5.73909810e-01    7.92712309e-12     144.0         87.0  
 54        74       true    6.00491311e-01    8.60643468e-12     173.0        102.2  
 55        68       true    6.36793314e-01    9.39518400e-12     152.3         92.3  
 56        64       true    4.84974668e-01    8.74834286e-12     172.6         91.4  
 57        62       true    4.76494153e-01    1.64732453e-11     176.2         93.5  
 58        71       true    7.17925097e-01    1.92252028e-10     159.1         95.1  
 59        65       true    5.87356520e-01    2.47661475e-11     145.0         87.0  
 60        78       true    5.05139200e-01    5.06739472e-13     181.9        110.4  
 61        69       true    4.76439919e-01    2.24576147e-12     154.1         92.1  
 62        68       true    6.50669366e-01    8.59681467e-12     152.1         92.0  
 63        73       true    4.94841895e-01    6.11905961e-14     163.4        100.2  
 64        66       true    5.23224531e-01    3.21917605e-11     147.0         89.0  
 65        64       true    4.63825318e-01    6.17429425e-12     143.2         86.1  
 66        66       true    6.25311639e-01    1.36526264e-12     168.5         87.2  
 67        66       true    6.29760217e-01    2.44336565e-12     169.0         88.6  
 68        63       true    5.48005488e-01    1.11453427e-11     141.5         84.6  
 69        66       true    5.43844563e-01    1.12408993e-13     159.5         94.7  
 70        67       true    6.22156290e-01    3.16524079e-12     149.1         89.4  
 71        73       true    6.33007797e-01    8.23112742e-12     201.8        118.3  
 72        67       true    5.30668581e-01    1.03941660e-12     171.5        103.0  
 73        68       true    6.01521594e-01    6.84214589e-13     155.6         93.3  
 74        67       true    6.80347843e-01    7.54927594e-12     175.9        105.7  
 75        66       true    4.43688331e-01    2.30038779e-11     156.1         94.3  
 76        63       true    4.67852133e-01    3.86455169e-12     170.5         86.4  
 77        64       true    4.92296369e-01    1.57585215e-11     145.0         87.0  
 78        66       true    6.59976501e-01    6.15364931e-12     145.4         86.1  
 79        63       true    5.24572017e-01    2.62095751e-12     174.9        105.1  
 80        67       true    5.64670333e-01    2.60993520e-11     188.0         99.2  
 81        68       true    4.98118481e-01    3.78396984e-10     170.1        103.9  
 82        67       true    5.20262817e-01    2.72994562e-11     154.1         91.5  
 83        69       true    6.04168584e-01    6.13885059e-12     153.2         92.0  
 84        68       true    5.89043636e-01    1.61757268e-13     149.4         89.7  
 85        74       true    6.67196984e-01    7.08142648e-11     167.0        101.0  
 86        62       true    4.35881651e-01    9.69532654e-13     163.4         81.7  
 87        65       true    5.84129410e-01    4.57713828e-11     143.9         85.2  
 88        66       true    4.93101629e-01    4.59671778e-12     148.1         89.1  
 89        63       true    4.58658175e-01    3.02316567e-12     141.5         84.8  
 90        72       true    5.27612878e-01    8.46012826e-12     187.2        100.7  
 91        65       true    5.64272049e-01    6.88933985e-12     150.5         89.2  
 92        66       true    6.31560904e-01    7.46072819e-12     150.0         89.0  
 93        65       true    4.25039674e-01    1.88152681e-12     146.4         88.4  
 94        69       true    6.39276042e-01    3.94136086e-11     154.4         93.1  
 95        68       true    5.21559529e-01    3.23995426e-12     158.9         96.0  
 96        64       true    4.64549767e-01    1.41620139e-11     143.8         87.0  
 97        68       true    6.50634794e-01    1.10289112e-11     154.6         92.4  
 98        67       true    5.94658908e-01    1.54862988e-13     152.1         91.1  
 99        69       true    4.58025083e-01    2.92854246e-13     157.0         94.0  
