 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1       127       true    1.24853681e-01    3.57847474e-10     117.7         86.0  
  2        27       true    9.59239277e-02    2.43001730e-11      24.0         16.0  
  3       313       true    1.38477142e+04    8.13371592e-12     314.7        239.9  
  4        77       true    2.18565604e-01    1.68821229e-09      79.0         54.0  
  5        27       true    4.35735147e-02    6.72518416e-10      23.0         16.0  
  6        46       true    2.03354071e-01    1.31561428e-14      45.0         28.0  
  7       101       true    1.68031699e-01    1.31609795e-09      91.3         66.9  
  8        22       true    1.92978861e-01    2.39063552e-09      17.1         12.1  
  9        38       true    9.48305093e-02    9.83270687e-11      34.6         22.0  
 10        24       true    4.87808762e-02    1.27397498e-09      20.0         14.0  
 11        33       true    2.41728582e-01    6.91197399e-09      28.5         20.0  
 12        26       true    1.13906312e-01    1.05377040e-10      22.0         15.0  
 13        41       true    1.00383234e-01    6.48870402e-11      34.0         24.0  
 14        27       true    2.74217486e-01    1.02665398e-09      23.0         17.0  
 15        23       true    1.35042519e-01    1.39880690e-10      18.4         13.4  
 16        41       true    4.64747482e-02    9.37656897e-11      34.0         24.0  
 17        31       true    2.14165092e-01    3.40646039e-10      26.0         19.0  
 18        35       true    1.47290270e-01    7.52895418e-09      31.0         23.0  
 19        28       true    2.66469259e-01    1.35254122e-09      25.0         18.0  
 20        52       true    1.24734845e-01    8.47392712e-11      47.0         32.0  
 21       825       true    2.79628578e+03    1.51924695e-10     804.0        594.9  
 22        55       true    3.09420716e-02    8.89867346e-12      53.0         34.0  
 23        30       true    2.10372675e-01    4.76237327e-10      25.0         17.0  
 24        25       true    1.60723866e-01    2.03380701e-10      20.6         15.0  
 25        38       true    4.03083608e-02    1.21551352e-10      37.0         25.0  
 26        39       true    4.14518754e-02    4.46134102e-11      35.0         23.0  
 27        29       true    3.66053942e-02    1.01692724e-10      24.0         17.0  
 28        34       true    9.89176534e-02    9.33587374e-11      34.5         24.5  
 29       295       true    2.12417557e+00    9.93685845e-09     302.9        219.5  
 30        27       true    3.05325887e-01    3.36539685e-10      22.0         15.0  
 31        31       true    1.90085400e-01    4.97059283e-09      26.0         18.0  
 32        46       true    3.74217403e-02    2.83647272e-11      40.5         29.0  
 33        31       true    1.65928553e-01    1.01628872e-10      26.0         19.0  
 34        26       true    1.51899551e-01    5.98410210e-14      22.6         16.0  
 35        23       true    1.45314614e-01    4.20701807e-11      18.1         13.1  
 36        20       true    2.56699504e-01    5.05733788e-10      15.0         11.0  
 37        23       true    7.29328192e-02    2.46156984e-11      19.0         14.0  
 38        20       true    9.87440254e-02    1.39933620e-11      17.0         12.0  
 39        40       true    1.99802647e-01    1.15114251e-10      40.0         25.0  
 40        34       true    1.75035714e-01    7.71478714e-11      29.0         20.0  
 41        60       true    1.35822633e-01    9.84233139e-10      60.0         37.0  
 42        43       true    1.59961365e-01    3.48405527e-10      39.4         25.4  
 43        42       true    4.96558869e-02    1.00247532e-10      43.0         30.0  
 44        31       true    8.04728927e-02    6.99151848e-12      30.0         20.0  
 45        21       true    1.81875199e-01    1.20404353e-10      17.0         12.0  
 46       126       true    2.15677289e-01    1.44328993e-14     122.9         91.1  
 47        29       true    9.51570126e-02    9.60342916e-15      26.0         18.0  
 48       396       true    3.26014939e+03    1.24700694e-09     400.3        315.3  
 49        53       true    7.89669946e-02    2.70687223e-10      56.6         34.0  
 50        21       true    5.70771378e-02    4.48646120e-11      18.0         12.0  
 51        19       true    3.52641761e-01    3.56528185e-09      15.0         10.0  
 52        26       true    7.39280393e-02    8.52334869e-12      21.0         15.0  
 53        36       true    1.36713979e-01    6.59663990e-11      30.0         21.0  
 54        20       true    2.84360151e-01    2.52033561e-10      17.0         13.0  
 55        36       true    7.11595106e-02    1.03668379e-10      31.0         22.0  
 56        29       true    5.66547286e-02    4.71961081e-11      26.0         19.0  
 57        31       true    3.56761780e-02    3.48313045e-12      26.0         18.0  
 58        23       true    3.21877688e-01    5.71126979e-10      18.0         13.0  
 59        29       true    4.98189638e-02    9.73181397e-11      26.0         18.0  
 60        33       true    1.08455289e-01    5.42154155e-10      28.6         20.0  
 61        34       true    7.52295113e-02    4.50154247e-10      30.2         21.2  
 62        34       true    1.81021943e-01    2.56064059e-10      30.6         21.1  
 63        27       true    1.30071979e-01    8.87481200e-11      21.0         14.0  
 64        31       true    1.35452270e-01    1.88404209e-10      26.0         19.0  
 65        30       true    9.07458289e-02    1.98402156e-10      26.0         19.0  
 66        36       true    1.48335136e-01    9.81709344e-09      30.0         20.0  
 67        24       true    5.82603306e-02    1.23685090e-10      21.0         15.0  
 68        19       true    4.39624721e-02    1.29760133e-10      14.0         10.0  
 69        33       true    2.15163653e-01    6.93005819e-10      29.0         20.0  
 70       621       true    5.91716531e+00    6.92693902e-10     558.2        377.7  
 71        27       true    2.61384574e-01    3.30427574e-10      22.3         16.0  
 72        33       true    1.09917917e-01    1.06368470e-09      30.9         21.9  
 73        18       true    2.05675983e-01    1.09061815e-10      14.0         10.0  
 74        33       true    2.41572543e-01    1.29227551e-09      29.0         21.0  
 75        22       true    3.52678788e-02    2.28695118e-11      18.0         13.0  
 76        39       true    4.84174504e-02    4.98406039e-11      34.0         24.0  
 77        21       true    1.42201064e-01    2.46953935e-09      16.0         12.0  
 78        27       true    1.88440740e-01    8.56481552e-13      20.1         14.1  
 79        47       true    5.01600904e-02    2.92620095e-11      42.5         29.0  
 80        23       true    1.70572353e-01    7.62096497e-10      19.0         14.0  
 81        31       true    4.00472587e-02    6.67771394e-13      29.5         20.0  
 82        27       true    5.74260514e-02    8.41746950e-11      23.0         17.0  
 83        29       true    2.13332132e-01    1.37562628e-10      24.0         17.0  
 84        25       true    1.95205257e-01    4.19075169e-09      22.0         16.0  
 85        20       true    3.65585602e-01    4.51207183e-10      15.0         11.0  
 86        29       true    4.90837046e-02    3.80807164e-10      25.0         18.0  
 87        22       true    2.40668475e-01    3.07430542e-09      18.0         13.0  
 88        47       true    2.45086930e-02    7.45797590e-11      47.0         33.0  
 89        23       true    5.55266566e-02    6.48794490e-11      18.0         13.0  
 90        28       true    1.05311672e-01    3.03353676e-09      24.0         16.0  
 91        35       true    1.48945602e-01    7.08098835e-09      32.0         23.0  
 92        31       true    2.00785236e-01    9.87257720e-10      26.0         19.0  
 93        25       true    6.51045435e-02    1.23921068e-10      22.0         16.0  
 94        23       true    2.36599445e-01    4.25289026e-10      18.7         13.1  
 95        50       true    3.84679235e-02    1.51267887e-14      45.0         31.0  
 96        27       true    4.87700175e-02    2.76250714e-09      22.6         16.0  
 97        24       true    1.47789491e-01    3.88768379e-10      21.0         14.0  
 98        57       true    5.85287626e-02    3.60690616e-10      48.8         34.1  
 99        46       true    6.95689440e-02    1.70789494e-11      44.0         33.0  
 100        52       true    1.13760058e-01    1.06500087e-11      49.0         35.5  
 101        22       true    1.13638434e-01    4.47846954e-10      17.0         12.0  
 102        17       true    7.94400760e-02    6.24334473e-11      15.0         11.0  
 103        23       true    1.88210479e-01    6.49850729e-11      19.1         13.1  
 104        34       true    1.67645357e-01    1.88737914e-15      29.0         19.0  
 105        31       true    7.31098811e-02    2.93321895e-10      27.0         19.0  
 106        24       true    2.13536146e-01    1.09127485e-10      19.0         14.0  
 107       344       true    3.35640959e+03    1.12556187e-10     349.2        270.0  
 108        22       true    3.03479935e-01    2.33866149e-10      17.0         12.0  
 109       397       true    2.23442074e+00    4.91374053e-10     371.9        274.1  
