 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1       102       true    1.01663907e+03    2.22044605e-16     159.7        118.9  
  2        95       true    1.78648566e+01    5.02153874e-13     144.9        108.2  
  3        62       true    1.02122277e+03    3.33066907e-16      99.6         75.6  
  4       140       true    1.78621747e+01    6.66133815e-16     226.3        170.0  
  5        22       true    1.12232026e+03    6.66133815e-16      34.0         25.0  
  6        46       true    1.18002121e+03    2.22044605e-15      73.0         56.0  
  7       305       true    2.16255332e+01    1.02362563e-13     483.0        359.4  
  8        93       true    1.75827322e+01    9.43689571e-16     141.9        104.1  
  9       112       true    1.73151415e+01    6.66133815e-16     176.0        132.0  
 10        24      false    9.85003110e+02    1.05681788e-02      37.0         24.0  
 11        50       true    1.13881001e+03    4.44089210e-16      81.8         61.1  
 12        71       true    1.84155691e+01    2.01323680e-12     116.2         86.8  
 13       122       true    2.31666658e+01    5.55111512e-16     202.0        150.6  
 14       129       true    1.97338957e+01    7.21644966e-16     200.1        143.9  
 15        66       true    1.64463924e+01    6.66133815e-16     106.5         79.9  
 16        82       true    1.73827347e+01    2.02460271e-12     134.4        102.0  
 17       170       true    1.93266086e+01    8.04911693e-16     262.2        189.1  
 18       119       true    1.70920149e+01    6.66133815e-16     188.0        141.7  
 19       170       true    2.34052958e+01    3.01730863e-13     269.3        194.8  
 20        99       true    1.98369542e+01    6.66133815e-16     143.0        102.4  
 21       134       true    1.75946678e+01    8.88178420e-16     188.3        131.7  
 22        26      false    1.06692284e+03    2.95827962e-02      58.1         39.3  
 23        25      false    1.16920584e+03    5.82829030e-02      37.3         26.3  
 24        24      false    8.74037735e+02    1.46755380e-02      36.2         27.0  
 25        26      false    1.19913950e+03    3.93340289e-02      36.0         26.0  
 26       117       true    2.28607991e+01    5.55111512e-16     203.3        153.6  
 27        87       true    1.64506303e+01    6.66133815e-16     135.9        101.3  
 28        60      false    9.86047510e+02    5.43547500e-02     111.0         73.0  
 29       214       true    1.82101749e+01    1.56356872e-12     353.2        265.2  
 30        76       true    1.67511215e+01    3.22274152e-12     125.4         95.8  
 31       108       true    1.71224347e+01    6.66133815e-16     156.6        113.0  
 32        46      false    9.48620945e+02    4.14304910e-02     105.0         70.0  
 33       126       true    1.81757790e+01    8.88178420e-16     198.6        149.1  
 34       105       true    1.80341752e+01    6.24500451e-16     165.5        125.1  
 35       108       true    1.65614555e+01    5.21804822e-15     174.9        131.5  
 36        29      false    1.05537027e+03    2.44851980e-02      52.1         40.0  
 37        74       true    2.17816146e+01    7.77156117e-16     117.9         87.8  
 38        98       true    1.79180862e+01    5.55111512e-16     152.7        115.1  
 39        74       true    1.79473962e+01    8.88178420e-16     110.0         81.0  
 40       107       true    1.62627768e+01    9.99200722e-16     151.5        109.0  
 41        32      false    1.60146560e+03    1.47497506e-02      42.2         29.2  
 42       181       true    1.80328174e+01    7.49400542e-16     259.3        185.9  
 43       180       true    2.00719187e+01    5.99409411e-13     245.2        169.0  
 44        38      false    1.76794410e+03    3.02788862e-02      79.7         56.0  
 45       130       true    2.01041995e+01    7.77156117e-16     196.2        143.8  
 46        17      false    1.37574466e+03    1.67616792e-02      36.3         24.7  
 47       114       true    1.70346633e+01    6.38378239e-16     186.7        137.3  
 48        25      false    1.17676384e+03    1.08888799e-02      35.6         24.6  
 49        62       true    1.95380607e+01    6.66133815e-16      89.5         65.4  
 50       156       true    1.65610268e+01    2.04444101e-12     226.5        166.6  
 51        53       true    1.75391774e+01    2.99760217e-15      89.0         67.0  
 52       104       true    1.76795767e+01    8.60422844e-16     167.4        126.6  
 53       139       true    2.10775233e+01    5.82867088e-16     208.4        148.1  
 54       171       true    1.77334753e+01    7.77156117e-16     275.2        208.0  
 55       110       true    2.22660552e+01    6.10622664e-16     191.4        139.0  
 56        27       true    9.21264110e+02    2.22044605e-16      38.0         27.0  
 57        14      false    1.16154955e+03    4.03263304e-02      23.0         17.0  
 58       298       true    1.82345202e+01    6.66133815e-16     528.2        391.3  
 59       128       true    1.99313797e+01    4.74065232e-14     231.0        178.0  
 60       106       true    1.81452129e+01    7.77156117e-16     167.6        126.6  
 61       102       true    2.17532056e+01    5.55111512e-16     162.1        119.0  
 62       101       true    1.88162475e+01    5.55111512e-16     157.2        117.2  
 63        94       true    1.72895411e+01    6.46024900e-12     133.3         94.5  
 64        90       true    1.60860165e+01    1.44328993e-15     135.2        101.2  
 65       131       true    1.91714799e+01    6.93889390e-16     204.2        154.2  
 66        72       true    1.74351739e+01    2.77555756e-15     102.4         76.1  
 67       106       true    1.75348337e+01    8.32667268e-16     180.7        140.0  
 68        91       true    1.85783015e+01    9.43689571e-16     135.8        101.1  
 69        15      false    1.36996376e+03    1.08861522e-02      30.9         21.0  
 70        83       true    1.79928131e+01    1.81843429e-12     134.1        103.0  
 71       176       true    1.93695982e+01    6.66133815e-16     290.6        217.3  
 72       144       true    1.97856497e+01    7.63278329e-16     220.8        160.5  
 73        98       true    1.67797829e+01    7.77156117e-16     163.4        125.8  
 74       104       true    1.95314940e+01    6.66133815e-16     132.6         93.0  
 75       117       true    1.75063440e+01    7.77156117e-16     198.3        150.0  
 76        69       true    9.56447636e+02    6.66133815e-16     112.2         84.2  
 77        33      false    1.15622771e+03    3.61552626e-02      46.0         33.0  
 78       179      false    8.47799073e+01    1.26480405e-03     284.3        186.8  
 79        93       true    1.63375172e+01    7.77156117e-16     152.1        117.0  
 80        98       true    2.43497526e+01    7.77156117e-16     138.9         98.2  
 81        35      false    1.30217773e+03    1.86784183e-02      68.0         48.0  
 82        73       true    1.73545946e+01    5.55111512e-16     118.9         91.0  
 83        98       true    1.63630757e+01    6.66133815e-16     144.6        106.0  
 84       122       true    2.48127598e+01    6.66133815e-16     211.6        158.1  
 85        71       true    1.66777770e+01    7.77156117e-16     101.0         73.0  
 86        78       true    1.82583014e+01    6.38378239e-16     131.4        101.6  
 87       237       true    1.79575255e+01    8.32667268e-16     390.2        295.3  
 88        15      false    1.21934268e+03    5.29770117e-02      22.0         16.0  
 89        64      false    9.36986282e+02    3.03756960e-02      97.7         71.6  
 90        74       true    1.57714321e+01    1.51545443e-13     115.6         87.0  
 91       107       true    1.68656583e+01    2.25236496e-13     135.5         94.9  
 92        26      false    1.32490963e+03    4.11203589e-03      34.1         23.1  
 93        66       true    1.52817685e+01    1.77302617e-13      91.4         66.4  
 94       102       true    1.84400960e+01    6.66133815e-16     174.1        133.3  
 95        78       true    1.67929576e+01    7.77156117e-16     100.0         69.3  
 96        37      false    1.25170997e+03    3.94289449e-02      62.2         46.2  
 97        84       true    1.71625818e+01    8.32667268e-16     144.5        110.8  
 98        77       true    1.64597222e+01    6.93889390e-16     117.3         86.1  
 99        13      false    7.92003342e+02    3.32282680e-02      26.0         19.0  
 100        23       true    1.08580092e+03    5.55111512e-16      30.0         21.0  
 101        71       true    1.88572082e+01    5.55111512e-16     115.0         88.0  
 102        63       true    1.76179836e+01    2.12241336e-12      91.0         66.0  
 103       126       true    1.71729343e+01    2.77555756e-15     194.5        146.3  
 104       108       true    1.62252097e+01    7.77156117e-16     164.8        122.2  
 105        23       true    1.04571743e+03    2.22044605e-16      34.0         25.0  
 106        32      false    1.20224995e+03    5.00434584e-02      42.0         30.0  
 107        44      false    1.00701523e+03    1.72908398e-02     102.5         62.7  
 108        85       true    1.65593189e+01    6.66133815e-16     142.8        110.1  
 109        17      false    1.36837672e+03    4.90579652e-02      25.0         18.0  
 110        40       true    1.22404725e+03    2.22044605e-16      63.0         47.0  
 111        21      false    1.21774026e+03    3.49675521e-02      35.0         24.0  
 112        18      false    1.00687796e+03    3.59866486e-03      31.0         23.0  
 113       104       true    1.85474619e+01    8.32667268e-16     150.5        108.2  
 114       105       true    1.80632964e+01    6.66133815e-16     166.5        122.7  
 115        22      false    1.20626147e+03    3.82377992e-02      41.0         32.0  
 116        33      false    1.21335663e+03    3.37193578e-02      47.0         33.0  
 117        85       true    1.92797954e+01    7.77156117e-16     136.6        100.9  
 118        50       true    1.68191719e+01    8.88178420e-16      71.0         51.0  
 119       141       true    1.67210778e+01    1.66533454e-15     220.0        165.6  
 120        69       true    1.68363870e+01    7.77156117e-16      97.5         70.5  
 121        14      false    9.94655064e+02    2.74736386e-02      30.0         21.0  
 122       113       true    1.98129938e+01    8.32667268e-16     176.7        130.0  
 123       115       true    1.74613730e+01    6.10622664e-16     177.4        132.1  
 124        19      false    8.98492531e+02    1.37008458e-02      33.0         22.0  
 125        17      false    1.08783834e+03    4.13886056e-03      28.0         18.0  
 126        25      false    9.23445179e+02    4.51007453e-02      38.0         29.0  
 127        26      false    9.90730385e+02    3.38786397e-02      55.8         40.0  
 128        76       true    1.90955865e+01    3.72479825e-12     126.1         95.1  
 129       161       true    1.94999626e+01    7.77156117e-16     259.7        199.0  
 130       110       true    1.68832722e+01    7.77156117e-16     184.6        142.6  
 131        26       true    1.20269066e+03    6.66133815e-16      39.0         29.0  
 132       107       true    1.74926143e+01    5.55111512e-16     161.8        121.8  
 133        65       true    1.73896095e+01    7.77156117e-16      98.1         73.1  
 134       124       true    1.72600391e+01    6.66133815e-16     195.0        147.0  
 135        32      false    1.03571339e+03    1.46378936e-02      56.0         40.0  
 136        83       true    1.89074894e+01    6.66133815e-16     113.5         82.5  
 137       104       true    1.02810412e+03    7.16093851e-15     161.2        118.2  
 138        23       true    1.05871305e+03    4.44089210e-16      34.4         25.4  
 139        47       true    1.56638841e+01    6.66133815e-16      74.1         56.1  
 140       127       true    1.68667688e+01    2.99760217e-15     199.2        151.2  
 141        92       true    1.96820654e+01    7.21644966e-16     146.4        110.2  
 142        73       true    1.64108660e+01    8.88178420e-16     106.1         79.1  
 143       195       true    1.79888373e+01    8.88178420e-16     288.9        214.5  
 144       124       true    1.83978377e+01    7.77156117e-16     207.0        160.0  
 145        86       true    1.73328701e+01    6.10622664e-16     142.1        108.1  
 146       113       true    2.81326926e+01    7.21644966e-16     160.7        117.7  
 147        34      false    1.05876038e+03    3.15387746e-02      53.5         34.6  
 148        38      false    8.83164669e+02    2.30986081e-02      56.0         39.0  
 149        17      false    1.15866901e+03    3.43916146e-02      27.0         19.0  
 150       102       true    1.82234788e+01    1.04832809e-13     144.0        104.0  
 151        22      false    1.19068329e+03    2.26243045e-02      32.0         23.0  
 152        53       true    1.81734390e+01    7.77156117e-16     102.9         64.4  
 153        89       true    1.72723265e+01    2.74588685e-12     115.1         81.1  
 154        75       true    1.66325485e+01    2.32036612e-14     115.2         86.2  
 155        69       true    1.71483637e+01    6.66133815e-16     117.8         90.8  
 156        15      false    1.06297202e+03    2.78085665e-02      22.1         16.0  
 157        94       true    1.56730312e+01    7.88258347e-15     140.0        104.0  
 158       156       true    1.76690643e+01    7.77156117e-16     231.0        169.0  
 159        71       true    1.62126504e+01    2.68896017e-13     116.4         89.0  
 160        82       true    1.81747195e+01    6.10622664e-16     125.6         94.6  
 161       110       true    1.93335011e+01    7.21644966e-16     153.6        107.6  
 162       136       true    1.96313094e+01    5.55111512e-16     205.2        149.1  
 163       145       true    1.66953479e+01    6.35325126e-14     240.7        184.7  
 164       163       true    1.67935385e+01    8.91509089e-14     216.7        152.7  
 165       106       true    1.82071654e+01    6.66133815e-16     154.0        113.0  
 166       144       true    1.88405462e+01    2.88657986e-15     240.2        183.2  
 167        78       true    1.65700929e+01    1.03250741e-14     117.0         88.0  
 168       158       true    1.84220539e+01    2.79776202e-14     220.1        157.1  
 169        62       true    1.09832460e+03    3.33066907e-16      91.4         68.4  
 170        95       true    1.70494236e+01    7.77156117e-16     137.1        101.0  
 171       113       true    1.93960512e+01    8.88178420e-16     180.7        137.7  
 172        64       true    1.71409791e+01    5.82867088e-16      97.1         73.1  
 173        32       true    1.05389004e+03    3.33066907e-16      50.2         38.2  
 174        91       true    2.05203979e+01    3.98292510e-15     142.8        106.6  
 175        65       true    1.81992843e+01    1.27009514e-13      89.0         64.0  
 176        17      false    1.32337791e+03    1.94012795e-02      47.1         28.0  
 177       146       true    1.83017714e+01    7.77156117e-16     230.6        156.6  
 178        24       true    1.02061194e+03    3.33066907e-16      35.0         26.0  
 179        24       true    1.06197938e+03    3.33066907e-16      35.1         26.1  
 180        22       true    1.03959564e+03    3.33066907e-16      32.0         24.0  
 181        51       true    1.85929163e+01    8.88178420e-16      81.0         62.0  
 182       140       true    1.81924818e+01    2.20379270e-13     238.2        183.1  
 183       107       true    1.77406468e+01    7.77156117e-16     164.6        125.6  
 184       117       true    2.13249188e+01    8.88178420e-16     194.5        145.5  
 185        19      false    9.82510914e+02    4.23847835e-02      39.0         22.0  
 186        92       true    1.69877938e+01    5.55111512e-16     157.0        120.0  
 187        91       true    1.77528296e+01    8.88178420e-16     142.2        106.0  
 188        37      false    1.05979739e+03    5.88405220e-02      86.0         59.0  
 189        50       true    1.15898697e+03    7.77156117e-16      73.1         54.1  
 190        88       true    2.07597363e+01    7.21644966e-16     136.0        103.0  
 191        51       true    1.76253279e+01    9.99200722e-16      74.7         55.7  
 192        60       true    1.04384984e+03    3.33066907e-16      90.3         68.0  
 193        33       true    1.24460004e+03    6.16395823e-13      49.0         37.0  
 194        82       true    1.82188571e+01    7.77156117e-16     123.0         93.0  
 195       256       true    2.10602524e+01    7.77156117e-16     402.7        301.4  
 196       124      false    3.09184160e+02    9.08845385e-04     167.3        115.3  
 197       118       true    1.70951939e+01    5.28732613e-12     191.1        144.3  
 198        82       true    1.56420585e+01    6.66133815e-16     119.3         88.3  
 199        71       true    1.83696445e+01    7.77156117e-16     135.5         84.6  
 200        25      false    1.01941621e+03    1.45403452e-02      47.0         37.0  
 201       105       true    1.69252888e+01    8.88178420e-16     175.5        134.5  
 202       108       true    1.86846259e+01    6.66133815e-16     166.3        124.3  
 203       117       true    1.90793617e+01    2.17603713e-14     174.0        127.0  
 204        25       true    1.07948232e+03    5.55111512e-16      34.6         25.6  
 205       163       true    1.68969022e+01    7.77156117e-16     255.0        188.0  
 206        63       true    1.70060782e+01    4.56451543e-12      99.9         75.9  
