 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1        72       true    4.36554898e+00    6.49313936e-13      95.1         77.8  
  2       100       true    2.02893199e+00    2.86604074e-12     117.2         95.1  
  3        60       true    4.08045900e+00    6.66133815e-16      92.6         79.6  
  4        71       true    2.27155079e+00    8.60089777e-13      91.1         75.2  
  5        75       true    1.17666623e+00    8.22397705e-13      89.6         73.6  
  6        76       true    1.00235099e+00    1.24543709e-11      97.3         80.3  
  7        83       true    2.65783055e+00    1.90536475e-12     105.0         87.0  
  8        65       true    3.40156197e+00    2.00950367e-14      87.1         73.1  
  9        88       true    1.81368215e+00    1.33478451e-10     110.1         90.7  
 10        75       true    2.54920533e+00    5.93448901e-14     101.1         84.1  
 11        78       true    1.82330696e+00    7.77711229e-14     100.4         83.4  
 12       108       true    2.10723784e+00    4.99045250e-12     135.9        112.5  
 13        54       true    1.50053884e+00    2.48447929e-11      66.9         55.2  
 14        92       true    1.25658148e+00    6.66133815e-15     114.8         93.1  
 15        59       true    3.75831243e+00    7.82707232e-15      72.1         59.1  
 16       101       true    1.99862411e+00    1.72034609e-12     118.0         97.0  
 17        87       true    3.05775978e+00    7.91589017e-14     106.2         86.9  
 18        77       true    9.66976762e-01    1.97084571e-11      96.0         77.6  
 19       100       true    2.31173508e+00    1.39765977e-12     132.1        108.1  
 20        75       true    1.22395018e+00    4.39093206e-14      86.2         71.0  
 21        70       true    2.00709723e+00    5.46390710e-11      86.1         72.1  
 22        86       true    1.46735566e+00    4.77456963e-12     106.3         87.4  
 23        75       true    1.86042028e+00    1.50582324e-12      93.4         77.4  
 24        98       true    2.37059596e+00    1.15527587e-11     117.2         95.2  
 25       123       true    2.15309914e+00    2.63811195e-12     171.4        142.3  
 26        68       true    1.67077350e+00    1.28734801e-11      86.5         73.0  
 27        97       true    1.20045189e+00    1.51878510e-11     129.8        107.6  
 28        79       true    2.16299292e+00    5.40886780e-15     100.5         82.0  
 29       100       true    1.51512597e+00    7.56061880e-14     118.0         95.0  
 30        84       true    1.17004863e+00    2.34815500e-11      99.6         81.3  
 31        80       true    2.21324567e+00    1.87738713e-13     103.4         86.3  
 32        98       true    1.17288030e+00    2.13639245e-11     121.7        100.3  
 33        79       true    4.99624519e+00    1.93178806e-14     102.7         85.7  
 34        83       true    1.87045264e+00    9.09272657e-14     105.2         88.1  
 35        85       true    1.82149334e+00    8.32667268e-16     106.7         88.7  
 36       102       true    2.61861959e+00    1.85003124e-11     123.2        100.5  
 37        78       true    1.86855871e+00    7.99761646e-12     101.5         82.2  
 38        68       true    1.65889958e+00    1.01689906e-11      86.0         71.0  
 39        83       true    1.59754239e+00    4.10782519e-14      97.3         80.3  
 40        71       true    1.38799322e+00    3.03186365e-11      93.5         77.5  
 41        81       true    2.57167496e+00    1.12930845e-12     107.2         88.8  
 42        70       true    1.40954943e+00    6.55031585e-15      92.0         75.0  
 43        69       true    1.53424521e+00    1.68198788e-13      88.6         73.4  
 44        78       true    1.35765630e+00    1.50879309e-13      96.2         78.6  
 45        79       true    2.23598555e+00    2.88657986e-15      98.1         80.7  
 46        78       true    2.16842534e+00    6.46843690e-14     100.0         83.0  
 47        86       true    1.66964911e+00    4.39093206e-14     120.0        102.0  
 48        72       true    3.57686456e+00    6.14841511e-13      91.9         76.2  
 49        86       true    2.25461844e+00    1.80505610e-12     108.6         90.0  
 50        87       true    1.86017775e+00    1.11022302e-15     112.9         94.6  
 51        65       true    1.28934479e+00    4.80837592e-11      82.5         68.0  
 52       136       true    3.92061341e+00    5.10702591e-15     195.5        161.3  
 53        79       true    1.66790182e+00    1.88737914e-15      97.7         79.0  
 54        61       true    1.34416256e+00    7.27973237e-13      68.4         55.0  
 55        77       true    1.62325779e+00    4.32986980e-15      96.9         79.4  
 56        66       true    1.85603467e+00    2.76547674e-11      79.9         66.6  
 57        81       true    2.77612083e+00    8.00436106e-14     103.7         85.4  
 58        96       true    1.95949276e+00    2.22044605e-15     125.9        103.0  
 59        92       true    1.20147836e+00    5.26016453e-10     103.2         85.0  
 60        84       true    1.81267887e+00    2.52603494e-13     105.3         87.1  
 61        87       true    1.09750696e+00    1.56652469e-11     103.6         84.2  
 62        73       true    1.72101270e+00    6.71684930e-15      91.6         75.0  
 63        78       true    1.67480904e+00    9.69779812e-14     100.9         83.0  
 64       105       true    1.42384306e+00    1.17017507e-13     132.2        108.9  
 65        94       true    2.85865958e+00    2.34604003e-14     122.0        101.7  
 66       117       true    1.51692955e+00    2.75428985e-12     146.5        121.5  
 67        68       true    2.48683895e+00    4.90718577e-14      82.4         67.0  
 68        87       true    2.53363553e+00    1.93738255e-13     105.2         86.7  
 69        80       true    2.27596045e+00    8.55360227e-12     107.1         89.1  
 70       107       true    1.98189060e+00    5.22027560e-12     125.1        102.1  
 71        81       true    1.48951946e+00    5.12038190e-11      98.1         81.1  
 72        78       true    1.79009072e+00    9.21485110e-15      94.7         78.3  
 73        67       true    4.02373786e+00    1.57529545e-12      81.6         67.2  
 74        60       true    1.10066469e+00    3.82150978e-11      74.2         61.2  
 75        55       true    1.20209316e+00    3.29736238e-14      64.3         51.0  
 76        71       true    1.56913567e+00    6.24778007e-11      90.7         76.1  
 77        78       true    1.67223342e+00    1.30422895e-11      99.3         83.2  
 78        92       true    1.91056581e+00    2.00950367e-14     115.0         95.5  
 79        69       true    2.65779654e+00    1.41877621e-11      85.2         69.8  
 80       106       true    2.07898487e+00    9.52224410e-14     126.4        102.7  
 81       102       true    3.22958169e+00    6.39488462e-14     123.2        102.1  
 82       115       true    1.92005539e+00    1.65917280e-11     144.4        118.5  
 83        75       true    3.44965471e+00    1.06425979e-12      95.2         80.0  
 84        83       true    2.04984058e+00    1.99806838e-12     107.6         88.6  
 85        68       true    3.49772698e+00    2.06701323e-12      78.9         62.4  
 86        64       true    1.05545334e+00    6.66133815e-16      82.3         69.3  
 87        96       true    1.05590732e+00    6.06181771e-14     126.6        105.6  
 88        93       true    2.92525115e+00    1.26398891e-13     115.4         95.0  
 89        81       true    3.17773413e+00    1.40498724e-12     100.8         83.0  
 90        72       true    4.03698894e+00    2.22044605e-16      86.0         71.4  
 91        72       true    3.88290554e+00    9.05553410e-13      93.0         78.0  
 92        86       true    2.16003906e+00    2.55351296e-15     103.0         84.0  
 93       119       true    1.72779854e+00    1.28075328e-12     146.3        121.4  
 94       121       true    2.23177234e+00    5.81174553e-11     147.0        118.6  
 95        85       true    2.59558418e+00    1.85660765e-10     103.7         85.5  
 96        72       true    1.59707271e+00    1.51545443e-14      93.2         78.2  
 97       100       true    2.92814205e+00    4.54358773e-13     134.2        111.0  
 98        88       true    4.30288477e+00    2.25414132e-11     119.2        100.2  
 99        70       true    3.34237505e+00    9.18154441e-14      86.0         69.5  
 100        70       true    5.04150445e+00    4.99600361e-16      87.4         73.3  
