 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1       116       true    3.80167047e-02    1.50065207e-10     187.6        121.4  
  2       118       true    3.72858687e-02    2.32132440e-09     175.0        114.0  
  3       151       true    3.87997544e-02    4.94935781e-11     240.9        157.4  
  4       138       true    3.42361749e-02    1.81715976e-09     219.4        143.1  
  5       159       true    3.01480645e-02    1.96491728e-11     248.8        163.1  
  6       128       true    3.38232580e-02    6.81036964e-11     200.5        129.9  
  7        89       true    3.83202456e-02    4.41956106e-10     142.4         89.0  
  8       135       true    3.66157119e-02    2.54312551e-13     221.4        142.0  
  9       129       true    3.39765235e-02    2.28531120e-13     197.1        126.1  
 10       196       true    3.28494369e-02    4.82822671e-11     308.3        204.8  
 11       135       true    3.69027391e-02    6.12976692e-11     208.4        138.8  
 12       128       true    3.50549881e-02    3.36069766e-11     200.6        128.3  
 13       143       true    3.67948481e-02    3.14763504e-09     223.6        143.0  
 14       160       true    3.52130375e-02    1.28151522e-12     253.5        165.6  
 15       133       true    3.61705644e-02    1.03308334e-12     205.7        134.2  
 16       203       true    3.10093655e-02    6.96390602e-11     327.1        213.1  
 17       170       true    3.49310025e-02    4.56532387e-11     264.2        173.0  
 18       121       true    3.92998822e-02    2.62723177e-12     186.5        121.0  
 19       175       true    3.42870315e-02    1.83576189e-14     275.9        182.0  
 20       168       true    3.59098779e-02    3.64730218e-11     263.3        171.8  
 21       187       true    3.33321881e-02    1.09620692e-11     306.3        196.0  
 22       153       true    3.29893176e-02    6.82167221e-14     238.6        154.2  
 23       139       true    3.56383973e-02    2.82550124e-13     217.4        143.0  
 24       125       true    3.71280520e-02    1.56853215e-11     198.0        127.8  
 25       172       true    3.38708388e-02    3.30061845e-09     277.5        182.1  
 26       192       true    3.03912637e-02    1.53993641e-11     305.9        201.0  
 27       138       true    3.28939693e-02    3.00775443e-11     208.7        137.0  
 28       176       true    3.07181107e-02    1.53931855e-09     281.7        185.9  
 29       116       true    3.91510026e-02    5.13312966e-10     183.1        121.1  
 30       128       true    3.59688077e-02    3.98848575e-11     203.1        133.6  
 31       106       true    3.59632548e-02    2.40292159e-09     159.8         99.8  
 32       180       true    3.22688856e-02    1.22034466e-11     287.3        187.0  
 33       176       true    3.59751706e-02    3.54384481e-09     268.0        177.5  
 34       124       true    3.47206553e-02    1.76043402e-10     196.2        127.8  
 35       135       true    3.59076004e-02    5.38559718e-11     212.9        140.4  
 36       120       true    3.63135150e-02    5.85135672e-11     181.0        118.0  
 37       176       true    3.31646970e-02    8.23683851e-12     282.0        185.1  
 38       200       true    3.62614217e-02    5.57609514e-12     306.2        196.7  
 39       129       true    3.32918166e-02    1.21017714e-09     205.0        134.0  
 40       107       true    3.56320297e-02    6.58576921e-14     180.7        105.1  
 41       178       true    3.41108008e-02    9.46524303e-10     288.3        190.3  
 42       151       true    3.37863240e-02    1.52501123e-10     235.7        156.3  
 43       163       true    3.45238405e-02    4.08948925e-09     255.2        169.9  
 44       151       true    3.41490556e-02    1.15637262e-11     241.3        159.1  
 45       157       true    3.84452514e-02    1.08849774e-09     246.8        160.8  
 46       164       true    3.37111441e-02    3.07719032e-11     257.6        169.0  
 47       144       true    3.44163593e-02    1.86370145e-12     224.4        147.0  
 48       125       true    3.75274996e-02    1.22956244e-12     189.7        124.7  
 49       131       true    3.35143030e-02    9.02980363e-11     207.8        133.1  
 50       183       true    3.42774446e-02    3.83175579e-13     295.9        188.3  
 51       144       true    3.51559160e-02    1.90715212e-09     230.5        147.2  
 52       137       true    3.66705982e-02    9.70445946e-12     214.7        139.9  
 53       100       true    3.80597390e-02    3.82015451e-11     150.1         98.0  
 54       126       true    3.58220392e-02    1.31456503e-11     206.6        132.0  
 55       162       true    3.15216398e-02    2.60175658e-12     262.2        170.0  
 56       114       true    3.53427309e-02    6.47923151e-11     171.1        111.1  
 57       140       true    3.41931361e-02    2.82282873e-13     218.3        144.7  
 58       153       true    3.53716002e-02    4.63241233e-12     238.6        158.9  
 59       134       true    3.25544927e-02    3.15210793e-09     209.5        137.0  
 60       152       true    3.63450287e-02    1.39990456e-11     245.1        159.0  
 61       146       true    3.53327847e-02    9.34781958e-11     228.5        152.1  
 62       148       true    3.40568062e-02    2.90784725e-13     229.8        148.6  
 63       126       true    3.61850111e-02    3.51681568e-13     193.3        127.3  
 64       148       true    3.54895639e-02    5.94134519e-10     232.0        154.3  
 65       146       true    3.31516710e-02    5.83949145e-09     229.7        151.1  
 66       158       true    3.32326031e-02    1.54788153e-09     252.3        159.7  
 67       188       true    3.08615389e-02    1.85379571e-11     303.1        197.0  
 68       188       true    3.11630804e-02    1.04294245e-13     305.4        198.3  
 69       135       true    3.70558509e-02    2.88229662e-09     217.1        140.1  
 70       158       true    3.20010415e-02    1.43623086e-11     250.6        166.0  
 71       103       true    3.74880338e-02    4.93374364e-11     162.4        105.4  
