 seed  iterations  status     objective           primal        wall (ms)   solver(ms)  
  1       613       true    3.19965864e-02    2.53552734e-12     1249.5        895.0  
  2       812       true    4.51789289e-02    4.27318308e-10     1917.9        1410.1  
  3       742       true    5.10411011e-02    3.67872399e-12     1668.9        1242.8  
  4       641       true    5.58339980e-02    1.50068846e-12     1488.8        1096.0  
  5       496       true    2.70674828e-02    3.62700603e-09     1142.4        838.1  
  6       668       true    2.69082859e-02    2.12187314e-09     1501.1        1065.1  
  7       642       true    4.47133080e-02    1.96274779e-14     1308.0        920.1  
  8       591       true    2.83676641e-02    3.82847838e-12     1186.8        842.6  
  9       714       true    2.69840756e-02    1.17331698e-12     1506.8        1056.7  
 10       405       true    3.10675971e-02    1.17383059e-13     801.2        568.9  
 11       595       true    5.27317338e-02    7.16537940e-13     1235.0        860.8  
 12       668       true    6.24140758e-02    2.73659567e-13     1540.9        1127.2  
 13       617       true    5.31871176e-02    3.59867052e-12     1409.4        1038.0  
 14       559       true    3.07750292e-02    2.23404766e-11     1251.2        908.2  
 15       742       true    4.05850959e-02    2.30153230e-10     1531.5        1081.2  
 16       761       true    5.10991919e-02    1.27151014e-10     1604.1        1129.1  
 17       684       true    4.05538568e-02    3.27204930e-12     1435.7        1010.7  
 18       713       true    4.31011657e-02    1.28188639e-12     1479.1        1037.4  
 19       572       true    3.76142543e-02    1.20923821e-09     1155.4        822.3  
 20       769       true    4.98272830e-02    1.79439563e-09     1580.5        1127.3  
 21       743       true    5.23548717e-02    1.19733401e-09     1530.8        1069.8  
 22       579       true    3.72825538e-02    1.03768651e-11     1280.6        923.7  
 23       771       true    4.51162377e-02    8.88178420e-16     1585.3        1124.6  
 24       634       true    2.68125509e-02    2.12810389e-09     1382.2        970.0  
 25      1000      false    5.85470287e-02    6.54653290e-09     2111.4        1476.6  
 26       495       true    2.49036321e-02    2.05901962e-11     1013.8        712.1  
 27       688       true    3.04301212e-02    1.63126978e-12     1416.8        994.4  
 28       503       true    3.34440334e-02    4.98682560e-11     1022.2        719.8  
 29       536       true    3.27241492e-02    7.44066270e-12     1112.2        781.7  
 30       591       true    3.95965960e-02    3.46524015e-11     1216.8        836.1  
 31       344       true    5.97717543e-02    3.42772599e-12     730.9        490.3  
 32       531       true    2.94714480e-02    6.92968748e-12     1102.6        772.0  
 33       570       true    7.37972768e-02    3.20960653e-10     1166.4        819.9  
 34       533       true    5.47696846e-02    1.15497889e-14     1075.5        767.5  
 35       393       true    3.00771492e-02    2.79937696e-09     827.8        578.1  
 36       346       true    2.75877802e-02    1.14659491e-11     706.6        497.4  
 37       550       true    4.85103801e-02    5.84537003e-10     1178.8        828.2  
 38       374       true    2.69035154e-02    7.08041815e-11     801.2        539.6  
 39       838       true    5.38819621e-02    2.42231402e-09     1803.3        1275.8  
 40       622       true    4.89452090e-02    4.76795823e-11     1322.4        922.0  
 41       742       true    5.31128056e-02    1.81901472e-09     1588.5        1099.7  
 42       757       true    3.77089866e-02    1.59054496e-10     1580.2        1115.5  
 43       973       true    2.97604425e-02    1.13398180e-12     2016.0        1435.4  
 44       329       true    3.02984269e-02    1.12136966e-11     668.5        468.6  
 45       697       true    2.68173325e-02    2.08095585e-09     1498.7        1042.9  
 46       745       true    5.15644079e-02    1.16584520e-11     1626.0        1126.2  
 47       577       true    3.45952692e-02    1.73761543e-10     1246.9        874.8  
 48       639       true    2.87371381e-02    2.42242159e-11     1363.4        963.8  
 49       568       true    3.51153600e-02    7.04186709e-12     1197.0        856.8  
 50       728       true    3.30182154e-02    1.09445375e-09     1584.2        1106.2  
 51       484       true    3.88727567e-02    2.44027021e-13     1016.9        709.0  
 52      1000      false    5.39952517e-02    8.66081256e-10     2151.3        1517.3  
 53       988       true    4.03343197e-02    2.61830718e-12     2144.1        1480.0  
 54       747       true    2.66185783e-02    2.70850009e-11     1662.0        1151.4  
 55       384       true    6.52532053e-02    1.11910481e-13     857.5        578.5  
 56       593       true    4.77478336e-02    5.07448250e-13     1290.2        908.3  
 57       423       true    2.86394248e-02    8.38243173e-11     908.1        638.4  
 58       642       true    4.27395645e-02    9.63273683e-10     1357.5        962.6  
 59       639       true    6.78524288e-02    3.13149506e-12     1377.9        975.6  
 60       597       true    3.37355895e-02    9.56971549e-13     1300.8        907.7  
 61       662       true    4.22901673e-02    6.38421112e-10     1453.4        1015.4  
 62       679       true    4.07966962e-02    8.77498074e-12     1478.8        1025.1  
 63       372       true    3.22324522e-02    2.67066823e-14     786.0        545.2  
 64       840       true    3.38737487e-02    4.42668124e-12     1886.6        1312.5  
 65       725       true    3.14702274e-02    5.80943773e-13     1543.0        1090.7  
 66       500       true    3.93942950e-02    1.11022302e-15     1097.5        758.7  
 67       889       true    2.74055709e-02    1.23011108e-11     1902.7        1348.8  
 68       688       true    3.70046816e-02    3.87525769e-13     1479.2        1021.8  
 69       772       true    3.07766429e-02    6.65345038e-12     1689.3        1180.8  
 70       949       true    5.13383443e-02    2.18052817e-11     2118.3        1439.9  
 71       617       true    4.75483364e-02    5.59969319e-10     1390.4        951.4  
 72       730       true    4.85915604e-02    6.94866942e-11     1560.7        1100.7  
 73       734       true    3.06793328e-02    1.98785851e-11     1614.8        1127.0  
 74       713       true    4.43647310e-02    8.88178420e-15     1497.1        1066.3  
 75       636       true    3.89508435e-02    1.47754645e-10     1341.7        941.7  
 76       644       true    4.32572259e-02    6.07826919e-09     1393.0        979.1  
 77       546       true    2.82258807e-02    6.98838622e-13     1179.4        829.7  
 78      1000      false    5.08948624e-02    3.70437298e-06     2201.5        1553.8  
 79       737       true    2.90458118e-02    9.66237645e-11     1524.6        1101.2  
 80       315       true    2.66790214e-02    4.75017517e-11     640.1        451.1  
 81       611       true    4.39882837e-02    1.06268534e-10     1312.8        918.8  
 82       833       true    3.52353407e-02    1.16471283e-12     1840.8        1277.1  
 83       639       true    4.31827405e-02    1.72450121e-11     1416.7        961.0  
 84       796       true    4.07779132e-02    5.68766396e-13     1740.0        1223.2  
 85       736       true    2.99829579e-02    1.09022697e-12     1582.3        1114.8  
 86       743       true    2.40372723e-01    9.94810894e-14     1593.6        1119.6  
 87       693       true    2.75728858e-02    4.22733882e-12     1515.1        1059.1  
 88       638       true    2.64564600e-02    1.77648010e-11     1363.5        963.0  
 89       427       true    3.53378385e-02    7.04090559e-13     886.7        617.2  
 90       445       true    4.50346207e-02    2.49619100e-09     952.4        664.6  
 91       706       true    3.32136413e-02    6.91124074e-11     1574.1        1074.9  
 92       598       true    5.04742045e-02    2.63122857e-14     1285.2        906.6  
 93       358       true    3.14401391e-02    7.02601616e-12     798.2        531.8  
 94       326       true    3.23620491e-02    2.02689418e-11     719.1        487.8  
 95       660       true    2.91573514e-02    2.64863687e-11     1408.7        987.7  
 96       620       true    3.87838858e-02    1.81891169e-11     1347.1        934.1  
 97       503       true    4.76660662e-02    3.32724434e-10     1080.9        745.9  
 98       653       true    2.60195664e-02    1.49111136e-13     1396.6        978.1  
 99       609       true    1.01531594e-01    1.88974398e-11     1333.5        918.3  
 100       682       true    3.10692316e-02    3.13231060e-11     1478.2        1035.0  
